Player,Team,Sack,Int,Fum Rec,Fum Forced,TDs,Safety,PA,Yds Against,FPoints
Arizona Cardinals,Cardinals,39.1,12.1,9.6,,2.8,,379.7,"5,785.3",105.9
Jacksonville Jaguars,Jaguars,42.3,12.4,8.3,,2.5,,398.9,"5,812.2",100.9
Tennessee Titans,Titans,38.5,12.7,8.3,,3.1,,361.4,"5,623.5",109.6
Detroit Lions,Lions,35.7,11.4,8.2,,2.8,,372.9,"5,765.6",99.6
New England Patriots,Patriots,43.0,12.5,8.8,,3.0,,363.2,"5,278.4",113.9
Dallas Cowboys,Cowboys,42.7,12.2,8.9,,3.0,,370.4,"5,504.2",111.6
Las Vegas Raiders,Raiders,38.0,12.4,7.9,,2.7,,403.9,"5,843.6",94.9
Tampa Bay Buccaneers,Buccaneers,38.0,11.6,7.7,,3.0,,370.1,"5,581.5",102.8
Los Angeles Rams,Rams,44.5,11.7,9.4,,2.9,,379.0,"5,474.1",110.3
Chicago Bears,Bears,35.5,11.4,8.1,,2.9,,358.5,"5,627.7",103.6
Buffalo Bills,Bills,40.8,12.7,8.8,,3.1,,340.1,"5,343.9",118.8
Carolina Panthers,Panthers,42.9,10.5,8.1,,2.5,,418.0,"5,801.6",92.4
Atlanta Falcons,Falcons,33.5,10.6,7.8,,2.8,,395.2,"5,855.1",89.3
Cleveland Browns,Browns,39.8,12.3,8.6,,2.8,,383.8,"5,672.1",104.2
Washington Football Team,Team,38.5,11.5,8.8,,2.6,,385.9,"5,842.1",99.9
Los Angeles Chargers,Chargers,35.2,12.2,8.4,,2.9,,376.2,"5,720.1",100.8
Baltimore Ravens,Ravens,40.5,13.6,8.0,,3.3,,335.3,"5,510.9",121.1
Minnesota Vikings,Vikings,40.3,11.5,8.3,,3.1,,358.7,"5,611.9",109.5
Indianapolis Colts,Colts,40.8,12.3,8.8,,3.0,,362.7,"5,680.1",111.4
New York Jets,Jets,37.4,12.9,8.8,,2.7,,383.5,"5,471.1",102.5
Kansas City Chiefs,Chiefs,41.6,12.0,8.1,,3.2,,360.8,"5,419.2",111.5
Miami Dolphins,Dolphins,34.7,11.8,9.1,,2.6,,394.2,"5,743.0",95.1
Seattle Seahawks,Seahawks,37.7,12.8,8.9,,2.9,,377.8,"5,788.2",105.4
Denver Broncos,Broncos,40.2,11.8,8.4,,2.8,,369.2,"5,586.6",106.4
Cincinnati Bengals,Bengals,38.9,12.6,8.6,,2.5,,408.5,"5,878.6",95.8
New York Giants,Giants,38.1,11.4,9.1,,2.6,,403.3,"5,806.1",95.4
Green Bay Packers,Packers,39.3,11.4,8.8,,3.0,,371.0,"5,715.0",105.7
New Orleans Saints,Saints,40.9,11.1,8.2,,3.0,,370.2,"5,593.6",106.0
Houston Texans,Texans,36.3,12.8,8.5,,2.7,,401.6,"5,871.5",96.4
Philadelphia Eagles,Eagles,41.1,12.2,8.2,,3.0,,373.4,"5,648.4",107.6
Pittsburgh Steelers,Steelers,44.0,12.2,8.6,,3.1,,353.7,"5,349.2",116.9
San Francisco 49ers,49ers,45.2,12.5,8.5,,3.2,,357.8,"5,330.9",117.9
