Player,Team,FG,FGA,XPT,FPoints
Dustin Hopkins,WAS,21.0,24.0,27.0,90.0
Jason Sanders,MIA,23.0,28.0,35.0,104.0
Josh Lambo,JAC,26.0,28.0,28.0,106.0
Zane Gonzalez,ARI,26.0,30.0,37.0,115.0
Cairo Santos,CHI,5.0,6.0,7.0,22.0
Robbie Gould,SF,29.0,33.0,42.0,129.0
Randy Bullock,CIN,24.0,28.0,34.0,106.0
Ka'imi Fairbairn,HOU,25.0,29.0,39.0,114.0
Austin Seibert,CIN,27.0,32.0,33.0,114.0
Matt Prater,DET,26.0,30.0,37.0,115.0
Michael Badgley,LAC,27.0,31.0,39.0,120.0
Wil Lutz,NO,33.0,37.0,48.0,147.0
Younghoe Koo,ATL,29.0,33.0,37.0,124.0
Jake Elliott,PHI,24.0,29.0,38.0,110.0
Sam Sloman,TEN,25.0,30.0,34.0,109.0
Justin Tucker,BAL,31.0,34.0,49.0,142.0
Greg Zuerlein,DAL,29.0,35.0,46.0,133.0
Dan Bailey,MIN,26.0,30.0,37.0,115.0
Sam Ficken,NYJ,21.0,28.0,27.0,90.0
Jason Myers,SEA,24.0,28.0,37.0,109.0
Eddy Pineiro,CHI,18.0,22.0,24.0,78.0
Mason Crosby,GB,22.0,26.0,38.0,104.0
Stephen Gostkowski,TEN,18.0,21.0,34.0,88.0
Brandon McManus,DEN,26.0,31.0,35.0,113.0
Harrison Butker,KC,31.0,36.0,48.0,141.0
Rodrigo Blankenship,IND,22.0,27.0,34.0,100.0
Joey Slye,CAR,24.0,29.0,31.0,103.0
Daniel Carlson,LV,22.0,28.0,33.0,99.0
Chris Boswell,PIT,27.0,33.0,33.0,114.0
Tyler Bass,BUF,25.0,30.0,32.0,107.0
Ryan Succop,TB,25.0,31.0,41.0,116.0
Graham Gano,NYG,20.0,23.0,30.0,90.0
