Wil Lutz,NO,29.9,34.0,47.2,136.9
,high,33.0,37.0,48.0,147.0
,low,26.8,31.0,46.3,126.8
Harrison Butker,KC,29.0,33.6,49.8,136.7
,high,31.0,36.0,51.6,141.0
,low,27.0,31.2,48.0,132.4
Justin Tucker,BAL,29.0,32.2,46.1,133.1
,high,31.0,34.0,49.0,142.0
,low,27.0,30.3,43.2,124.2
Greg Zuerlein,DAL,27.4,33.5,42.5,124.7
,high,29.0,35.0,46.0,133.0
,low,25.8,31.9,39.0,116.5
Robbie Gould,SF,27.7,32.4,40.5,123.5
,high,29.0,33.0,42.0,129.0
,low,26.3,31.8,39.0,118.0
Younghoe Koo,ATL,28.0,32.7,36.1,120.1
,high,29.0,33.0,37.0,124.0
,low,27.0,32.3,35.2,116.1
Matt Prater,DET,26.8,31.1,37.4,117.7
,high,27.5,32.3,37.9,120.4
,low,26.0,30.0,37.0,115.0
Chris Boswell,PIT,26.7,32.0,35.5,115.4
,high,27.0,33.0,38.0,116.9
,low,26.3,31.0,33.0,114.0
Austin Seibert,CIN,26.4,31.4,35.8,115.0
,high,27.0,32.0,38.7,116.1
,low,25.8,30.8,33.0,114.0
Ryan Succop,TB,24.9,31.1,40.4,115.0
,high,25.0,31.2,41.0,116.0
,low,24.7,31.0,39.8,113.9
Zane Gonzalez,ARI,25.6,30.4,37.6,114.4
,high,26.0,30.8,38.3,115.0
,low,25.1,30.0,37.0,113.7
Michael Badgley,LAC,26.3,30.9,35.2,114.1
,high,27.0,31.0,39.0,120.0
,low,25.6,30.9,31.4,108.1
Ka'imi Fairbairn,HOU,24.8,29.4,38.9,113.3
,high,25.0,29.8,39.0,114.0
,low,24.6,29.0,38.9,112.6
Dan Bailey,MIN,25.6,29.9,36.3,113.1
,high,26.0,30.0,37.0,115.0
,low,25.2,29.8,35.6,111.1
Jake Elliott,PHI,24.9,29.8,37.8,112.5
,high,25.8,30.6,38.0,114.9
,low,24.0,29.0,37.5,110.0
Brandon McManus,DEN,26.2,31.0,33.8,112.3
,high,26.3,31.0,35.0,113.0
,low,26.0,31.0,32.7,111.6
Sam Sloman,TEN,25.9,31.3,34.3,112.1
,high,26.9,32.5,34.6,115.1
,low,25.0,30.0,34.0,109.0
Jason Myers,SEA,24.0,28.6,39.2,111.2
,high,24.0,29.2,41.4,113.4
,low,24.0,28.0,37.0,109.0
Tyler Bass,BUF,25.8,31.1,32.2,109.6
,high,26.7,32.3,32.3,112.3
,low,25.0,30.0,32.0,107.0
Rodrigo Blankenship,IND,24.3,29.6,35.9,108.7
,high,26.5,32.1,37.8,117.3
,low,22.0,27.0,34.0,100.0
Mason Crosby,GB,23.1,27.2,38.4,107.5
,high,24.1,28.4,38.8,111.1
,low,22.0,26.0,38.0,104.0
Nick Folk,NE,24.3,29.8,34.0,106.9
,high,24.3,29.8,34.0,106.9
,low,24.3,29.8,34.0,106.9
Joey Slye,CAR,25.0,30.0,30.9,106.0
,high,26.0,31.0,31.0,108.9
,low,24.0,29.0,30.9,103.0
Josh Lambo,JAC,26.3,28.9,26.9,105.8
,high,26.6,29.8,28.0,106.0
,low,26.0,28.0,25.9,105.6
Randy Bullock,CIN,24.5,28.8,31.9,105.4
,high,25.0,29.5,34.0,106.0
