Player,Team,FG,FGA,XPT,FPoints
Dustin Hopkins,WAS,23.3,27.8,27.8,97.8
Jason Sanders,MIA,24.8,30.5,29.5,103.8
Josh Lambo,JAC,26.6,29.8,25.9,105.6
Zane Gonzalez,ARI,25.1,30.8,38.3,113.7
Cairo Santos,CHI,21.8,27.9,26.9,92.3
Cody Parkey,CLE,0.0,0.0,0.0,0.0
Robbie Gould,SF,26.3,31.8,39.0,118.0
Brett Maher,HOU,0.0,0.0,0.0,0.0
Randy Bullock,CIN,25.0,29.5,29.7,104.8
Matt Gay,LAR,0.0,0.0,0.0,0.0
Ka'imi Fairbairn,HOU,24.6,29.8,38.9,112.6
Justin Rohrwasser,NE,,,,0.0
Austin Seibert,CIN,25.8,30.8,38.7,116.1
Greg Joseph,TB,0.0,0.0,0.0,0.0
Chase McLaughlin,JAC,0.0,0.0,0.0,0.0
Matt Prater,DET,27.5,32.3,37.9,120.4
Michael Badgley,LAC,25.6,30.9,31.4,108.1
Mike Nugent,ARI,0.0,0.0,0.0,0.0
Wil Lutz,NO,26.8,31.0,46.3,126.8
Nick Folk,NE,24.3,29.8,34.0,106.9
Younghoe Koo,ATL,27.0,32.3,35.2,116.1
Jake Elliott,PHI,25.8,30.6,37.5,114.9
Giorgio Tavecchio,TEN,0.0,0.0,0.0,0.0
Aldrick Rosas,JAC,0.0,0.0,0.0,0.0
Sam Sloman,TEN,26.9,32.5,34.6,115.1
Justin Tucker,BAL,27.0,30.3,43.2,124.2
Greg Zuerlein,DAL,25.8,31.9,39.0,116.5
Dan Bailey,MIN,25.2,29.8,35.6,111.1
Sam Ficken,NYJ,24.2,30.7,27.4,100.0
Jason Myers,SEA,24.0,29.2,41.4,113.4
Eddy Pineiro,CHI,,,,0.0
Mason Crosby,GB,24.1,28.4,38.8,111.1
Stephen Gostkowski,TEN,22.4,27.2,38.9,106.0
Brandon McManus,DEN,26.3,31.0,32.7,111.6
Rodrigo Blankenship,IND,26.5,32.1,37.8,117.3
Harrison Butker,KC,27.0,31.2,51.6,132.4
Joey Slye,CAR,26.0,31.0,30.9,108.9
Daniel Carlson,LV,24.7,31.3,34.1,108.2
Chris Boswell,PIT,26.3,31.0,38.0,116.9
Tyler Bass,BUF,26.7,32.3,32.3,112.3
Kai Forbath,LAR,0.0,0.0,0.0,0.0
Ryan Succop,TB,24.7,31.2,39.8,113.9
Matt McCrane,CLE,0.0,0.0,0.0,0.0
Graham Gano,NYG,25.1,30.0,35.7,110.9
