Wil Lutz,NO,28.0,37.0,45.0,128.9
,high,33.0,37.0,48.0,147.0
,low,22.9,37.0,42.0,110.8
Justin Tucker,BAL,27.7,34.0,44.3,127.4
,high,31.0,34.0,49.0,142.0
,low,24.4,34.0,39.5,112.8
Harrison Butker,KC,27.6,36.0,44.3,127.2
,high,31.0,36.0,48.0,141.0
,low,24.2,36.0,40.6,113.3
Robbie Gould,SF,27.8,33.0,41.9,125.4
,high,29.0,33.0,42.0,129.0
,low,26.7,33.0,41.8,121.8
Greg Zuerlein,DAL,25.5,35.0,42.6,119.3
,high,29.0,35.0,46.0,133.0
,low,22.1,35.0,39.3,105.5
Younghoe Koo,ATL,26.4,33.0,37.2,116.4
,high,29.0,33.0,37.5,124.0
,low,23.8,33.0,37.0,108.7
Austin Seibert,CIN,26.1,32.0,34.0,112.3
,high,27.0,32.0,35.1,114.0
,low,25.2,32.0,33.0,110.7
Michael Badgley,LAC,25.9,31.0,33.8,111.6
,high,27.0,31.0,39.0,120.0
,low,24.9,31.0,28.6,103.2
Jake Elliott,PHI,25.5,29.0,34.4,110.8
,high,27.0,29.0,38.0,111.7
,low,24.0,29.0,30.7,110.0
Jason Myers,SEA,25.2,28.0,34.9,110.4
,high,26.3,28.0,37.0,111.8
,low,24.0,28.0,32.8,109.0
Randy Bullock,CIN,27.0,28.0,29.5,110.4
,high,29.9,28.0,34.0,114.7
,low,24.0,28.0,24.9,106.0
Brandon McManus,DEN,24.8,31.0,35.4,110.0
,high,26.0,31.0,35.9,113.0
,low,23.7,31.0,35.0,107.0
Chris Boswell,PIT,26.0,33.0,32.0,109.9
,high,27.0,33.0,33.0,114.0
,low,25.0,33.0,30.9,105.8
Matt Prater,DET,24.7,30.0,35.0,109.1
,high,26.0,30.0,37.0,115.0
,low,23.4,30.0,33.0,103.3
Daniel Carlson,LV,23.8,28.0,37.4,108.8
,high,25.6,28.0,41.9,118.7
,low,22.0,28.0,33.0,99.0
Dan Bailey,MIN,24.4,30.0,35.5,108.8
,high,26.0,30.0,37.0,115.0
,low,22.8,30.0,34.1,102.5
Ryan Succop,TB,24.5,31.0,34.6,108.1
,high,25.0,31.0,41.0,116.0
,low,24.0,31.0,28.2,100.2
Zane Gonzalez,ARI,24.1,30.0,34.5,106.9
,high,26.0,30.0,37.0,115.0
,low,22.3,30.0,32.0,98.9
Jason Sanders,MIA,24.7,28.0,32.7,106.9
,high,26.5,28.0,35.0,109.7
,low,23.0,28.0,30.3,104.0
Mason Crosby,GB,22.3,26.0,39.3,106.1
,high,22.6,26.0,40.5,108.2
,low,22.0,26.0,38.0,104.0
Ka'imi Fairbairn,HOU,23.5,29.0,34.1,104.7
,high,25.0,29.0,39.0,114.0
,low,22.1,29.0,29.3,95.5
Joey Slye,CAR,24.0,29.0,31.9,103.8
,high,24.0,29.0,32.8,104.6
,low,24.0,29.0,31.0,103.0
Josh Lambo,JAC,24.3,28.0,30.9,103.7
,high,26.0,28.0,33.8,106.0
,low,22.5,28.0,28.0,101.3
Sam Sloman,TEN,23.6,30.0,30.9,101.8
,high,25.0,30.0,34.0,109.0
,low,22.3,30.0,27.8,94.6
Rodrigo Blankenship,IND,22.4,27.0,34.0,101.3
,high,22.8,27.0,34.1,102.6
,low,22.0,27.0,34.0,100.0
Tyler Bass,BUF,23.4,30.0,30.6,100.9
,high,25.0,30.0,32.0,107.0
,low,21.9,30.0,29.2,94.8
Stephen Gostkowski,TEN,20.5,21.0,37.6,99.1
,high,23.0,21.0,41.2,110.1
,low,18.0,21.0,34.0,88.0
Sam Ficken,NYJ,22.5,28.0,30.3,97.7
,high,23.9,28.0,33.7,105.4
,low,21.0,28.0,27.0,90.0
Graham Gano,NYG,20.8,23.0,33.1,95.5
,high,21.6,23.0,36.2,100.9
,low,20.0,23.0,30.0,90.0
Dustin Hopkins,WAS,21.6,24.0,26.1,91.0
,high,22.3,24.0,27.0,91.9
,low,21.0,24.0,25.1,90.0
Eddy Pineiro,CHI,18.0,22.0,24.0,78.0
,high,18.0,22.0,24.0,78.0
,low,18.0,22.0,24.0,78.0
Cairo Santos,CHI,5.0,6.0,7.0,22.0
,high,5.0,6.0,7.0,22.0
,low,5.0,6.0,7.0,22.0
