Wil Lutz,NO,30.1,33.9,47.4,137.6
,high,33.0,37.0,48.0,147.0
,low,27.2,30.7,46.7,143.6
Harrison Butker,KC,30.1,34.4,47.3,137.5
,high,31.0,36.0,48.0,147.9
,low,29.1,32.8,46.7,141.0
Justin Tucker,BAL,27.7,31.1,48.5,131.5
,high,31.0,34.0,49.0,142.0
,low,24.4,28.2,48.0,134.5
Greg Zuerlein,DAL,27.7,33.1,45.8,128.8
,high,29.0,35.0,46.0,134.7
,low,26.4,31.2,45.6,133.0
Robbie Gould,SF,27.7,32.4,40.1,123.2
,high,29.0,33.0,42.0,129.0
,low,26.4,31.9,38.3,126.8
Ka'imi Fairbairn,HOU,26.7,31.0,37.0,117.2
,high,28.4,33.0,39.0,134.9
,low,25.0,29.0,35.0,114.0
Dan Bailey,MIN,26.6,30.6,37.1,116.9
,high,27.2,31.1,37.2,130.5
,low,26.0,30.0,37.0,115.0
Michael Badgley,LAC,25.3,29.5,39.9,115.9
,high,27.0,31.0,40.8,120.0
,low,23.7,28.1,39.0,120.0
Jason Myers,SEA,25.5,30.3,38.2,114.6
,high,27.0,32.6,39.4,132.7
,low,24.0,28.0,37.0,109.0
Matt Prater,DET,25.9,30.4,35.6,113.2
,high,26.0,30.8,37.0,121.8
,low,25.7,30.0,34.2,115.0
Younghoe Koo,ATL,25.9,30.0,35.4,113.1
,high,29.0,33.0,37.0,124.0
,low,22.8,26.9,33.8,112.4
Austin Seibert,CIN,26.8,31.7,32.3,112.5
,high,27.0,32.0,33.0,124.9
,low,26.5,31.5,31.6,114.0
Jake Elliott,PHI,25.3,30.7,36.2,112.0
,high,26.6,32.4,38.0,125.4
,low,24.0,29.0,34.4,110.0
Zane Gonzalez,ARI,25.5,30.7,35.3,111.9
,high,26.0,31.5,37.0,120.3
,low,25.1,30.0,33.6,115.0
Mason Crosby,GB,23.9,27.9,39.4,111.0
,high,25.8,29.9,40.8,131.2
,low,22.0,26.0,38.0,104.0
Chris Boswell,PIT,26.1,31.5,32.6,111.0
,high,27.0,33.0,33.0,118.7
,low,25.3,30.0,32.2,114.0
Sam Sloman,TEN,25.1,30.4,35.4,110.7
,high,25.2,30.9,36.9,122.1
,low,25.0,30.0,34.0,109.0
Nick Folk,NE,24.0,29.2,38.8,110.7
,high,24.0,29.2,38.8,120.6
,low,24.0,29.2,38.8,120.6
Brandon McManus,DEN,26.3,31.7,31.3,110.0
,high,26.5,32.4,35.0,118.3
,low,26.0,31.0,27.5,113.0
Ryan Succop,TB,24.2,31.6,36.8,109.3
,high,25.0,32.2,41.0,116.0
,low,23.3,31.0,32.7,112.4
Josh Lambo,JAC,26.6,29.1,28.7,108.5
,high,27.2,30.2,29.3,125.4
,low,26.0,28.0,28.0,106.0
Tyler Bass,BUF,25.7,30.9,30.9,108.1
,high,26.5,31.8,32.0,120.6
,low,25.0,30.0,29.9,107.0
Jason Sanders,MIA,24.4,29.3,34.7,107.8
,high,25.8,30.7,35.0,123.6
,low,23.0,28.0,34.4,104.0
Rodrigo Blankenship,IND,23.8,29.0,33.0,104.4
,high,25.6,31.1,34.0,119.4
,low,22.0,27.0,32.1,100.0
Randy Bullock,CIN,23.7,28.2,32.2,103.3
,high,24.0,28.4,34.0,109.5
,low,23.3,28.0,30.5,106.0
Stephen Gostkowski,TEN,22.3,26.4,35.6,102.6
,high,26.7,31.8,37.2,127.2
,low,18.0,21.0,34.0,88.0
Joey Slye,CAR,24.6,29.3,28.3,102.0
,high,25.1,29.6,31.0,117.2
,low,24.0,29.0,25.6,103.0
Dustin Hopkins,WAS,23.5,27.6,28.9,99.3
,high,26.0,31.2,30.8,122.8
,low,21.0,24.0,27.0,90.0
Daniel Carlson,LV,22.0,29.0,32.1,98.1
,high,22.0,30.1,33.0,104.8
,low,22.0,28.0,31.2,99.0
Graham Gano,NYG,21.8,25.7,28.2,93.8
,high,23.7,28.5,30.0,105.9
,low,20.0,23.0,26.5,90.0
Sam Ficken,NYJ,22.1,29.5,25.8,92.2
,high,23.3,30.9,27.0,103.7
,low,21.0,28.0,24.6,90.0
Eddy Pineiro,CHI,19.3,23.3,24.7,82.6
,high,20.6,24.6,25.4,95.1
,low,18.0,22.0,24.0,78.0
Cairo Santos,CHI,4.5,5.8,7.2,20.7
,high,5.0,6.0,7.5,22.0
,low,4.0,5.7,7.0,20.6
