Lamar Jackson,BAL,454.0,291.0,"3,391.0",32.0,13.0,156.0,969.0,5.0,3.0,358.5
,high,468.0,300.0,"3,527.0",34.0,12.0,165.0,988.0,6.0,3.0,417.6
,low,440.0,282.0,"3,255.0",30.0,14.0,147.0,950.0,4.0,3.0,368.1
Patrick Mahomes II,KC,563.0,368.5,"4,555.5",34.0,9.5,60.5,302.0,3.0,2.0,343.4
,high,566.0,373.0,"4,582.0",34.0,9.0,65.0,375.0,4.0,2.0,400.0
,low,560.0,364.0,"4,529.0",34.0,10.0,56.0,229.0,2.0,2.0,358.7
Dak Prescott,DAL,587.5,384.5,"4,614.0",28.5,13.0,68.0,299.0,4.5,4.0,321.5
,high,596.0,387.0,"4,698.0",29.0,12.0,71.0,304.0,5.0,4.0,392.9
,low,579.0,382.0,"4,530.0",28.0,14.0,65.0,294.0,4.0,4.0,335.3
Russell Wilson,SEA,486.5,321.0,"3,956.0",29.0,8.5,73.0,364.0,2.5,2.0,304.6
,high,494.0,321.0,"3,962.0",30.0,8.0,74.0,367.0,3.0,2.0,371.6
,low,479.0,321.0,"3,950.0",28.0,9.0,72.0,361.0,2.0,2.0,301.2
Josh Allen,BUF,529.5,310.0,"3,595.0",22.5,14.0,105.5,617.0,7.5,4.0,304.5
,high,542.0,310.0,"3,622.0",23.0,11.0,106.0,699.0,8.0,4.0,364.6
,low,517.0,310.0,"3,568.0",22.0,17.0,105.0,535.0,7.0,4.0,318.6
Deshaun Watson,HOU,520.5,343.5,"3,954.5",24.5,14.5,91.0,501.0,5.5,3.0,304.3
,high,525.0,346.0,"4,075.0",25.0,13.0,93.0,520.0,6.0,3.0,369.9
,low,516.0,341.0,"3,834.0",24.0,16.0,89.0,482.0,5.0,3.0,315.0
Kyler Murray,ARI,572.5,369.5,"3,985.0",25.0,14.0,91.0,534.0,3.0,2.0,298.8
,high,585.0,374.0,"4,154.0",25.0,13.0,97.0,555.0,3.0,2.0,377.0
,low,560.0,365.0,"3,816.0",25.0,15.0,85.0,513.0,3.0,2.0,296.1
Matt Ryan,ATL,642.0,431.0,"4,740.0",28.0,15.0,35.5,130.5,1.5,5.0,283.7
,high,642.0,432.0,"4,794.0",28.0,13.0,37.0,134.0,2.0,5.0,365.7
,low,642.0,430.0,"4,686.0",28.0,17.0,34.0,127.0,1.0,5.0,294.5
Drew Brees,NO,517.0,372.5,"3,987.0",31.0,9.0,25.5,27.5,1.5,1.0,275.2
,high,517.0,378.0,"4,138.0",32.0,8.0,29.0,32.0,2.0,1.0,343.2
,low,517.0,367.0,"3,836.0",30.0,10.0,22.0,23.0,1.0,1.0,268.6
Tom Brady,TB,553.5,351.5,"4,343.5",28.0,11.5,24.0,35.0,1.5,1.0,273.2
,high,564.0,366.0,"4,517.0",29.0,10.0,24.0,37.0,2.0,1.0,325.8
,low,543.0,337.0,"4,170.0",27.0,13.0,24.0,33.0,1.0,1.0,286.4
Carson Wentz,PHI,573.5,374.5,"4,137.5",27.0,9.0,61.5,219.0,1.5,7.0,272.4
,high,598.0,392.0,"4,157.0",28.0,7.0,70.0,251.0,2.0,7.0,347.0
,low,549.0,357.0,"4,118.0",26.0,11.0,53.0,187.0,1.0,7.0,281.0
Aaron Rodgers,GB,570.5,357.5,"4,054.5",25.5,6.0,48.0,214.0,1.0,4.0,271.6
,high,582.0,366.0,"4,130.0",26.0,6.0,52.0,234.0,1.0,4.0,335.9
,low,559.0,349.0,"3,979.0",25.0,6.0,44.0,194.0,1.0,4.0,276.6
Cam Newton,NE,500.0,303.5,"3,394.5",21.5,12.0,123.0,438.0,4.0,2.0,261.6
,high,522.0,311.0,"3,440.0",22.0,12.0,124.0,499.0,4.0,2.0,321.7
,low,478.0,296.0,"3,349.0",21.0,12.0,122.0,377.0,4.0,2.0,267.9
Jared Goff,LAR,599.0,380.0,"4,474.5",24.5,15.0,39.5,70.0,1.0,4.0,252.0
,high,607.0,382.0,"4,516.0",25.0,14.0,40.0,75.0,1.0,4.0,335.2
,low,591.0,378.0,"4,433.0",24.0,16.0,39.0,65.0,1.0,4.0,257.1
Matthew Stafford,DET,570.5,364.0,"4,242.5",26.5,13.5,28.5,86.0,0.5,5.0,250.3
,high,581.0,377.0,"4,355.0",28.0,11.0,34.0,103.0,1.0,5.0,342.7
,low,560.0,351.0,"4,130.0",25.0,16.0,23.0,69.0,0.0,5.0,243.5
Ryan Tannehill,TEN,436.0,285.5,"3,544.5",24.0,11.0,56.0,235.0,2.5,4.0,246.3
,high,468.0,304.0,"3,651.0",24.0,11.0,64.0,259.0,3.0,4.0,311.7
,low,404.0,267.0,"3,438.0",24.0,11.0,48.0,211.0,2.0,4.0,255.4
Gardner Minshew II,JAC,545.5,333.0,"3,724.0",22.0,11.0,75.0,354.0,1.5,8.0,243.4
,high,558.0,346.0,"3,773.0",23.0,11.0,80.0,387.0,2.0,8.0,319.9
,low,533.0,320.0,"3,675.0",21.0,11.0,70.0,321.0,1.0,8.0,257.6
Baker Mayfield,CLE,507.5,314.0,"3,809.5",24.5,14.0,32.5,148.5,1.5,3.0,240.2
,high,522.0,323.0,"3,863.0",25.0,13.0,37.0,149.0,2.0,3.0,304.6
,low,493.0,305.0,"3,756.0",24.0,15.0,28.0,148.0,1.0,3.0,255.4
Daniel Jones,NYG,558.5,350.0,"3,828.0",25.0,16.0,57.0,319.5,2.5,14.0,240.1
,high,582.0,368.0,"4,019.0",25.0,14.0,59.0,336.0,3.0,14.0,324.2
,low,535.0,332.0,"3,637.0",25.0,18.0,55.0,303.0,2.0,14.0,276.4
Ben Roethlisberger,PIT,533.5,346.5,"3,902.0",25.5,15.5,25.5,67.0,1.5,2.0,238.8
,high,555.0,360.0,"3,940.0",27.0,14.0,32.0,95.0,2.0,2.0,314.9
,low,512.0,333.0,"3,864.0",24.0,17.0,19.0,39.0,1.0,2.0,238.1
Joe Burrow,CIN,553.0,341.0,"3,858.0",23.5,15.5,46.0,206.0,1.5,6.0,234.9
,high,588.0,361.0,"3,989.0",24.0,14.0,66.0,259.0,2.0,6.0,316.3
,low,518.0,321.0,"3,727.0",23.0,17.0,26.0,153.0,1.0,6.0,248.9
