Lamar Jackson,BAL,453.4,289.6,"3,346.9",27.7,10.9,160.7,946.5,6.0,5.3,343.2
,high,466.8,297.2,"3,438.7",30.0,9.9,165.0,988.0,6.1,5.3,417.6
,low,440.0,282.0,"3,255.0",25.5,12.0,156.5,905.1,6.0,5.3,336.1
Patrick Mahomes II,KC,559.7,367.1,"4,517.5",34.1,9.3,59.0,256.0,2.9,3.9,333.6
,high,566.0,373.0,"4,582.0",34.1,9.0,62.0,283.0,3.8,3.9,400.0
,low,553.4,361.2,"4,453.0",34.0,9.5,56.0,229.0,2.0,3.9,338.9
Dak Prescott,DAL,572.8,370.7,"4,429.6",27.3,11.4,60.1,275.6,3.9,3.7,307.1
,high,596.0,387.0,"4,530.0",28.0,10.9,71.0,304.0,4.0,3.7,392.9
,low,549.5,354.5,"4,329.3",26.7,12.0,49.3,247.2,3.8,3.7,298.0
Deshaun Watson,HOU,520.3,338.9,"3,926.0",26.4,12.3,88.3,500.6,4.6,4.4,306.6
,high,525.0,341.0,"4,017.9",27.7,11.6,89.0,519.2,5.0,4.4,369.9
,low,515.7,336.7,"3,834.0",25.0,13.0,87.7,482.0,4.1,4.4,316.4
Russell Wilson,SEA,481.4,309.3,"3,818.9",29.7,8.3,73.7,379.4,2.5,3.8,300.3
,high,494.0,321.0,"3,950.0",30.0,8.0,74.0,397.8,3.0,3.8,371.6
,low,468.7,297.7,"3,687.8",29.4,8.6,73.5,361.0,2.0,3.8,292.1
Kyler Murray,ARI,564.6,361.6,"3,992.6",25.7,12.6,92.0,492.1,3.3,3.4,299.5
,high,585.0,374.0,"4,154.0",26.3,12.2,97.0,513.0,3.7,3.4,377.0
,low,544.1,349.3,"3,831.2",25.0,13.0,87.0,471.2,3.0,3.4,296.5
Josh Allen,BUF,498.5,299.6,"3,517.9",20.7,11.0,101.1,543.6,6.3,5.4,283.0
,high,517.0,310.0,"3,622.0",22.0,10.9,105.0,552.2,7.0,5.4,364.6
,low,480.0,289.3,"3,413.7",19.5,11.0,97.3,535.0,5.6,5.4,270.3
Matt Ryan,ATL,620.6,409.7,"4,600.5",28.1,12.7,34.5,129.4,1.0,4.3,281.4
,high,642.0,430.0,"4,686.0",28.2,12.4,37.0,134.0,1.0,4.3,365.7
,low,599.1,389.4,"4,515.1",28.0,13.0,32.1,124.8,1.0,4.3,278.6
Drew Brees,NO,518.5,371.3,"4,079.6",30.9,8.5,24.4,17.1,1.1,2.6,273.2
,high,520.0,378.0,"4,138.0",32.0,8.0,29.0,23.0,1.3,2.6,343.2
