Lamar Jackson,BAL,440.0,282.0,"3,446.6",28.0,11.9,165.0,"1,032.1",6.0,1.9,361.4
,high,440.0,282.0,"3,638.1",30.0,11.9,165.0,"1,076.2",6.0,1.9,417.6
,low,440.0,282.0,"3,255.0",26.1,12.0,165.0,988.0,5.9,1.9,366.2
Patrick Mahomes II,KC,566.0,373.0,"4,599.2",33.1,11.0,56.0,318.7,2.6,0.4,340.8
,high,566.0,373.0,"4,616.3",34.0,9.0,56.0,408.4,3.1,0.4,400.0
,low,566.0,373.0,"4,582.0",32.3,13.1,56.0,229.0,2.0,0.4,348.3
Deshaun Watson,HOU,525.0,341.0,"3,943.7",25.8,11.5,89.0,507.2,4.4,0.5,314.0
,high,525.0,341.0,"4,053.3",26.6,10.0,89.0,532.4,5.0,0.5,369.9
,low,525.0,341.0,"3,834.0",25.0,13.0,89.0,482.0,3.8,0.5,327.2
Dak Prescott,DAL,596.0,387.0,"4,499.5",28.7,12.5,71.0,248.4,3.1,0.6,312.0
,high,596.0,387.0,"4,530.0",29.4,12.0,71.0,304.0,4.0,0.6,392.9
,low,596.0,387.0,"4,468.9",28.0,13.0,71.0,192.8,2.2,0.6,304.4
Russell Wilson,SEA,494.0,321.0,"3,918.4",29.4,8.0,74.0,379.1,2.7,1.2,310.4
,high,494.0,321.0,"3,950.0",30.0,8.0,74.0,397.3,3.0,1.2,371.6
,low,494.0,321.0,"3,886.9",28.9,8.0,74.0,361.0,2.5,1.2,309.1
Kyler Murray,ARI,585.0,374.0,"4,002.2",24.4,12.6,97.0,479.5,3.3,1.7,296.8
,high,585.0,374.0,"4,154.0",25.0,12.3,97.0,513.0,3.6,1.7,377.0
,low,585.0,374.0,"3,850.5",23.9,13.0,97.0,446.0,3.0,1.7,291.9
Matt Ryan,ATL,642.0,430.0,"4,679.0",28.5,12.9,37.0,142.5,1.3,1.4,294.8
,high,642.0,430.0,"4,686.0",29.0,12.8,37.0,150.9,1.7,1.4,365.7
,low,642.0,430.0,"4,672.0",28.0,13.0,37.0,134.0,1.0,1.4,305.6
Josh Allen,BUF,517.0,310.0,"3,549.6",20.7,11.8,105.0,595.0,5.8,1.7,292.1
,high,517.0,310.0,"3,622.0",22.0,11.0,105.0,655.0,7.0,1.7,364.6
,low,517.0,310.0,"3,477.2",19.3,12.6,105.0,535.0,4.7,1.7,285.6
Aaron Rodgers,GB,582.0,366.0,"4,137.4",27.5,7.5,44.0,169.4,1.3,0.8,283.6
,high,582.0,366.0,"4,144.7",29.0,6.0,44.0,194.0,1.6,0.8,335.9
,low,582.0,366.0,"4,130.0",26.0,9.0,44.0,144.8,1.0,0.8,292.5
Drew Brees,NO,517.0,378.0,"4,344.1",30.3,9.4,29.0,14.1,0.8,0.4,281.9
,high,517.0,378.0,"4,550.1",32.0,8.0,29.0,23.0,1.0,0.4,343.2
