Lamar Jackson,BAL,484.5,312.9,"3,544.2",31.4,12.2,158.6,903.8,5.7,3.0,361.3
,high,501.1,325.9,"3,561.5",34.0,10.5,170.2,950.0,7.4,3.0,368.1
,low,468.0,300.0,"3,527.0",28.7,14.0,147.0,857.7,4.0,3.0,359.2
Patrick Mahomes II,KC,576.8,375.5,"4,611.7",36.0,10.8,55.9,286.1,3.0,2.0,349.6
,high,593.6,387.0,"4,694.4",38.0,10.0,65.0,375.0,4.0,2.0,358.7
,low,560.0,364.0,"4,529.0",34.0,11.7,46.9,197.2,2.1,2.0,344.9
Dak Prescott,DAL,574.7,375.8,"4,599.3",29.5,12.2,61.1,274.2,4.3,4.0,323.2
,high,579.0,382.0,"4,698.0",30.1,10.4,65.0,294.0,5.0,4.0,335.3
,low,570.3,369.5,"4,500.6",29.0,14.0,57.2,254.4,3.7,4.0,322.7
Deshaun Watson,HOU,533.0,353.6,"4,095.1",26.1,14.4,94.4,475.3,5.1,3.0,311.8
,high,549.9,361.3,"4,115.3",28.2,12.8,95.8,520.0,6.0,3.0,315.3
,low,516.0,346.0,"4,075.0",24.0,16.0,93.0,430.7,4.3,3.0,315.0
Russell Wilson,SEA,502.6,332.6,"3,989.2",29.6,8.9,71.2,368.6,2.0,2.0,305.3
,high,526.3,344.3,"4,016.3",31.3,8.7,72.0,370.3,2.0,2.0,313.8
,low,479.0,321.0,"3,962.0",28.0,9.0,70.4,367.0,2.0,2.0,301.2
Josh Allen,BUF,530.2,310.6,"3,522.4",22.1,14.7,120.6,654.9,7.7,4.0,303.6
,high,542.0,311.3,"3,568.0",23.0,12.3,135.3,699.0,8.0,4.0,318.6
,low,518.5,310.0,"3,476.8",21.1,17.0,106.0,610.8,7.5,4.0,293.3
Kyler Murray,ARI,556.2,362.1,"4,000.4",24.8,13.0,82.7,472.5,3.0,2.0,294.7
,high,560.0,365.0,"4,184.8",25.0,11.1,85.0,555.0,3.1,2.0,298.5
,low,552.4,359.2,"3,816.0",24.6,15.0,80.4,390.1,3.0,2.0,296.1
Tom Brady,TB,573.6,358.1,"4,410.1",29.6,10.7,24.4,49.7,1.6,1.0,285.7
,high,604.3,379.2,"4,517.0",30.1,8.4,24.9,62.3,2.0,1.0,286.4
,low,543.0,337.0,"4,303.2",29.0,13.0,24.0,37.0,1.2,1.0,286.0
Matt Ryan,ATL,628.4,417.9,"4,754.4",27.6,14.1,34.2,127.1,1.5,5.0,283.8
,high,642.0,432.0,"4,794.0",28.0,11.2,34.4,127.2,2.0,5.0,294.5
,low,614.8,403.8,"4,714.9",27.2,17.0,34.0,127.0,0.9,5.0,287.6
Drew Brees,NO,549.4,388.5,"4,103.8",30.6,10.7,21.6,45.2,1.3,1.0,275.7
,high,581.9,410.0,"4,371.6",31.3,10.0,22.0,58.3,2.0,1.0,285.4
,low,517.0,367.0,"3,836.0",30.0,11.3,21.2,32.0,0.6,1.0,268.6
Cam Newton,NE,532.8,323.9,"3,541.6",23.4,13.3,102.5,434.8,4.4,2.0,274.3
,high,543.5,336.9,"3,734.2",25.8,12.0,124.0,499.0,4.7,2.0,281.0
,low,522.0,311.0,"3,349.0",21.0,14.6,81.1,370.6,4.0,2.0,267.9
Aaron Rodgers,GB,562.0,353.8,"4,070.2",26.5,9.0,45.2,207.7,1.1,4.0,270.5
,high,564.9,358.6,"4,161.5",28.1,6.0,52.0,234.0,1.3,4.0,278.8
,low,559.0,349.0,"3,979.0",25.0,11.9,38.5,181.3,1.0,4.0,276.6
Carson Wentz,PHI,585.5,379.5,"4,047.0",28.8,10.7,51.8,197.5,1.5,7.0,270.1
,high,598.0,392.0,"4,157.0",29.5,10.3,53.0,208.0,1.9,7.0,281.0
,low,573.0,367.0,"3,937.0",28.0,11.0,50.5,187.0,1.0,7.0,278.8
Jared Goff,LAR,600.9,379.8,"4,385.7",26.0,15.2,36.8,99.0,1.2,4.0,257.8
,high,607.0,382.0,"4,516.0",28.0,14.5,40.0,133.0,1.3,4.0,267.5
,low,594.9,377.5,"4,255.4",24.0,16.0,33.5,65.0,1.0,4.0,257.1
Ryan Tannehill,TEN,448.8,297.8,"3,692.5",24.3,11.8,63.5,266.7,2.8,4.0,256.6
,high,493.5,328.6,"3,947.1",24.5,11.0,64.0,274.3,3.0,4.0,266.2
,low,404.0,267.0,"3,438.0",24.0,12.6,63.1,259.0,2.6,4.0,255.4
Baker Mayfield,CLE,525.6,324.5,"3,969.3",26.0,14.1,34.2,139.9,1.7,3.0,253.0
,high,558.2,344.0,"4,075.7",27.0,13.0,37.0,149.0,2.0,3.0,258.3
,low,493.0,305.0,"3,863.0",25.0,15.3,31.4,130.8,1.5,3.0,255.4
Ben Roethlisberger,PIT,567.9,370.8,"4,126.9",26.8,15.3,22.6,70.8,1.3,2.0,252.4
,high,580.7,381.5,"4,389.7",29.6,13.7,32.0,95.0,2.0,2.0,272.2
,low,555.0,360.0,"3,864.0",24.0,17.0,13.3,46.7,0.6,2.0,238.1
Matthew Stafford,DET,569.9,366.5,"4,306.6",25.1,12.9,26.8,94.1,0.3,5.0,248.5
,high,579.7,382.0,"4,483.1",25.3,9.7,34.0,103.0,0.7,5.0,270.0
,low,560.0,351.0,"4,130.0",25.0,16.0,19.7,85.3,0.0,5.0,243.5
Daniel Jones,NYG,581.3,366.0,"4,016.7",24.5,15.7,58.2,301.5,2.7,14.0,245.3
,high,582.0,368.0,"4,019.0",25.0,13.4,61.4,336.0,3.0,14.0,276.4
,low,580.7,364.1,"4,014.4",24.0,18.0,55.0,267.0,2.3,14.0,259.3
Tyrod Taylor,LAC,500.5,314.4,"3,605.5",21.6,13.8,63.2,295.6,2.7,2.0,244.9
,high,513.0,315.0,"3,891.0",23.0,10.5,78.4,365.2,4.4,2.0,252.0
,low,488.0,313.9,"3,320.0",20.2,17.0,48.0,226.0,1.0,2.0,242.2
Kirk Cousins,MIN,491.7,331.8,"3,839.1",25.8,10.1,37.7,114.3,1.2,6.0,242.9
,high,527.4,350.6,"4,066.2",26.6,9.2,43.0,125.6,1.3,6.0,265.1
,low,456.0,313.0,"3,612.0",25.0,11.0,32.3,103.0,1.0,6.0,238.8
Jimmy Garoppolo,SF,486.6,326.9,"3,831.9",27.2,15.5,43.3,102.9,1.3,4.0,241.1
,high,517.2,346.8,"3,934.9",28.5,12.1,51.0,132.8,1.5,4.0,262.1
,low,456.0,307.0,"3,729.0",26.0,19.0,35.6,73.0,1.0,4.0,228.5
Gardner Minshew II,JAC,563.2,349.5,"3,874.9",21.0,11.4,69.4,317.7,1.4,8.0,240.7
,high,568.3,353.0,"3,976.8",21.0,11.0,80.0,387.0,1.9,8.0,257.6
,low,558.0,346.0,"3,773.0",21.0,11.7,58.8,248.5,1.0,8.0,248.1
Derek Carr,LV,519.5,357.8,"3,956.9",23.8,10.7,26.0,86.3,1.6,5.0,240.4
,high,557.1,371.6,"4,117.7",24.5,10.4,28.0,109.5,2.0,5.0,255.7
,low,482.0,344.0,"3,796.0",23.0,11.0,24.0,63.0,1.3,5.0,240.1
