Christian McCaffrey,CAR,239.0,"1,111.1",9.2,98.6,812.7,3.3,1.1,265.1
,high,242.0,"1,161.0",10.0,107.0,884.0,4.0,1.1,288.5
,low,236.0,"1,061.1",8.3,90.2,741.4,2.7,1.1,243.9
Ezekiel Elliott,DAL,286.0,"1,274.9",10.0,58.3,454.1,2.1,1.5,242.4
,high,292.0,"1,316.0",10.0,59.0,462.2,2.1,1.5,248.2
,low,279.9,"1,233.7",10.0,57.6,446.0,2.0,1.5,239.6
Saquon Barkley,NYG,265.5,"1,221.4",9.4,60.9,488.5,2.2,0.9,239.0
,high,268.0,"1,260.0",10.0,64.0,517.0,2.4,0.9,249.7
,low,263.1,"1,182.8",8.8,57.8,460.0,2.0,0.9,230.0
Derrick Henry,TEN,293.4,"1,397.6",12.2,24.0,201.3,1.0,1.4,236.6
,high,298.9,"1,440.0",13.0,25.0,207.7,1.0,1.4,247.5
,low,288.0,"1,355.2",11.5,23.0,195.0,1.0,1.4,228.4
Dalvin Cook,MIN,247.1,"1,121.2",10.4,63.8,544.9,1.7,1.7,236.1
,high,248.2,"1,180.0",11.0,64.6,551.0,2.0,1.7,251.1
,low,246.0,"1,062.4",9.8,63.0,538.8,1.4,1.7,224.4
Alvin Kamara,NO,186.6,867.7,8.0,80.4,616.8,3.1,1.2,212.3
,high,195.2,879.4,8.0,82.0,629.0,3.1,1.2,214.5
,low,178.0,856.0,8.0,78.8,604.6,3.0,1.2,212.5
Clyde Edwards-Helaire,KC,206.2,927.3,8.1,54.3,454.1,3.3,1.1,204.0
,high,212.0,955.0,8.2,57.0,475.0,3.6,1.1,209.0
,low,200.3,899.7,8.0,51.6,433.2,3.0,1.1,201.3
Nick Chubb,CLE,287.6,"1,246.9",8.9,27.7,210.4,1.0,1.1,203.1
,high,297.0,"1,304.8",9.9,29.0,211.0,1.0,1.1,214.4
,low,278.2,"1,189.0",8.0,26.4,209.8,1.0,1.1,194.0
Josh Jacobs,LV,259.9,"1,176.8",8.5,32.1,244.6,1.2,0.9,198.2
,high,262.8,"1,208.0",8.9,37.1,288.3,1.4,0.9,203.3
,low,257.0,"1,145.6",8.0,27.0,201.0,1.0,0.9,194.9
Aaron Jones,GB,206.3,942.8,9.2,47.8,376.3,2.1,1.0,197.6
,high,208.0,979.0,9.4,51.0,385.0,2.1,1.0,202.4
,low,204.7,906.5,9.0,44.7,367.7,2.0,1.0,194.8
Joe Mixon,CIN,267.8,"1,158.8",6.8,41.7,314.9,1.7,0.8,196.8
,high,268.6,"1,176.0",7.0,45.0,335.0,2.0,0.8,205.1
,low,267.0,"1,141.7",6.5,38.3,294.8,1.5,0.8,190.1
Miles Sanders,PHI,242.4,"1,074.8",6.3,49.4,417.0,2.0,1.2,196.8
,high,247.7,"1,082.5",7.7,56.0,474.0,2.0,1.2,199.8
,low,237.0,"1,067.0",5.0,42.9,360.1,2.0,1.2,196.1
Kenyan Drake,ARI,207.9,973.1,7.4,54.3,409.9,2.0,1.1,192.9
,high,216.0,"1,013.0",7.9,55.0,416.0,2.1,1.1,196.9
,low,199.7,933.2,7.0,53.6,403.8,2.0,1.1,191.1
Chris Carson,SEA,249.9,"1,105.1",7.8,33.8,253.7,1.3,1.8,186.6
,high,252.9,"1,111.0",8.0,35.5,266.4,1.6,1.8,189.2
,low,247.0,"1,099.1",7.5,32.0,241.0,1.0,1.8,187.6
Todd Gurley II,ATL,215.7,911.8,7.4,46.8,364.4,2.2,1.2,182.9
,high,217.0,953.0,8.0,49.0,372.8,2.4,1.2,190.9
,low,214.4,870.6,6.9,44.7,356.0,2.0,1.2,177.2
David Johnson,HOU,224.1,899.6,5.7,42.8,386.0,2.9,1.3,177.8
,high,234.1,945.2,6.5,47.0,399.0,3.0,1.3,184.8
,low,214.0,854.0,5.0,38.7,373.0,2.8,1.3,173.3
Austin Ekeler,LAC,156.1,680.4,3.7,67.7,640.2,3.5,1.2,173.0
,high,162.3,715.8,4.5,71.0,675.0,4.0,1.2,174.4
,low,150.0,645.0,3.0,64.4,605.4,3.0,1.2,174.0
James Conner,PIT,209.1,890.5,6.3,41.8,319.0,1.7,1.0,166.8
,high,220.0,945.0,6.6,46.0,346.0,2.0,1.0,177.1
,low,198.2,836.0,6.0,37.7,292.1,1.4,1.0,158.6
Le'Veon Bell,KC,202.3,794.6,4.3,56.1,409.3,1.9,0.8,156.1
,high,209.0,815.0,5.0,56.2,412.6,2.0,0.8,164.1
,low,195.5,774.1,3.7,56.0,406.0,1.8,0.8,149.8
Melvin Gordon III,DEN,191.7,767.4,6.0,43.5,331.7,1.4,1.2,152.1
,high,212.0,846.0,6.0,48.1,375.4,1.8,1.2,155.4
,low,171.5,688.7,6.0,39.0,288.0,1.0,1.2,151.2
Jonathan Taylor,IND,189.9,847.2,6.9,24.2,185.9,1.1,1.0,149.2
,high,193.8,857.4,7.0,28.3,236.9,1.2,1.0,155.2
,low,186.0,837.0,6.8,20.0,135.0,1.0,1.0,145.2
Mark Ingram II,BAL,170.7,796.2,6.3,25.2,200.7,1.5,0.8,144.7
,high,182.0,855.0,6.6,27.0,217.0,2.0,0.8,155.2
,low,159.4,737.4,6.0,23.4,184.4,1.0,0.8,135.8
Cam Akers,LAR,190.2,777.4,6.2,28.9,209.9,0.9,1.0,139.4
