Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Raheem Mostert,SF,173.0,808.1,6.9,18.3,159.1,0.9,0.8,141.9
Corey Clement,PHI,28.7,119.3,1.2,2.2,18.3,0.1,0.1,21.3
Darrynton Evans,TEN,83.3,341.7,2.2,21.0,167.8,1.0,0.5,69.1
Kerrith Whyte Jr.,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Jackson,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Ricard,BAL,,,,,,,0.0,0.3
Phillip Lindsay,DEN,155.9,697.0,4.3,32.0,214.5,0.9,0.4,121.6
Ryan Nall,CHI,28.6,119.0,0.7,8.5,66.8,0.3,0.2,24.0
T.J. Yeldon,BUF,18.4,76.5,0.3,5.6,43.1,0.2,0.1,14.6
Rico Dowdle,DAL,15.6,62.9,0.5,4.2,33.9,0.2,0.1,13.7
LeSean McCoy,TB,39.2,171.8,1.4,31.3,213.5,1.3,0.4,54.2
Royce Freeman,DEN,33.1,131.9,0.9,4.2,29.3,0.1,0.1,21.9
Kyle Juszczyk,SF,4.7,19.3,0.2,14.9,149.7,0.8,0.1,22.1
Jeff Wilson Jr.,SF,19.2,78.7,0.7,1.9,15.9,0.1,0.1,14.2
Alex Collins,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benny Snell Jr.,PIT,92.5,375.3,2.6,17.6,139.5,0.7,0.5,70.3
Michael Burton,NO,,,0.0,4.1,35.2,0.2,0.0,4.8
Rod Smith,NYG,,,,,,0.0,0.0,0.0
Mark Ingram II,BAL,159.4,737.4,6.6,23.4,184.4,1.0,0.8,135.8
James Conner,PIT,198.2,836.0,6.6,37.7,292.1,1.4,1.0,158.6
Cethan Carter,CIN,0.0,0.0,0.0,4.1,34.4,0.1,0.0,4.2
Reggie Gilliam,BUF,2.1,8.4,0.1,1.8,14.8,0.1,0.0,3.2
Darius Anderson,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalvin Cook,MIN,248.2,"1,062.4",9.8,64.6,538.8,1.4,1.7,224.4
Brian Hill,ATL,60.8,255.2,1.4,16.5,131.1,0.8,0.3,50.8
Xavier Jones,LAR,3.6,14.6,0.2,2.2,17.5,0.1,0.0,4.5
Myles Gaskin,MIA,13.9,57.9,0.4,8.8,67.6,0.3,0.1,16.2
Kenyan Drake,ARI,199.7,933.2,7.9,53.6,403.8,2.1,1.1,191.1
Alexander Mattison,MIN,116.7,487.4,3.2,15.3,129.6,0.6,0.5,83.4
Chandler Cox,MIA,,,,,,,0.0,0.0
Senorise Perry,TEN,8.4,35.0,0.3,3.5,27.9,0.2,0.1,8.9
Craig Reynolds,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Burkhead,NE,47.0,198.1,1.6,17.5,162.9,0.8,0.3,49.3
Ezekiel Elliott,DAL,279.9,"1,233.7",10.0,57.6,462.2,2.1,1.5,239.6
Damien Harris,NE,100.4,418.3,2.9,13.0,106.0,0.5,0.5,71.5
Justin Jackson,LAC,109.0,464.8,2.9,23.0,171.2,0.9,0.4,85.6
Duke Johnson Jr.,HOU,68.7,316.4,1.4,43.9,386.1,2.5,0.5,92.6
Frank Gore,NYJ,87.4,330.5,1.6,12.8,98.1,0.4,0.3,54.6
Devin Singletary,BUF,178.9,816.1,3.1,36.8,290.5,1.5,1.5,135.1
Matt Breida,MIA,124.8,572.5,1.8,35.1,276.7,1.4,0.9,101.8
Travis Homer,SEA,1.7,7.0,0.0,,,,0.0,1.0
D'Andre Swift,DET,148.4,620.7,3.9,37.7,307.0,1.4,0.8,122.9
J.D. McKissic,WAS,28.1,121.3,0.7,27.7,221.1,0.9,0.1,43.6
Jonathan Taylor,IND,193.8,857.4,6.8,28.3,236.9,1.2,1.0,155.2
Jeremy McNichols,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Bawden,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvon Ahmed,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trayveon Williams,CIN,22.5,91.3,0.6,6.0,47.3,0.2,0.1,18.7
Elijah McGuire,DAL,,,0.0,,,0.0,0.0,0.0
Jaylen Samuels,PIT,36.3,149.2,0.9,22.8,166.0,0.9,0.2,42.1
Melvin Gordon III,DEN,171.5,688.7,6.0,48.1,375.4,1.8,1.2,151.2
Justice Hill,BAL,9.9,41.2,0.3,3.5,29.5,0.2,0.1,9.8
Ty Montgomery,NO,22.0,98.0,0.8,4.3,35.0,0.2,0.1,19.0
Qadree Ollison,ATL,17.3,70.1,0.6,4.6,36.4,0.2,0.1,15.3
