Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Raheem Mostert,SF,,815.5,7.5,15.5,116.2,0.6,2.5,136.8
Corey Clement,PHI,,97.6,0.9,9.3,59.0,0.3,0.0,25.6
Darrynton Evans,TEN,,359.3,2.6,13.4,118.5,0.5,0.5,65.4
Patrick Ricard,BAL,,0.8,0.1,5.7,40.6,0.3,0.0,6.1
Phillip Lindsay,DEN,,614.8,3.9,21.3,163.8,0.3,0.0,103.3
Ryan Nall,CHI,,164.4,1.2,10.6,91.9,0.4,0.2,35.0
T.J. Yeldon,BUF,,127.5,0.7,21.6,205.6,0.9,0.4,42.2
LeSean McCoy,TB,,371.8,2.6,25.0,204.1,0.6,0.2,76.8
Royce Freeman,DEN,,181.5,1.1,13.7,98.5,0.3,0.2,36.2
Kyle Juszczyk,SF,,0.0,0.1,24.3,207.7,1.4,0.0,29.7
Jeff Wilson Jr.,SF,,89.2,0.9,4.9,25.7,0.2,0.3,17.5
Benny Snell Jr.,PIT,,430.6,3.0,3.6,28.6,0.2,0.8,63.5
Michael Burton,NO,,1.7,0.0,2.8,7.6,0.1,0.0,2.0
Mark Ingram II,BAL,,780.4,5.8,29.0,283.4,2.0,1.4,151.9
James Conner,PIT,,875.0,6.0,46.3,387.4,2.1,1.7,171.6
Reggie Gilliam,BUF,,7.3,0.1,1.2,7.6,0.1,0.0,2.2
Dalvin Cook,MIN,,"1,038.6",8.0,57.9,523.3,1.8,2.5,210.3
Brian Hill,ATL,,232.6,1.6,4.1,40.2,0.2,0.4,37.0
Xavier Jones,LAR,,28.6,0.2,1.5,10.8,0.1,0.0,5.4
Myles Gaskin,MIA,,446.0,2.8,20.9,163.6,0.6,0.5,80.4
Kenyan Drake,ARI,,"1,011.5",7.3,52.7,366.1,1.4,1.4,187.3
Alexander Mattison,MIN,,490.6,3.5,17.2,137.5,0.7,1.0,85.6
Chandler Cox,MIA,,2.1,0.1,2.2,3.5,0.1,0.0,1.5
Ezekiel Elliott,DAL,,"1,220.0",9.0,49.7,401.7,2.2,1.3,226.4
Justin Jackson,LAC,,461.0,3.2,21.9,165.2,0.6,0.3,85.3
Rex Burkhead,NE,,246.6,1.9,25.7,239.6,1.3,0.0,67.6
Damien Harris,NE,,177.6,1.1,6.4,40.1,0.3,0.3,29.6
Duke Johnson Jr.,HOU,,284.6,2.2,44.8,416.5,1.7,0.5,94.7
Frank Gore,NYJ,,277.8,1.6,10.3,91.0,0.4,0.0,48.6
Devin Singletary,BUF,,871.0,5.1,36.0,346.9,1.5,1.2,159.5
Matt Breida,MIA,,406.6,2.5,20.0,142.9,0.7,0.9,72.3
Travis Homer,SEA,,103.8,0.7,7.1,74.3,0.3,0.1,23.7
D'Andre Swift,DET,,400.7,2.7,27.2,217.2,1.1,0.4,83.7
J.D. McKissic,WAS,,37.1,0.2,20.0,138.7,0.5,0.0,22.0
Jonathan Taylor,IND,,713.3,4.8,28.6,243.2,1.1,1.0,129.4
Trayveon Williams,CIN,,29.7,0.2,3.3,26.2,0.2,0.0,8.1
Jaylen Samuels,PIT,,111.5,0.6,30.0,234.3,1.0,0.0,44.0
Melvin Gordon III,DEN,,779.1,6.3,50.2,431.7,2.1,0.8,170.8
Justice Hill,BAL,,57.6,0.4,4.1,34.2,0.1,0.1,12.4
Ty Montgomery,NO,,109.8,0.7,9.6,64.7,0.4,0.0,23.6
Qadree Ollison,ATL,,131.9,1.4,3.5,20.4,0.2,0.2,24.4
Jamaal Williams,GB,,263.4,1.6,23.7,200.3,0.8,0.0,60.2
Darwin Thompson,KC,,220.6,1.5,10.5,72.6,0.4,0.2,40.2
Aaron Jones,GB,,990.1,8.0,41.4,352.5,2.0,1.1,191.5
Buddy Howell,HOU,,25.7,0.2,3.9,23.9,0.2,0.0,7.1
Darrell Henderson,LAR,,483.8,2.7,26.6,174.9,0.8,0.6,86.2
