Travis Kelce,KC,91.5,"1,143.5",8.4,0.5,163.7
,high,92.0,"1,155.0",9.8,0.5,173.0
,low,91.0,"1,132.0",7.0,0.5,157.5
George Kittle,SF,82.7,"1,059.2",6.2,0.4,142.3
,high,85.0,"1,120.0",6.4,0.4,148.0
,low,80.3,998.4,6.0,0.4,142.3
Mark Andrews,BAL,63.0,834.8,7.4,0.6,126.5
,high,65.9,882.7,7.7,0.6,133.5
,low,60.0,787.0,7.0,0.6,120.7
Zach Ertz,PHI,77.8,821.7,6.7,0.4,121.5
,high,81.0,855.0,7.0,0.4,127.5
,low,74.6,788.4,6.4,0.4,116.3
Darren Waller,LV,73.9,866.4,5.1,0.4,116.3
,high,75.0,879.0,5.2,0.4,117.9
,low,72.7,853.8,5.0,0.4,115.5
Jared Cook,NO,48.1,642.2,5.7,0.3,97.7
,high,50.0,656.5,6.4,0.3,103.3
,low,46.2,628.0,5.0,0.3,92.8
Hayden Hurst,ATL,59.1,655.7,5.2,0.3,96.2
,high,64.0,692.0,6.0,0.3,105.2
,low,54.1,619.3,4.4,0.3,87.9
Evan Engram,NYG,60.5,666.6,5.0,0.3,96.1
,high,64.0,692.1,5.0,0.3,102.5
,low,57.0,641.0,5.0,0.3,94.1
Tyler Higbee,LAR,62.2,670.0,4.8,0.3,95.4
,high,64.4,704.9,5.0,0.3,97.9
,low,60.0,635.0,4.7,0.3,93.5
Rob Gronkowski,TB,45.8,618.2,5.3,0.3,93.0
,high,47.5,649.3,6.0,0.3,94.7
,low,44.0,587.0,4.6,0.3,91.9
Noah Fant,DEN,53.1,638.2,4.6,0.3,90.7
,high,56.2,640.4,5.0,0.3,93.6
,low,50.0,636.0,4.2,0.3,90.2
Hunter Henry,LAC,53.6,636.4,4.3,0.4,88.9
,high,54.2,656.7,4.7,0.4,92.9
,low,53.0,616.0,4.0,0.4,85.6
Chris Herndon IV,NYJ,52.0,624.3,4.4,0.3,88.3
,high,55.0,649.0,5.0,0.3,94.9
,low,49.1,599.6,3.8,0.3,82.3
Mike Gesicki,MIA,58.0,625.6,4.1,0.4,86.5
,high,62.0,649.0,4.3,0.4,88.9
,low,53.9,602.1,4.0,0.4,84.9
T.J. Hockenson,DET,52.4,606.4,4.2,0.3,85.2
,high,53.9,617.9,4.4,0.3,87.6
,low,51.0,595.0,4.0,0.3,83.5
Austin Hooper,CLE,52.2,550.4,4.5,0.1,81.6
,high,56.0,585.0,4.9,0.1,82.5
,low,48.4,515.9,4.0,0.1,80.9
Jack Doyle,IND,55.0,539.5,4.4,0.4,79.4
,high,60.0,554.0,4.7,0.4,80.1
,low,49.9,525.0,4.0,0.4,79.4
Jonnu Smith,TEN,45.8,517.0,4.5,0.3,77.9
,high,50.0,593.0,5.0,0.3,89.3
,low,41.6,441.1,3.9,0.3,71.6
Dallas Goedert,PHI,51.4,530.1,4.1,0.5,76.5
,high,53.0,556.0,4.2,0.5,79.6
,low,49.9,504.2,4.0,0.5,74.5
Blake Jarwin,DAL,43.9,497.7,4.3,0.3,74.9
,high,44.0,502.0,5.0,0.3,80.2
,low,43.8,493.3,3.6,0.3,70.2
Eric Ebron,PIT,44.2,513.0,4.0,0.2,74.6
,high,45.0,522.0,4.0,0.2,76.2
,low,43.4,504.0,3.9,0.2,73.5
Dawson Knox,BUF,36.6,450.8,3.4,0.2,65.3
,high,37.1,459.0,4.0,0.2,69.9
,low,36.0,442.5,2.9,0.2,61.1
Ian Thomas,CAR,45.2,454.9,3.2,0.2,64.3
,high,47.0,486.0,4.0,0.2,72.6
,low,43.3,423.9,2.4,0.2,56.4
Tyler Eifert,JAC,42.3,463.1,3.0,0.2,64.2
,high,43.0,471.2,3.1,0.2,65.2
,low,41.7,455.0,3.0,0.2,63.5
Greg Olsen,SEA,37.2,424.9,3.6,0.1,63.7
,high,47.0,525.0,4.0,0.1,76.5
,low,27.4,324.8,3.1,0.1,51.1
Irv Smith Jr.,MIN,41.9,436.0,2.9,0.3,60.7
,high,45.8,482.9,3.0,0.3,65.0
,low,38.0,389.0,2.9,0.3,56.9
Darren Fells,HOU,34.1,339.5,4.3,0.1,59.5
,high,38.0,385.0,5.0,0.1,68.5
,low,30.2,294.0,3.6,0.1,50.8
Jimmy Graham,CHI,40.4,441.5,2.5,0.3,58.9
,high,41.8,498.0,3.1,0.3,67.8
,low,39.0,385.0,2.0,0.3,50.5
Kyle Rudolph,MIN,37.6,367.1,3.6,0.1,58.2
,high,43.0,411.0,4.0,0.1,65.1
,low,32.2,323.3,3.3,0.1,51.6
Will Dissly,SEA,30.8,339.0,2.9,0.2,50.7
,high,32.6,389.1,3.7,0.2,61.0
,low,29.0,289.0,2.0,0.2,40.9
Nick Boyle,BAL,31.6,330.7,3.0,0.1,50.5
,high,33.3,355.0,3.0,0.1,53.5
,low,30.0,306.5,2.9,0.1,47.8
O.J. Howard,TB,28.8,346.9,2.6,0.2,49.8
,high,35.0,388.0,3.0,0.2,56.8
,low,22.6,305.8,2.2,0.2,43.2
C.J. Uzomah,CIN,35.0,328.1,2.8,0.2,49.4
,high,37.0,341.3,3.0,0.2,49.6
,low,33.0,315.0,2.6,0.2,49.5
Jace Sternberger,GB,34.2,351.8,2.4,0.2,48.9
,high,37.0,365.0,2.7,0.2,49.7
,low,31.5,338.6,2.0,0.2,48.5
Logan Thomas,WAS,30.9,350.2,2.0,0.2,46.8
,high,32.7,351.4,2.1,0.2,47.1
,low,29.0,349.0,2.0,0.2,46.9
Gerald Everett,LAR,30.1,341.0,2.0,0.2,45.8
,high,31.0,345.0,2.0,0.2,46.5
,low,29.3,337.1,2.0,0.2,45.4
Jordan Akins,HOU,31.6,320.5,1.7,0.2,42.2
,high,32.3,350.0,2.5,0.2,49.6
,low,31.0,291.0,1.0,0.2,35.1
Devin Asiasi,NE,26.3,288.5,1.9,0.2,40.0
,high,29.0,289.0,2.0,0.2,40.9
,low,23.7,288.0,1.8,0.2,39.5
Jordan Reed,SF,24.2,255.3,2.4,0.2,39.4
,high,28.0,295.0,3.0,0.2,47.5
,low,20.3,215.6,1.8,0.2,31.7
David Njoku,CLE,23.6,248.2,2.4,0.1,39.2
,high,32.0,317.0,3.0,0.1,49.7
,low,15.3,179.5,1.9,0.1,28.9
Vance McDonald,PIT,26.2,263.3,2.0,0.2,37.9
,high,29.0,288.0,2.0,0.2,40.8
,low,23.3,238.7,2.0,0.2,35.4
Dan Arnold,ARI,20.9,247.0,2.1,0.2,36.9
,high,27.8,348.9,3.2,0.2,53.6
,low,14.0,145.0,1.0,0.2,20.5
Cole Kmet,CHI,21.7,254.5,1.6,0.1,34.5
,high,24.0,289.0,2.0,0.1,40.9
,low,19.4,219.9,1.1,0.1,28.5
Anthony Firkser,TEN,21.7,243.4,1.5,0.1,33.1
,high,22.0,255.9,2.0,0.1,37.5
