Michael Thomas,NO,130.0,"1,527.8",9.3,0.4,1.4,0.0,1.0,207.0
,high,135.0,"1,610.0",9.7,0.9,5.8,0.0,1.0,214.7
,low,125.0,"1,445.6",9.0,0.0,-3.0,0.0,1.0,203.2
Davante Adams,GB,110.0,"1,372.5",10.5,0.0,0.0,0.0,1.0,198.4
,high,110.1,"1,422.0",11.0,0.0,0.0,0.0,1.0,208.2
,low,110.0,"1,323.0",10.1,0.0,0.0,0.0,1.0,191.9
Tyreek Hill,KC,84.9,"1,260.6",9.0,12.2,77.9,0.7,1.0,190.1
,high,86.0,"1,269.0",9.1,17.0,106.0,1.0,1.0,197.5
,low,83.9,"1,252.2",9.0,7.4,49.9,0.3,1.0,187.1
Julio Jones,ATL,106.2,"1,470.5",6.1,1.2,3.2,0.0,1.0,182.0
,high,114.0,"1,573.0",6.2,2.0,4.0,0.0,1.0,193.7
,low,98.4,"1,368.0",6.0,0.3,2.3,0.0,1.0,173.2
Kenny Golladay,DET,74.3,"1,240.4",8.0,0.5,2.5,0.0,1.0,170.0
,high,79.7,"1,244.8",9.0,1.0,5.0,0.0,1.0,178.1
,low,69.0,"1,236.0",6.9,0.0,0.0,0.0,1.0,165.3
Chris Godwin,TB,84.7,"1,219.7",7.8,1.6,9.9,0.1,1.0,168.5
,high,94.3,"1,264.4",8.0,2.2,14.9,0.2,1.0,172.9
,low,75.0,"1,175.0",7.7,1.0,5.0,0.0,1.0,166.0
DeAndre Hopkins,ARI,101.2,"1,213.5",7.8,0.8,3.8,0.0,1.0,166.6
,high,102.0,"1,239.0",8.0,1.0,4.0,0.0,1.0,169.6
,low,100.5,"1,188.0",7.6,0.5,3.6,0.0,1.0,167.2
Mike Evans,TB,75.2,"1,193.0",7.3,0.7,4.7,0.0,1.0,161.8
,high,84.4,"1,215.0",7.6,1.4,9.4,0.0,1.0,163.6
,low,66.0,"1,171.0",7.0,0.0,0.0,0.0,1.0,163.5
Adam Thielen,MIN,78.5,"1,073.7",7.4,5.8,28.2,0.6,1.0,155.9
,high,82.0,"1,091.4",8.0,7.0,30.3,1.0,1.0,162.2
,low,75.0,"1,056.0",6.7,4.6,26.0,0.2,1.0,153.8
Odell Beckham Jr.,CLE,77.7,"1,146.2",6.8,2.6,9.8,0.0,1.0,154.6
,high,79.4,"1,155.0",7.7,5.0,19.0,0.0,1.0,158.9
,low,76.0,"1,137.5",6.0,0.1,0.5,0.0,1.0,153.4
D.J. Moore,CAR,84.6,"1,211.6",4.9,8.2,73.7,0.1,2.0,154.5
,high,88.2,"1,256.0",5.8,9.0,98.0,0.2,2.0,159.4
,low,81.0,"1,167.2",4.0,7.3,49.4,0.0,2.0,155.0
A.J. Brown,TEN,63.3,"1,092.9",6.6,3.2,37.9,0.6,1.0,153.9
,high,69.5,"1,106.8",7.0,4.0,60.0,1.0,1.0,161.9
,low,57.0,"1,079.0",6.1,2.4,15.8,0.2,1.0,148.9
Cooper Kupp,LAR,87.0,"1,046.9",8.3,2.0,8.5,0.0,1.0,153.1
,high,89.0,"1,084.0",10.0,4.0,17.0,0.0,1.0,170.1
,low,85.0,"1,009.8",6.5,0.0,0.0,0.0,1.0,138.5
JuJu Smith-Schuster,PIT,88.7,"1,167.5",6.3,0.5,4.0,0.0,1.0,153.0
,high,89.3,"1,172.0",6.6,1.0,8.0,0.0,1.0,155.3
,low,88.0,"1,163.0",6.0,0.0,0.0,0.0,1.0,154.0
Amari Cooper,DAL,75.7,"1,075.0",7.7,0.5,7.0,0.0,1.0,152.6
,high,79.4,"1,096.1",8.0,1.0,14.0,0.0,1.0,154.8
,low,72.0,"1,054.0",7.5,0.0,0.0,0.0,1.0,154.0
Tyler Lockett,SEA,75.0,"1,057.7",7.5,6.1,28.1,0.1,1.0,152.0
,high,76.0,"1,125.0",8.0,8.0,28.2,0.2,1.0,163.3
,low,74.1,990.3,7.0,4.2,28.0,0.0,1.0,143.3
Calvin Ridley,ATL,81.3,"1,048.5",7.9,2.5,19.0,0.0,1.0,152.0
,high,82.5,"1,083.9",9.0,4.0,31.0,0.0,1.0,158.4
,low,80.0,"1,013.0",6.8,1.0,7.0,0.0,1.0,148.9
Robert Woods,LAR,87.7,"1,090.3",4.6,15.4,93.0,0.8,1.0,148.6
,high,92.0,"1,164.0",5.2,20.0,111.0,1.0,1.0,157.5
,low,83.5,"1,016.6",4.0,10.9,75.0,0.5,1.0,144.0
Allen Robinson II,CHI,87.6,"1,094.8",6.5,2.0,12.0,0.1,1.0,148.3
,high,90.3,"1,106.6",7.0,3.0,19.0,0.2,1.0,155.4
,low,85.0,"1,083.0",6.0,1.0,5.0,0.0,1.0,144.8
Courtland Sutton,DEN,70.3,"1,078.6",6.3,1.2,4.3,0.0,1.0,144.0
,high,76.6,"1,096.0",7.0,2.0,6.0,0.0,1.0,152.2
,low,64.0,"1,061.1",5.6,0.3,2.6,0.0,1.0,138.9
T.Y. Hilton,IND,71.0,"1,079.1",6.3,0.0,0.0,0.0,1.0,143.9
,high,71.0,"1,106.0",7.0,0.0,0.0,0.0,1.0,152.6
,low,71.0,"1,052.1",5.7,0.0,0.0,0.0,1.0,138.8
Terry McLaurin,WAS,73.2,"1,079.1",6.3,0.0,0.0,0.0,1.0,143.8
,high,74.5,"1,086.3",7.0,0.0,0.0,0.0,1.0,149.2
,low,72.0,"1,072.0",5.6,0.0,0.0,0.0,1.0,142.2
D.J. Chark Jr.,JAC,75.9,"1,055.7",6.2,1.5,13.1,0.0,1.0,142.3
,high,77.8,"1,096.3",7.0,2.1,13.2,0.0,1.0,144.8
,low,74.0,"1,015.0",5.4,1.0,13.0,0.0,1.0,143.2
Keenan Allen,LAC,86.0,"1,030.4",5.8,7.3,51.2,0.2,1.0,142.3
,high,91.0,"1,161.0",6.0,8.0,57.0,0.4,1.0,157.8
,low,81.0,899.8,5.6,6.6,45.5,0.0,1.0,129.9
Stefon Diggs,BUF,72.5,"1,011.7",5.6,9.4,75.6,0.2,1.0,141.4
,high,74.0,"1,014.0",6.0,11.0,99.0,0.4,1.0,147.3
,low,71.0,"1,009.5",5.2,7.7,52.2,0.0,1.0,137.8
D.K. Metcalf,SEA,67.4,"1,008.8",7.6,1.7,9.8,0.0,3.0,141.3
,high,68.7,"1,054.0",8.0,2.0,10.0,0.0,3.0,154.4
,low,66.0,963.7,7.1,1.4,9.6,0.0,3.0,139.2
Marquise Brown,BAL,64.0,850.7,6.8,9.5,90.0,0.5,1.0,136.1
,high,67.0,885.0,7.0,19.0,180.0,1.0,1.0,154.5
,low,61.0,816.3,6.7,0.0,0.0,0.0,1.0,121.3
DeVante Parker,MIA,69.3,"1,019.2",5.6,0.6,4.0,0.0,1.0,133.6
,high,75.6,"1,055.4",6.0,1.1,7.9,0.0,1.0,137.2
,low,63.0,983.0,5.1,0.0,0.0,0.0,1.0,134.3
Michael Gallup,DAL,60.8,"1,003.9",5.9,0.0,0.0,0.0,1.0,133.5
,high,62.0,"1,072.0",6.0,0.0,0.0,0.0,1.0,143.2
,low,59.6,935.7,5.7,0.0,0.0,0.0,1.0,127.9
Jarvis Landry,CLE,71.1,992.4,5.1,1.0,19.0,0.5,1.0,132.7
,high,73.0,"1,026.0",5.2,2.0,38.0,1.0,1.0,142.4
,low,69.3,958.8,5.0,0.0,0.0,0.0,1.0,126.6
A.J. Green,CIN,67.0,984.6,5.5,0.0,1.0,0.0,2.0,127.5
,high,68.0,"1,003.0",6.0,0.0,2.0,0.0,2.0,136.5
