Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Ryan, Logan",NYG,@SEA,DB,4.7,1.3,0.1,0.9,0.2,0.2,0.0,0.0,0.0,0.0,7.0
2,"Kirkpatrick, Dre",ARI,LAR,DB,5.1,1.3,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,6.6
3,"Moore, Kenny",IND,@HOU,DB,4.7,1.0,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,6.3
4,"Humphrey, Marlon",BAL,DAL,DB,4.6,0.8,0.1,0.6,0.1,0.3,0.1,0.0,0.0,0.0,6.3
5,"Howard, Xavien",MIA,CIN,DB,3.1,0.9,0.0,1.3,0.6,0.0,0.0,0.0,0.0,0.0,6.0
6,"Johnson, Taron",BUF,@SFO,DB,4.6,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,5.7
7,"Trufant, Desmond",DET,@CHI,DB,3.6,1.1,0.1,0.8,0.2,0.0,0.0,0.0,0.0,0.0,5.5
8,"White, Tre'Davious",BUF,@SFO,DB,3.6,1.0,0.1,0.7,0.2,0.1,0.1,0.0,0.0,0.0,5.4
9,"Bradberry, James",NYG,@SEA,DB,3.4,0.9,0.0,1.2,0.1,0.1,0.1,0.0,1.0,0.0,5.4
10,"Gladney, Jeff",MIN,JAC,DB,4.4,1.1,0.0,0.3,0.0,0.1,0.0,0.0,1.0,0.0,5.3
11,"Hill, Troy",LAR,@ARI,DB,3.9,1.2,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,5.3
12,"Ward, Charvarius",KCC,DEN,DB,3.7,1.2,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,5.2
13,"Roby, Bradley",HOU,IND,DB,3.8,0.5,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,5.2
14,"Davis, Michael",LAC,NEP,DB,3.5,0.8,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,5.1
15,"Peters, Marcus",BAL,DAL,DB,3.0,0.6,0.1,0.7,0.3,0.2,0.2,0.0,0.0,0.0,5.1
