Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Tuitt, Stephon",PIT,@DAL,DL,2.9,1.4,0.8,0.1,0.0,0.1,0.0,0.0,5.5
2,"Okwara, Romeo",DET,@MIN,DL,2.7,0.8,0.7,0.0,0.0,0.3,0.0,0.0,4.9
3,"Burns, Brian",CAR,@KCC,DL,2.3,1.4,0.6,0.2,0.0,0.3,0.0,0.0,4.8
4,"Ogbah, Emmanuel",MIA,@ARI,DL,1.8,1.5,0.8,0.3,0.0,0.3,0.0,0.0,4.8
5,"Sweat, Montez",WAS,NYG,DL,2.5,1.0,0.7,0.1,0.0,0.2,0.0,0.0,4.7
6,"Dunlap, Carlos",SEA,@BUF,DL,2.4,1.2,0.5,0.4,0.0,0.2,0.0,0.0,4.6
7,"Crosby, Maxx",LVR,@LAC,DL,2.2,1.0,0.7,0.2,0.0,0.1,0.0,0.0,4.5
8,"Odenigbo, Ifeadi",MIN,DET,DL,2.1,1.4,0.7,0.0,0.0,0.1,0.1,0.0,4.3
9,"Ngakoue, Yannick",BAL,@IND,DL,2.5,0.5,0.5,0.3,0.0,0.2,0.0,0.0,4.3
10,"Young, Chase",WAS,NYG,DL,2.7,1.4,0.3,0.0,0.0,0.1,0.1,0.0,4.2
11,"Heyward, Cameron",PIT,@DAL,DL,2.4,1.5,0.4,0.3,0.1,0.0,0.0,0.0,4.2
12,"Lawrence, Demarcus",DAL,PIT,DL,2.2,1.3,0.4,0.2,0.0,0.2,0.0,0.0,4.1
13,"Watt, J.J.",HOU,@JAC,DL,2.0,1.0,0.4,0.4,0.0,0.1,0.1,0.0,4.0
14,"Jordan, Cameron",NOS,@TBB,DL,2.1,1.1,0.6,0.1,0.0,0.0,0.0,0.0,3.9
15,"Anderson, Henry",NYJ,NEP,DL,2.1,1.6,0.3,0.1,0.0,0.0,0.0,0.0,3.7
16,"Hicks, Akiem",CHI,@TEN,DL,2.2,1.1,0.4,0.2,0.0,0.0,0.0,0.0,3.7
17,"Williams, Leonard",NYG,@WAS,DL,1.9,1.7,0.4,0.1,0.0,0.0,0.0,0.0,3.6
18,"Armstead, Arik",SFO,GBP,DL,2.0,0.9,0.4,0.2,0.0,0.1,0.0,0.0,3.5
19,"Pierre-Paul, Jason",TBB,NOS,DL,1.7,0.8,0.5,0.1,0.0,0.2,0.1,0.0,3.5
20,"Simon, John",NEP,@NYJ,DL,2.0,1.1,0.2,0.2,0.0,0.0,0.0,0.0,3.3
21,"Smith, Aldon",DAL,PIT,DL,1.8,0.9,0.4,0.1,0.0,0.1,0.0,0.0,3.3
22,"Wonnum, D.J.",MIN,DET,DL,1.8,0.6,0.5,0.0,0.0,0.1,0.0,0.0,3.2
23,"Lawson, Shaq",MIA,@ARI,DL,1.4,1.4,0.4,0.1,0.0,0.1,0.0,0.0,3.2
24,"Griffen, Everson",DET,@MIN,DL,2.0,0.9,0.3,0.0,0.0,0.1,0.1,0.0,3.2
25,"Campbell, Calais",BAL,@IND,DL,1.7,1.2,0.2,0.4,0.0,0.0,0.0,0.0,3.2
26,"Allen, Josh",JAC,HOU,DL,1.5,0.5,0.6,0.1,0.0,0.1,0.0,0.0,3.1
