Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Donald, Aaron",LAR,@PHI,DL,2.3,1.5,1.1,0.1,0.0,0.2,0.1,0.0,5.6
2,"Reed, Jarran",SEA,NEP,DL,2.5,1.5,0.6,0.1,0.0,0.2,0.0,0.0,4.7
3,"Jones, Chris",KCC,@LAC,DL,1.9,1.0,0.8,0.5,0.0,0.0,0.0,0.0,4.6
4,"Buckner, DeForest",IND,MIN,DL,2.4,1.3,0.5,0.1,0.0,0.1,0.1,0.0,4.4
5,"Simmons, Jeffery",TEN,JAC,DL,2.6,1.5,0.4,0.1,0.0,0.0,0.0,0.0,4.3
6,"Allen, Jonathan",WAS,@ARI,DL,2.5,1.5,0.4,0.1,0.0,0.0,0.0,0.0,4.2
7,"Ogunjobi, Larry",CLE,CIN,DL,2.8,1.2,0.2,0.1,0.0,0.2,0.0,0.0,4.1
8,"Ioannidis, Matt",WAS,@ARI,DL,2.1,1.3,0.7,0.1,0.0,0.0,0.0,0.0,4.1
9,"Jarrett, Grady",ATL,@DAL,DL,2.1,1.6,0.5,0.0,0.0,0.1,0.0,0.0,4.1
10,"Richardson, Sheldon",CLE,CIN,DL,2.4,1.2,0.2,0.2,0.0,0.1,0.0,0.0,3.6
11,"Wilkins, Christian",MIA,BUF,DL,2.0,1.3,0.2,0.4,0.0,0.0,0.0,0.0,3.4
12,"Guy, Lawrence",NEP,@SEA,DL,2.2,1.1,0.2,0.1,0.1,0.0,0.0,0.0,3.3
13,"Suh, Ndamukong",TBB,CAR,DL,2.0,1.2,0.2,0.3,0.0,0.0,0.0,0.0,3.3
14,"Godchaux, Davon",MIA,BUF,DL,2.1,1.6,0.1,0.0,0.0,0.0,0.0,0.0,3.1
15,"Joseph, Sebastian",LAR,@PHI,DL,2.1,1.4,0.1,0.0,0.0,0.0,0.0,0.0,3.0
16,"Nnadi, Derrick",KCC,@LAC,DL,1.5,1.5,0.2,0.2,0.1,0.0,0.0,0.0,3.0
17,"Purcell, Mike",DEN,@PIT,DL,2.1,1.4,0.0,0.2,0.0,0.0,0.0,0.0,3.0
18,"Kinlaw, Javon",SFO,@NYJ,DL,1.6,0.8,0.3,0.2,0.0,0.0,0.0,0.0,2.9
19,"Oliver, Ed",BUF,@MIA,DL,1.5,1.5,0.2,0.1,0.0,0.0,0.0,0.0,2.9
20,"Lawrence, Dexter",NYG,@CHI,DL,2.0,0.9,0.2,0.1,0.0,0.0,0.0,0.0,2.8
21,"Payne, Da'Ron",WAS,@ARI,DL,1.5,1.4,0.2,0.1,0.0,0.1,0.0,0.0,2.7
22,"Reader, D.J.",CIN,@CLE,DL,1.5,1.9,0.2,0.0,0.0,0.0,0.0,0.0,2.7
23,"Shelton, Danny",DET,@GBP,DL,1.8,1.3,0.1,0.0,0.0,0.0,0.0,0.0,2.7
24,"Autry, Denico",IND,MIN,DL,1.4,0.6,0.3,0.2,0.0,0.0,0.0,0.0,2.7
25,"Vea, Vita",TBB,CAR,DL,1.6,1.2,0.1,0.1,0.0,0.0,0.0,0.0,2.6
26,"Tomlinson, Dalvin",NYG,@CHI,DL,1.4,1.6,0.2,0.0,0.0,0.1,0.0,0.0,2.6
27,"Thomas, Solomon",SFO,@NYJ,DL,1.7,0.5,0.2,0.1,0.0,0.1,0.0,0.0,2.6
28,"Cox, Fletcher",PHI,LAR,DL,1.5,0.7,0.2,0.1,0.0,0.2,0.0,0.0,2.6
29,"Brown, Derrick",CAR,@TBB,DL,1.2,1.3,0.2,0.3,0.0,0.0,0.0,0.0,2.5
