Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Sanders, Jason",MIA,@DEN,K,2.7,2.8,2.1,2.3,0.0,0.6,0.4,0.6,0.4,0.2,9.7
2,"Tucker, Justin",BAL,TEN,K,3.0,3.1,1.8,2.0,0.0,0.5,0.4,0.7,0.2,0.1,9.2
3,"Lutz, Wil",NOS,ATL,K,3.0,3.0,1.9,2.1,0.0,0.5,0.7,0.6,0.1,0.2,8.9
4,"Koo, Younghoe",ATL,@NOS,K,1.8,2.1,2.1,2.3,0.0,0.5,0.7,0.6,0.2,0.2,8.6
5,"Gonzalez, Zane",ARI,@SEA,K,2.8,2.9,1.9,2.2,0.0,0.6,0.5,0.6,0.2,0.3,8.5
6,"Boswell, Chris",PIT,@JAC,K,2.6,2.9,1.7,1.8,0.0,0.3,0.6,0.7,0.1,0.1,8.3
7,"Succop, Ryan",TBB,LAR,K,2.9,3.0,1.7,1.9,0.0,0.5,0.5,0.6,0.1,0.2,8.1
8,"Prater, Matt",DET,@CAR,K,2.6,2.6,1.8,2.3,0.0,0.5,0.5,0.5,0.4,0.4,8.1
9,"Butker, Harrison",KCC,@LVR,K,3.0,3.4,1.6,1.8,0.0,0.4,0.7,0.3,0.2,0.2,7.9
10,"Bullock, Randy",CIN,@WAS,K,2.0,2.0,1.9,2.1,0.0,0.4,0.7,0.6,0.2,0.2,7.9
11,"Carlson, Daniel",LVR,KCC,K,2.3,2.4,1.7,2.0,0.0,0.7,0.4,0.4,0.3,0.3,7.5
12,"Myers, Jason",SEA,ARI,K,3.1,3.3,1.3,1.5,0.0,0.1,0.4,0.6,0.2,0.2,7.4
13,"Zuerlein, Greg",DAL,@MIN,K,1.9,2.0,1.9,2.3,0.0,0.2,0.6,0.8,0.2,0.4,7.4
14,"Blankenship, Rodrigo",IND,GBP,K,2.4,2.6,1.6,1.9,0.0,0.5,0.5,0.6,0.1,0.2,7.3
15,"Badgley, Mike",LAC,NYJ,K,2.6,2.7,1.6,2.1,0.0,0.5,0.4,0.6,0.2,0.4,7.3
16,"Fairbairn, Ka'imi",HOU,NEP,K,2.6,2.8,1.6,1.8,0.0,0.4,0.6,0.3,0.2,0.3,7.2
17,"McManus, Brandon",DEN,MIA,K,1.5,1.6,1.6,1.8,0.0,0.3,0.3,0.6,0.4,0.2,6.9
18,"Crosby, Mason",GBP,@IND,K,2.7,2.7,1.1,1.2,0.1,0.0,0.5,0.4,0.1,0.1,6.6
19,"Bailey, Dan",MIN,DAL,K,2.4,2.5,1.2,1.4,0.0,0.3,0.5,0.3,0.1,0.2,6.2
20,"McLaughlin, Chase",JAC,PIT,K,1.5,1.7,1.4,1.7,0.0,0.3,0.5,0.2,0.4,0.3,5.6
21,"Slye, Joey",CAR,DET,K,1.8,1.9,1.5,2.0,0.0,0.5,0.4,0.5,0.1,0.5,5.4
22,"Elliott, Jake",PHI,@CLE,K,1.6,1.7,1.1,1.5,0.0,0.2,0.5,0.3,0.1,0.3,4.5
23,"Folk, Nick",NEP,@HOU,K,1.2,1.4,1.2,1.5,0.0,0.4,0.3,0.4,0.1,0.3,4.4
24,"Ficken, Sam",NYJ,@LAC,K,1.1,1.2,1.2,1.6,0.0,0.3,0.5,0.3,0.2,0.4,4.1
25,"Hopkins, Dustin",WAS,CIN,K,1.3,1.4,1.2,1.6,0.0,0.2,0.4,0.5,0.1,0.5,4.0
26,"Gostkowski, Stephen",TEN,@BAL,K,2.3,2.5,0.8,1.7,0.0,0.1,0.2,0.2,0.4,0.8,3.2

