Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Leonard, Darius",IND,LB,94.5,60.6,5.9,8.1,4.5,2.9,0.9,0.2,151.6
2,"Smith, Jaylon",DAL,LB,87.4,55.4,2.0,10.7,1.4,1.9,1.2,0.0,133.8
3,"Johnson, A.J.",DEN,LB,89.5,68.9,2.2,3.4,1.0,1.2,0.0,0.0,132.7
4,"Hicks, Jordan",ARI,LB,87.9,47.0,1.4,5.1,2.1,1.2,1.2,0.0,124.6
5,"Schobert, Joe",JAC,LB,89.3,47.6,1.3,5.0,1.5,1.2,0.6,0.0,124.1
6,"Wagner, Bobby",SEA,LB,81.0,57.7,1.8,6.4,0.8,1.0,0.6,0.1,121.3
7,"David, Lavonte",TBB,LB,89.2,32.3,1.9,5.1,0.5,3.0,0.9,0.0,117.3
8,"Littleton, Cory",LVR,LB,84.1,43.4,2.5,5.4,0.9,0.6,0.6,0.0,116.5
9,"Martinez, Blake",NYG,LB,83.0,45.1,3.2,3.4,1.5,0.0,0.0,0.0,115.2
10,"Vander Esch, Leighton",DAL,LB,74.4,54.0,1.6,6.3,0.6,2.1,0.3,0.2,112.9
11,"Wilson, Mack",CLE,LB,78.1,25.9,2.5,9.7,3.7,1.8,0.3,0.0,112.6
12,"Warner, Fred",SFO,LB,81.1,28.3,1.6,8.4,2.4,2.0,0.0,0.1,112.2
13,"Davis, Demario",NOS,LB,80.0,27.7,4.7,10.6,0.7,0.4,0.4,0.0,111.5
14,"White, Devin",TBB,LB,75.0,35.9,2.8,4.8,1.6,3.2,3.2,0.3,110.1
15,"Watt, T.J.",PIT,LB,58.0,29.2,14.3,5.7,2.3,9.2,3.2,0.0,109.5
16,"Cunningham, Zach",HOU,LB,81.3,38.6,1.3,5.4,0.8,0.0,0.0,0.2,109.0
17,"Kendricks, Eric",MIN,LB,69.0,45.9,1.3,9.4,1.5,1.2,1.1,0.0,108.0
18,"Jones, Deion",ATL,LB,74.0,43.7,0.4,7.1,1.7,0.6,0.6,0.2,107.9
19,"Brown, Jayon",TEN,LB,76.0,37.5,1.0,8.2,1.1,0.5,0.5,0.1,107.1
20,"Mack, Khalil",CHI,LB,70.0,15.5,14.8,6.1,0.5,5.2,1.6,0.0,106.5
