Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Warner, Fred",SFO,@NOS,LB,6.8,3.2,0.1,0.5,0.3,0.0,0.0,0.0,9.5
2,"Leonard, Darius",IND,@TEN,LB,6.1,3.0,0.2,0.5,0.2,0.1,0.1,0.0,9.0
3,"Wagner, Bobby",SEA,@LAR,LB,5.4,4.0,0.3,0.4,0.0,0.0,0.0,0.0,8.2
4,"Kendricks, Eric",MIN,@CHI,LB,5.4,2.8,0.1,0.5,0.1,0.0,0.0,0.0,7.7
5,"Kiser, Micah",LAR,SEA,LB,5.0,3.3,0.3,0.4,0.0,0.1,0.0,0.0,7.6
6,"Martinez, Blake",NYG,PHI,LB,5.1,3.3,0.2,0.3,0.1,0.1,0.1,0.0,7.5
7,"Kirksey, Christian",GBP,JAC,LB,5.3,2.4,0.7,0.1,0.0,0.1,0.1,0.0,7.4
8,"Cunningham, Zach",HOU,@CLE,LB,5.3,3.0,0.2,0.2,0.0,0.0,0.0,0.0,7.3
9,"Johnson, A.J.",DEN,@LVR,LB,5.1,3.5,0.1,0.2,0.0,0.1,0.0,0.0,7.3
10,"Thompson, Shaq",CAR,TBB,LB,4.8,3.5,0.1,0.4,0.0,0.1,0.1,0.0,7.3
11,"White, Devin",TBB,@CAR,LB,5.0,2.7,0.4,0.2,0.0,0.1,0.1,0.0,7.2
12,"Baker, Jerome",MIA,LAC,LB,5.0,3.1,0.2,0.3,0.0,0.1,0.0,0.0,7.2
13,"Brown, Jayon",TEN,IND,LB,4.7,2.7,0.1,0.7,0.1,0.2,0.1,0.0,7.2
14,"Greenlaw, Dre",SFO,@NOS,LB,5.2,2.3,0.1,0.3,0.1,0.1,0.0,0.0,7.0
15,"Smith, Roquan",CHI,MIN,LB,5.3,1.8,0.1,0.4,0.1,0.0,0.0,0.0,6.8
16,"Williams, Vince",PIT,CIN,LB,5.0,1.6,0.4,0.2,0.1,0.1,0.1,0.0,6.8
17,"Edmunds, Tremaine",BUF,@ARI,LB,4.7,2.7,0.1,0.4,0.1,0.0,0.0,0.0,6.7
18,"Schobert, Joe",JAC,@GBP,LB,4.6,2.7,0.1,0.2,0.1,0.0,0.0,0.0,6.5
19,"Davis, Demario",NOS,SFO,LB,4.6,1.9,0.2,0.5,0.0,0.0,0.0,0.0,6.3
20,"Okereke, Bobby",IND,@TEN,LB,4.9,1.6,0.1,0.3,0.1,0.0,0.0,0.0,6.2
21,"Jack, Myles",JAC,@GBP,LB,4.2,2.7,0.1,0.3,0.1,0.1,0.0,0.0,6.2
22,"Queen, Patrick",BAL,@NEP,LB,4.5,1.4,0.4,0.1,0.0,0.2,0.1,0.0,6.1
23,"Murray, Kenneth",LAC,@MIA,LB,4.1,3.1,0.0,0.4,0.0,0.0,0.0,0.0,6.1
24,"White, Kyzir",LAC,@MIA,LB,4.4,2.6,0.1,0.4,0.0,0.0,0.0,0.0,6.1
25,"Trevathan, Danny",CHI,MIN,LB,4.6,2.1,0.1,0.3,0.0,0.0,0.0,0.0,6.0
26,"Hicks, Jordan",ARI,BUF,LB,4.3,2.4,0.0,0.2,0.1,0.0,0.0,0.0,5.9
27,"Jewell, Josey",DEN,@LVR,LB,4.4,2.3,0.1,0.0,0.0,0.0,0.0,0.0,5.7
