Rank,Player,Team,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Way, Tress",WAS,P,79.0,3772.0,326.0,34.8,274.0
2,"Kern, Brett",TEN,P,75.6,3570.0,262.0,34.1,259.7
3,"Cooke, Logan",JAC,P,79.1,3646.0,152.0,30.5,259.1
4,"Lee, Andy",ARI,P,77.4,3733.0,375.0,26.5,252.3
5,"Mann, Braden",NYJ,P,79.9,3641.0,282.0,24.6,247.3
6,"Bojorquez, Corey",BUF,P,78.6,3326.0,170.0,32.8,242.7
7,"Bailey, Jake",NEP,P,74.2,3327.0,175.0,30.4,241.9
8,"Dickson, Michael",SEA,P,71.8,3331.0,237.0,31.0,240.7
9,"Huber, Kevin",CIN,P,73.5,3309.0,179.0,29.1,238.3
10,"O'Donnell, Pat",CHI,P,75.0,3356.0,211.0,28.5,236.6
11,"Haack, Matt",MIA,P,75.8,3386.0,299.0,27.1,236.4
12,"Fox, Jack",DET,P,72.4,3262.0,204.0,29.1,235.9
13,"Martin, Sam",DEN,P,71.2,3208.0,195.0,27.9,230.5
14,"Johnston, Cam",PHI,P,67.1,3105.0,190.0,26.8,222.2
15,"Cole, A.J.",LVR,P,65.9,2975.0,268.0,30.0,222.0
16,"Scott, J.K.",GBP,P,74.4,3216.0,219.0,23.1,221.8
17,"Dixon, Riley",NYG,P,71.0,3243.0,150.0,26.1,221.8
18,"Colquitt, Britton",MIN,P,66.9,3076.0,221.0,24.0,213.4
19,"Anger, Bryan",HOU,P,60.8,2783.0,109.0,30.4,210.2
20,"Charlton, Joseph",CAR,P,65.2,2970.0,405.0,20.5,202.6
21,"Hekker, Johnny",LAR,P,61.5,2872.0,143.0,24.0,201.7
22,"Sanchez, Rigoberto",IND,P,60.6,2705.0,141.0,25.6,198.5
23,"Colquitt, Dustin",FA,P,55.4,2494.0,154.0,21.6,178.9
24,"Morstead, Thomas",NOS,P,53.9,2462.0,118.0,21.0,175.9
25,"Wishnowsky, Mitch",SFO,P,52.6,2348.0,127.0,22.4,171.8
26,"Pinion, Bradley",TBB,P,56.6,2464.0,193.0,18.4,170.3
27,"Gillan, Jamie",CLE,P,50.6,2337.0,147.0,20.5,164.3
28,"Hofrichter, Sterling",ATL,P,52.6,2289.0,138.0,21.7,161.5
29,"Long, Ty",LAC,P,49.6,2288.0,254.0,17.2,158.7
30,"Koch, Sam",BAL,P,47.4,2192.0,231.0,21.7,156.6
31,"Jones, Chris",DAL,P,53.9,2293.0,178.0,16.7,155.4
32,"Townsend, Tommy",KCC,P,42.4,1913.0,100.0,18.5,141.1
33,"Palardy, Michael",CAR,P,43.8,1999.0,251.0,14.8,138.3

