Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"O'Donnell, Pat",CHI,GBP,P,4.9,222.0,21.0,1.9,15.7
2,"Way, Tress",WAS,@PHI,P,4.5,221.0,17.0,1.8,15.5
3,"Berry, Jordan",PIT,@CLE,P,4.8,218.0,20.0,1.8,15.4
4,"Cooke, Logan",JAC,@IND,P,4.4,210.0,9.0,1.8,15.0
5,"Mann, Braden",NYJ,@NEP,P,5.0,224.0,24.0,1.3,14.7
6,"Fox, Jack",DET,MIN,P,4.1,201.0,8.0,1.8,14.5
7,"Dickson, Michael",SEA,@SFO,P,4.2,199.0,15.0,1.9,14.5
8,"Haack, Matt",MIA,@BUF,P,4.6,204.0,12.0,1.7,14.3
9,"Johnston, Cam",PHI,WAS,P,4.4,207.0,17.0,1.5,14.2
10,"Hekker, Johnny",LAR,ARI,P,4.2,193.0,15.0,1.9,14.2
11,"Huber, Kevin",CIN,BAL,P,4.5,207.0,12.0,1.4,14.0
12,"Kern, Brett",TEN,@HOU,P,3.9,186.0,15.0,1.8,13.5
13,"Dixon, Riley",NYG,DAL,P,4.0,177.0,6.0,1.9,13.3
14,"Bailey, Jake",NEP,NYJ,P,3.7,169.0,6.0,1.8,12.7
15,"Martin, Sam",DEN,LVR,P,4.0,188.0,15.0,1.3,12.6
16,"Lee, Andy",ARI,@LAR,P,3.8,176.0,14.0,1.3,12.2
17,"Anger, Bryan",HOU,TEN,P,3.5,164.0,7.0,1.4,11.8
18,"Morstead, Thomas",NOS,@CAR,P,3.6,155.0,5.0,1.6,11.6
19,"Palardy, Michael",CAR,NOS,P,3.6,165.0,17.0,1.2,11.3
20,"Gillan, Jamie",CLE,PIT,P,3.6,162.0,15.0,1.2,11.1
21,"Bojorquez, Corey",BUF,MIA,P,3.5,156.0,11.0,1.4,11.1
22,"Cole, A.J.",LVR,@DEN,P,3.2,143.0,11.0,1.6,10.9
23,"Koch, Sam",BAL,@CIN,P,3.3,149.0,10.0,1.5,10.9
24,"Wishnowsky, Mitch",SFO,SEA,P,3.4,158.0,8.0,1.2,10.8
25,"Scott, J.K.",GBP,@CHI,P,3.7,163.0,19.0,1.1,10.8
26,"Pinion, Bradley",TBB,ATL,P,3.5,155.0,10.0,1.1,10.7
27,"Sanchez, Rigoberto",IND,JAC,P,3.2,144.0,7.0,1.5,10.5
28,"Colquitt, Britton",MIN,@DET,P,3.7,168.0,20.0,1.0,10.4
29,"Hofrichter, Sterling",ATL,@TBB,P,3.5,149.0,7.0,1.0,10.1
30,"Charlton, Joseph",CAR,NOS,P,2.9,135.0,10.0,0.9,9.2
31,"Townsend, Tommy",KCC,LAC,P,2.8,132.0,8.0,1.0,9.2
32,"Long, Ty",LAC,@KCC,P,3.3,153.0,23.0,0.9,9.2
33,"Jones, Chris",DAL,@NYG,P,3.1,130.0,8.0,0.9,8.8

