Rank,Player,Team,Opp,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts
1,"Wilson, Russell",SEA,@MIA,QB,34.0,23.0,285.0,2.8,1.1,0.7,0.3,0.3,0.1,0.2,0.2,2.7,4.5,25.0,0.1,0.1,4.4,28.3
2,"Mahomes, Patrick",KCC,NEP,QB,36.2,23.8,293.0,2.4,1.0,0.5,0.3,0.1,0.2,0.3,0.4,1.6,4.1,23.0,0.2,0.1,4.3,27.6
3,"Jackson, Lamar",BAL,@WAS,QB,30.6,19.4,223.0,2.0,1.0,0.5,0.2,0.1,0.0,0.1,0.3,2.0,10.9,65.0,0.3,0.3,3.7,26.8
4,"Prescott, Dak",DAL,CLE,QB,38.3,25.4,309.0,1.7,0.3,0.6,0.2,0.1,0.4,0.1,0.6,2.2,4.1,19.0,0.4,0.3,3.7,25.9
5,"Rodgers, Aaron",GBP,ATL,QB,42.1,26.6,311.0,2.2,0.9,0.5,0.4,0.1,0.2,0.1,0.2,1.8,2.2,11.0,0.1,0.1,4.1,25.4
6,"Goff, Jared",LAR,NYG,QB,39.6,25.4,311.0,1.7,0.8,0.5,0.3,0.1,0.0,0.0,0.8,1.3,2.5,5.0,0.2,0.2,3.7,23.0
7,"Allen, Josh",BUF,@LVR,QB,29.8,18.1,217.0,1.5,0.8,0.2,0.2,0.1,0.1,0.1,0.6,2.4,7.3,40.0,0.5,0.5,3.1,22.8
8,"Brees, Drew",NOS,@DET,QB,37.4,25.2,273.0,2.2,0.9,0.6,0.4,0.1,0.1,0.2,0.4,1.1,1.2,1.0,0.1,0.1,4.0,22.6
9,"Murray, Kyler",ARI,@CAR,QB,29.4,19.9,244.0,1.1,0.5,0.2,0.2,0.0,0.0,0.1,1.2,2.9,7.2,43.0,0.4,0.1,2.8,22.1
10,"Watson, Deshaun",HOU,MIN,QB,29.0,19.5,227.0,1.4,0.3,0.6,0.1,0.1,0.1,0.1,0.7,4.1,6.5,33.0,0.4,0.1,3.1,21.8
11,"Wentz, Carson",PHI,@SFO,QB,40.6,26.1,266.0,1.6,0.8,0.3,0.3,0.2,0.0,0.1,0.8,2.3,3.3,14.0,0.2,0.4,3.3,21.1
12,"Fitzpatrick, Ryan",MIA,SEA,QB,37.3,23.0,244.0,1.3,0.6,0.4,0.1,0.1,0.1,0.0,0.8,2.2,3.5,16.0,0.3,0.1,3.5,20.1
13,"Stafford, Matthew",DET,NOS,QB,36.6,23.2,270.0,1.6,0.7,0.4,0.2,0.1,0.1,0.1,0.6,2.7,2.2,8.0,0.0,0.2,3.7,19.9
14,"Mayfield, Baker",CLE,@DAL,QB,37.9,23.3,255.0,1.7,0.8,0.3,0.2,0.1,0.2,0.1,0.9,1.7,1.9,7.0,0.1,0.1,3.7,19.8
15,"Brady, Tom",TBB,LAC,QB,32.0,21.6,258.0,1.7,0.8,0.5,0.3,0.1,0.0,0.0,0.9,1.8,2.4,5.0,0.1,0.2,2.7,19.8
16,"Ryan, Matt",ATL,@GBP,QB,35.2,22.9,259.0,1.7,0.8,0.4,0.1,0.1,0.1,0.1,0.9,3.0,2.5,9.0,0.0,0.3,2.6,19.3
17,"Burrow, Joe",CIN,JAC,QB,38.6,23.8,236.0,1.3,0.9,0.2,0.2,0.1,0.0,0.0,0.6,3.3,3.9,16.0,0.3,0.3,2.5,19.2
18,"Cousins, Kirk",MIN,@HOU,QB,32.3,21.6,242.0,1.7,0.7,0.4,0.1,0.2,0.1,0.2,0.8,2.2,1.8,6.0,0.1,0.1,3.2,19.1
19,"Minshew II, Gardner",JAC,@CIN,QB,31.2,21.1,242.0,1.4,0.6,0.5,0.2,0.1,0.1,0.0,0.6,2.9,4.6,24.0,0.0,0.4,2.7,18.8
20,"Jones, Daniel",NYG,@LAR,QB,35.9,22.0,239.0,1.4,0.6,0.2,0.3,0.1,0.1,0.2,1.1,3.0,3.6,21.0,0.1,0.7,2.7,17.9
21,"Darnold, Sam",NYJ,DEN,QB,35.6,21.6,233.0,1.4,0.4,0.4,0.3,0.2,0.0,0.2,0.9,2.2,2.6,8.0,0.1,0.1,2.7,17.6
22,"Carr, Derek",LVR,BUF,QB,31.7,21.4,244.0,1.4,0.8,0.3,0.2,0.0,0.1,0.1,0.3,2.4,1.7,5.0,0.1,0.5,3.4,17.6
23,"Foles, Nick",CHI,IND,QB,28.7,19.4,215.0,1.6,0.7,0.3,0.4,0.2,0.0,0.0,0.8,2.2,3.3,13.0,0.1,0.2,2.9,17.6
24,"Rivers, Philip",IND,@CHI,QB,31.0,20.9,248.0,1.1,0.6,0.2,0.1,0.1,0.1,0.0,1.2,1.7,1.7,5.0,0.1,0.1,2.6,16.4
25,"Hoyer, Brian",NEP,@KCC,QB,26.0,17.0,193.0,0.9,0.2,0.3,0.2,0.1,0.0,0.0,0.7,1.9,5.0,18.0,0.3,0.1,2.5,16.3
26,"Herbert, Justin",LAC,@TBB,QB,31.6,21.0,244.0,1.0,0.3,0.5,0.0,0.1,0.1,0.1,1.1,2.3,2.5,8.0,0.1,0.3,2.5,16.2
27,"Mullens, Nick",SFO,PHI,QB,26.9,18.0,227.0,1.3,0.6,0.4,0.1,0.1,0.1,0.2,0.8,2.4,2.2,1.0,0.0,0.1,3.3,16.0
28,"Driskel, Jeff",DEN,@NYJ,QB,29.8,17.5,190.0,1.1,0.6,0.2,0.3,0.0,0.0,0.0,0.6,3.0,2.5,9.0,0.0,0.1,1.4,14.4
29,"Bridgewater, Teddy",CAR,ARI,QB,27.1,18.3,207.0,0.7,0.2,0.2,0.0,0.0,0.0,0.2,0.7,2.2,2.0,8.0,0.0,0.3,2.0,13.0
30,"Haskins, Dwayne",WAS,BAL,QB,24.7,14.4,158.0,0.9,0.4,0.3,0.1,0.0,0.0,0.1,0.9,3.4,3.1,13.0,0.0,0.4,1.7,11.3
31,"Trubisky, Mitchell",CHI,IND,QB,12.0,7.4,74.0,0.6,0.4,0.1,0.1,0.0,0.0,0.0,0.4,1.1,1.3,8.0,0.0,0.0,1.0,6.5
32,"Winston, Jameis",NOS,@DET,QB,6.1,3.7,54.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.4,1.5,7.0,0.0,0.1,0.8,4.3
33,"Allen, Kyle",WAS,BAL,QB,9.4,5.7,63.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.9,3.0,0.1,0.1,1.3,3.9
34,"Brissett, Jacoby",IND,@CHI,QB,5.9,3.6,40.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.7,1.4,4.0,0.1,0.1,0.6,3.2
35,"Dalton, Andy",DAL,CLE,QB,6.6,3.8,42.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,1.0,0.1,0.0,0.8,3.1
36,"Barkley, Matt",BUF,@LVR,QB,11.2,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.5,-0.9,0.0,0.2,0.5,3.0
37,"Stidham, Jarrett",NEP,@KCC,QB,8.0,5.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,8.0,0.0,0.0,0.0,2.6
38,"Griffin III, Robert",BAL,@WAS,QB,4.0,2.4,24.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1.6,5.0,0.0,0.0,0.5,1.9
39,"Glennon, Mike",JAC,@CIN,QB,3.4,2.1,26.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5,0.2,0.0,0.0,0.3,0.2,1.4
40,"Gabbert, Blaine",TBB,LAC,QB,2.0,1.3,16.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,-0.4,0.0,0.0,0.2,1.3
41,"Schaub, Matt",ATL,@GBP,QB,1.4,0.9,11.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.2,1.3
42,"Keenum, Case",CLE,@DAL,QB,2.4,1.6,15.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,-0.2,0.0,0.0,0.3,1.0
43,"Flacco, Joe",NYJ,DEN,QB,3.1,2.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.2,0.0,0.0,0.0,0.2,1.0
44,"Finley, Ryan",CIN,JAC,QB,1.8,0.9,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.1,0.1,0.8
45,"Peterman, Nathan",LVR,BUF,QB,1.5,0.7,7.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.1,0.0,0.0,0.1,0.6
46,"Henne, Chad",KCC,NEP,QB,0.7,0.5,5.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,-0.3,0.0,0.0,0.1,0.5
47,"Beathard, C.J.",SFO,PHI,QB,2.1,1.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.8,-0.7,0.0,0.0,0.0,0.4
48,"Stick, Easton",LAC,@TBB,QB,0.4,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3
49,"Rypien, Brett",DEN,@NYJ,QB,2.3,1.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,-0.1,0.0,0.0,0.0,0.3
50,"Hurts, Jalen",PHI,@SFO,QB,0.3,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.2
51,"Tagovailoa, Tua",MIA,SEA,QB,2.1,1.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.1,0.0,0.0,0.0,0.0,0.2
52,"Grier, Will",CAR,ARI,QB,1.6,0.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,1.0,0.0,0.1,0.0,0.1
53,"McCoy, Colt",NYG,@LAR,QB,0.3,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.1
54,"Wolford, John",LAR,NYG,QB,0.3,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.6,0.0,0.0,0.0,0.0
55,"Boyle, Tim",GBP,ATL,QB,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,0.0,0.0,0.0,0.0
56,"Hill, Taysom",NOS,@DET,QB,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"Sudfeld, Nate",PHI,@SFO,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"Mannion, Sean",MIN,@HOU,QB,0.5,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,-1.5,0.0,0.0,0.0,0.0
59,"McCarron, AJ",HOU,MIN,QB,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,-0.2,0.0,0.0,0.0,0.0
60,"Daniel, Chase",DET,NOS,QB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Love, Jordan",GBP,ATL,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-0.8,0.0,0.0,0.0,-0.1

