Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"McCaffrey, Christian",CAR,@WAS,RB,15.7,66.0,0.7,0.6,0.0,0.0,0.0,0.0,0.1,7.1,0.8,5.7,44.0,0.2,0.2,0.1,0.0,0.0,0.0,2.2,22.2
2,"Henry, Derrick",TEN,@GBP,RB,24.5,124.0,1.2,0.7,0.3,0.1,0.0,0.0,0.1,2.1,0.1,1.3,10.0,0.1,0.0,0.0,0.0,0.0,0.1,2.3,21.8
3,"Kamara, Alvin",NOS,MIN,RB,11.6,52.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,7.3,0.9,5.7,48.0,0.2,0.2,0.1,1.0,6.0,0.0,1.7,20.6
4,"Jones, Aaron",GBP,TEN,RB,15.3,69.0,0.7,0.6,0.1,0.0,0.0,0.0,0.1,4.7,0.5,3.6,29.0,0.2,0.1,0.1,0.0,0.0,0.0,1.8,19.0
5,"Cook, Dalvin",MIN,@NOS,RB,16.9,82.0,0.9,0.7,0.0,0.1,0.0,0.0,0.1,3.4,0.1,2.8,25.0,0.0,0.1,0.1,0.0,0.0,0.3,1.9,18.5
6,"Ekeler, Austin",LAC,DEN,RB,12.8,54.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,7.6,0.9,5.8,53.0,0.2,0.7,0.1,0.0,0.0,0.0,1.1,18.2
7,"Mixon, Joe",CIN,@HOU,RB,19.8,78.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,4.4,0.6,3.4,25.0,0.2,0.1,0.1,0.0,1.0,0.0,2.2,17.7
8,"Robinson, James",JAC,CHI,RB,17.0,77.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,4.4,0.3,3.3,24.0,0.2,0.1,0.1,0.0,0.0,0.1,1.2,16.7
9,"Elliott, Ezekiel",DAL,PHI,RB,17.5,73.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,4.9,0.6,3.5,24.0,0.1,0.1,0.1,0.0,0.0,0.3,1.7,16.3
10,"Sanders, Miles",PHI,@DAL,RB,14.4,75.0,0.3,0.2,0.0,0.0,0.0,0.0,0.1,4.6,0.5,3.0,25.0,0.1,0.1,0.1,0.0,4.0,0.1,1.5,15.6
11,"Mostert, Raheem",SFO,@ARI,RB,12.4,58.0,0.8,0.5,0.2,0.0,0.0,0.0,0.1,2.8,0.3,2.3,21.0,0.1,0.1,0.0,0.0,3.0,0.1,1.4,15.6
12,"Carson, Chris",SEA,LAR,RB,13.5,61.0,0.6,0.4,0.1,0.1,0.0,0.0,0.0,3.3,0.3,2.6,17.0,0.2,0.1,0.0,0.0,0.0,0.1,1.8,15.3
13,"Gibson, Antonio",WAS,CAR,RB,11.9,55.0,0.9,0.6,0.1,0.1,0.1,0.0,0.0,3.2,0.3,2.6,20.0,0.0,0.1,0.0,0.0,0.0,0.2,1.7,15.2
14,"Conner, James",PIT,IND,RB,15.2,66.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,3.7,0.6,3.1,19.0,0.1,0.1,0.0,0.0,0.0,0.0,1.2,15.0
15,"Drake, Kenyan",ARI,SFO,RB,16.1,70.0,0.7,0.5,0.0,0.0,0.0,0.0,0.1,3.3,0.3,2.4,17.0,0.0,0.1,0.0,0.0,0.0,0.1,1.9,15.0
16,"Chubb, Nick",CLE,@NYJ,RB,16.5,87.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,2.4,0.3,1.7,13.0,0.1,0.1,0.0,0.0,0.0,0.1,1.3,14.8
17,"Jacobs, Josh",LVR,MIA,RB,17.7,74.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,2.7,0.2,2.1,15.0,0.0,0.1,0.0,0.0,0.0,0.2,1.7,14.6
18,"Thompson, Chris",JAC,CHI,RB,13.1,59.0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,4.1,0.3,3.2,23.0,0.2,0.1,0.1,0.0,0.0,0.0,1.2,14.6
19,"Jones, Ronald",TBB,@DET,RB,13.8,70.0,0.4,0.3,0.0,0.0,0.0,0.0,0.1,4.2,0.3,2.9,20.0,0.1,0.1,0.0,0.0,0.0,0.2,1.1,14.5
20,"Fournette, Leonard",TBB,@DET,RB,12.0,50.0,0.4,0.3,0.0,0.0,0.0,0.1,0.0,5.6,0.7,4.1,25.0,0.0,0.1,0.1,0.0,0.0,0.0,1.3,14.2
21,"Gurley, Todd",ATL,@KCC,RB,15.7,58.0,0.8,0.6,0.1,0.0,0.1,0.0,0.0,2.6,0.3,1.9,10.0,0.1,0.0,0.0,0.0,0.0,0.0,1.8,13.9
22,"Freeman, Devonta",NYG,@BAL,RB,15.2,54.0,0.6,0.5,0.1,0.0,0.0,0.0,0.0,3.8,0.8,2.7,18.0,0.1,0.1,0.0,0.0,0.0,0.0,1.5,13.8
23,"Gordon, Melvin",DEN,@LAC,RB,15.0,61.0,0.6,0.4,0.0,0.1,0.0,0.1,0.0,3.2,0.2,2.4,13.0,0.1,0.1,0.0,0.0,0.0,0.3,1.2,13.5
24,"Montgomery, David",CHI,@JAC,RB,15.4,61.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.7,2.9,21.0,0.2,0.1,0.0,0.0,0.0,0.1,1.6,13.4
25,"Harris, Damien",NEP,BUF,RB,13.3,67.0,0.4,0.3,0.0,0.1,0.0,0.0,0.0,2.5,0.3,1.9,17.0,0.1,0.1,0.0,0.0,0.0,0.0,1.5,13.2
26,"Michel, Sony",NEP,BUF,RB,14.7,71.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,2.5,0.4,1.6,18.0,0.1,0.1,0.0,0.0,1.0,0.0,1.2,12.9
27,"Swift, D'Andre",DET,TBB,RB,10.1,41.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.3,0.5,2.6,23.0,0.2,0.1,0.1,0.0,0.0,0.0,1.2,12.8
28,"Gaskin, Myles",MIA,@LVR,RB,14.0,50.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,4.3,0.6,3.4,23.0,0.0,0.1,0.1,0.0,0.0,0.1,1.7,12.8
29,"Akers, Cam",LAR,@SEA,RB,11.5,55.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.8,0.2,1.3,10.0,0.2,0.0,0.0,0.0,0.0,0.0,1.7,12.7
30,"Edwards-Helaire, Clyde",KCC,ATL,RB,11.1,50.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,3.4,0.5,2.5,19.0,0.1,0.1,0.0,0.0,0.0,0.0,0.9,12.4
31,"Moss, Zack",BUF,@NEP,RB,11.1,51.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.8,0.1,2.1,16.0,0.1,0.1,0.0,0.0,0.0,0.0,1.2,12.1
32,"Taylor, Jonathan",IND,@PIT,RB,12.4,50.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3.0,0.2,2.6,22.0,0.0,0.1,0.0,0.0,0.0,0.1,1.2,11.9
33,"Hunt, Kareem",CLE,@NYJ,RB,10.7,46.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,3.2,0.5,2.4,18.0,0.2,0.1,0.0,0.0,2.0,0.0,1.1,11.7
34,"Dobbins, J.K.",BAL,NYG,RB,9.6,48.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.1,0.1,1.7,13.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,10.5
35,"Davis, Mike",CAR,@WAS,RB,8.8,34.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.6,3.2,20.0,0.1,0.1,0.0,0.0,1.0,0.1,1.1,10.4
36,"Johnson, David",HOU,CIN,RB,10.9,41.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,2.8,0.6,1.9,19.0,0.2,0.1,0.0,0.0,0.0,0.1,1.1,10.3
37,"Williams, Jamaal",GBP,TEN,RB,8.6,35.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,3.3,0.3,2.7,20.0,0.2,0.1,0.0,0.0,1.0,0.0,0.8,10.0
38,"Edmonds, Chase",ARI,SFO,RB,6.2,29.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,3.4,0.6,2.9,23.0,0.2,0.1,0.1,0.0,22.0,0.0,0.6,9.9
39,"Jackson, Justin",LAC,DEN,RB,9.9,40.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,3.7,0.4,2.8,22.0,0.1,0.1,0.0,0.0,0.0,0.1,0.7,9.9
40,"Singletary, Devin",BUF,@NEP,RB,10.9,49.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,3.8,0.3,2.6,19.0,0.0,0.1,0.0,0.0,0.0,0.1,0.5,9.7
41,"Scott, Boston",PHI,@DAL,RB,7.1,34.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,3.3,0.5,2.7,22.0,0.1,0.1,0.0,1.0,33.0,0.0,0.9,9.7
42,"Ingram, Mark",BAL,NYG,RB,9.8,45.0,0.4,0.4,0.0,0.0,0.1,0.0,0.0,1.3,0.1,1.1,10.0,0.1,0.0,0.0,0.0,0.0,0.1,1.2,9.5
43,"Perine, Lamical",NYJ,CLE,RB,11.4,40.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.8,0.3,2.3,15.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,9.4
44,"Bernard, Giovani",CIN,@HOU,RB,6.4,21.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,4.4,0.6,3.3,25.0,0.1,0.1,0.1,0.0,3.0,0.0,0.9,9.4
45,"Murray, Latavius",NOS,MIN,RB,9.9,45.0,0.3,0.2,0.0,0.0,0.1,0.0,0.0,1.8,0.3,1.5,12.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,9.3
46,"Johnson, Duke",HOU,CIN,RB,7.2,28.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,3.6,0.8,2.5,22.0,0.1,0.1,0.0,0.0,0.0,0.1,0.7,9.0
47,"White, James",NEP,BUF,RB,4.0,15.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,4.0,0.4,3.0,24.0,0.1,0.1,0.1,0.0,1.0,0.1,0.6,9.0
48,"Hines, Nyheim",IND,@PIT,RB,4.4,14.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,4.4,0.5,3.0,26.0,0.2,0.1,0.1,11.0,6.0,0.0,0.7,8.6
49,"McKissic, J.D.",WAS,CAR,RB,4.2,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,4.9,0.4,3.4,25.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,8.4
50,"McKinnon, Jerick",SFO,@ARI,RB,6.8,25.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,2.9,0.4,2.0,16.0,0.1,0.1,0.0,0.0,10.0,0.0,0.8,8.4
51,"Gallman, Wayne",NYG,@BAL,RB,8.1,33.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.3,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,8.2
52,"Hyde, Carlos",SEA,LAR,RB,9.2,36.0,0.3,0.2,0.0,0.1,0.0,0.0,0.0,1.8,0.1,1.4,12.0,0.1,0.1,0.0,0.0,1.0,0.0,0.9,8.2
