Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Adams, Jamal",SEA,DB,77.0,22.9,4.7,11.1,3.2,1.1,1.0,0.2,0.0,0.0,112.6
2,"Johnson, John",LAR,DB,71.4,38.9,0.3,9.8,5.0,0.0,0.0,0.2,0.0,0.0,111.0
3,"Baker, Budda",ARI,DB,87.0,32.1,1.5,4.0,0.0,0.8,0.8,0.1,0.0,0.0,110.2
4,"Thompson, Darian",DAL,DB,76.6,24.3,3.6,11.7,1.2,0.9,0.0,0.0,0.0,0.0,107.6
5,"Simmons, Justin",DEN,DB,69.0,23.7,0.0,13.6,3.8,1.1,0.9,0.0,0.0,0.0,104.1
6,"Williams, Shawn",CIN,DB,73.1,28.7,0.9,7.4,3.7,0.2,0.2,0.1,0.0,29.0,103.7
7,"Collins, Landon",WAS,DB,78.4,33.6,0.3,4.9,0.2,2.0,0.2,0.0,0.0,0.0,103.1
8,"Walker, Tracy",DET,DB,76.0,20.3,0.7,10.1,2.3,0.8,0.0,0.2,0.0,0.0,102.3
9,"Poyer, Jordan",BUF,DB,69.0,34.6,1.5,4.7,2.8,2.1,2.1,0.0,3.0,0.0,102.2
10,"Bates, Jessie",CIN,DB,73.0,29.0,0.4,9.8,2.0,0.0,0.0,0.0,0.0,0.0,101.7
11,"Jenkins, Malcolm",NOS,DB,71.0,18.2,1.5,11.8,1.5,3.5,1.7,0.2,0.0,0.0,101.7
12,"Mathieu, Tyrann",KCC,DB,70.7,15.4,1.7,14.9,2.9,0.0,0.0,0.0,2.0,0.0,100.7
13,"Peppers, Jabrill",NYG,DB,75.0,25.7,0.6,4.2,1.7,2.6,0.4,0.1,59.0,51.0,99.0
14,"Neal, Keanu",ATL,DB,64.0,20.8,0.3,11.1,5.7,1.0,0.3,0.0,0.0,0.0,98.6
15,"Harrison, Ronnie",CLE,DB,64.7,24.3,1.7,12.2,3.2,0.5,0.5,0.2,0.0,0.0,98.0
16,"Smith, Harrison",MIN,DB,68.2,21.1,1.4,7.3,2.6,2.1,1.6,0.0,0.0,0.0,96.3
17,"Fitzpatrick, Minkah",PIT,DB,61.4,24.8,0.2,10.8,4.3,0.9,0.9,0.1,0.0,0.0,95.3
18,"Byard, Kevin",TEN,DB,61.0,26.8,0.9,8.1,5.3,0.0,0.0,0.0,0.0,0.0,94.0
19,"Abram, Johnathan",LVR,DB,64.0,12.7,0.3,15.4,3.1,0.8,0.3,0.1,0.0,0.0,93.3
20,"Bell, Vonn",CIN,DB,67.4,24.9,1.1,6.5,1.5,0.9,0.9,0.2,0.0,53.0,92.2
21,"Chinn, Jeremy",CAR,DB,68.0,17.5,1.9,7.5,2.3,0.7,0.5,0.0,0.0,0.0,91.9
22,"Clark, Chuck",BAL,DB,55.6,24.8,2.7,12.2,2.9,2.5,0.3,0.0,0.0,0.0,91.4
