Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Baker, Budda",ARI,SFO,DB,7.1,2.2,0.1,0.5,0.2,0.1,0.1,0.0,0.0,0.0,9.3
2,"Wilson, Donovan",DAL,PHI,DB,5.3,2.3,0.3,0.3,0.0,0.4,0.3,0.0,0.0,0.0,7.9
3,"Jenkins, Rayshawn",LAC,DEN,DB,5.6,2.3,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,7.9
4,"Poyer, Jordan",BUF,@NEP,DB,5.7,2.1,0.2,0.4,0.2,0.1,0.1,0.0,0.0,0.0,7.9
5,"Simmons, Justin",DEN,@LAC,DB,5.3,1.5,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,7.8
6,"Thomas, Daniel",JAC,CHI,DB,6.0,1.8,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,7.7
7,"Adams, Jamal",SEA,LAR,DB,5.1,1.6,0.6,0.6,0.2,0.1,0.0,0.0,0.0,0.0,7.6
8,"Bates, Jessie",CIN,@HOU,DB,4.6,2.1,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,7.4
9,"Curl, Kamren",WAS,CAR,DB,4.5,2.1,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,7.1
10,"Chinn, Jeremy",CAR,@WAS,DB,4.8,2.6,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,7.0
11,"Edmunds, Terrell",PIT,IND,DB,4.6,1.6,0.1,0.8,0.2,0.1,0.0,0.0,0.0,0.0,6.8
12,"Jones, Josh",JAC,CHI,DB,5.0,2.3,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,6.8
13,"Johnson, John",LAR,@SEA,DB,4.5,2.6,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,6.7
14,"Maye, Marcus",NYJ,CLE,DB,4.5,1.9,0.1,0.6,0.2,0.1,0.1,0.0,0.0,0.0,6.7
15,"McKinney, Xavier",NYG,@BAL,DB,4.5,1.4,0.0,0.8,0.2,0.1,0.0,0.0,0.0,0.0,6.6
16,"Reid, Justin",HOU,CIN,DB,5.0,1.9,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,6.5
