Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Kelce, Travis",KCC,TE,117.4,19.1,78.1,954.0,6.6,4.2,1.3,1.1,0.0,0.0,0.0,11.8,1.9,0.6,0.2,3.0,0.5,0.0,0.0,1.4,16.1,213.9
2,"Kittle, George",SFO,TE,115.9,20.1,79.2,1015.0,4.9,2.2,0.4,0.4,0.4,0.4,1.1,12.2,2.0,0.7,0.3,14.0,0.0,0.0,0.0,0.0,16.8,211.5
3,"Ertz, Zach",PHI,TE,118.6,17.7,79.0,819.0,6.1,3.6,1.2,1.3,0.0,0.0,0.0,7.8,1.6,0.5,0.2,0.0,0.0,0.0,0.0,0.6,9.8,197.0
4,"Andrews, Mark",BAL,TE,93.8,17.2,57.1,809.0,7.9,3.1,2.2,1.5,0.6,0.0,0.5,6.2,1.6,0.5,0.2,0.0,0.0,0.0,0.0,0.5,13.5,184.1
5,"Waller, Darren",LVR,TE,105.1,10.3,73.0,953.0,2.2,1.3,0.4,0.5,0.0,0.0,0.0,11.4,1.9,0.6,0.2,13.0,0.0,0.0,0.0,0.9,9.5,181.0
6,"Cook, Jared",NOS,TE,77.5,9.6,50.7,771.0,8.1,2.1,1.0,3.6,0.9,0.0,0.6,5.6,1.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,11.9,176.6
7,"Hooper, Austin",CLE,TE,86.5,17.9,60.0,622.0,7.2,5.3,1.3,0.3,0.3,0.0,0.0,2.5,1.2,0.4,0.2,0.0,0.0,0.0,0.0,0.6,11.5,165.4
8,"Engram, Evan",NYG,TE,92.3,13.9,60.2,669.0,4.3,3.3,0.5,0.0,0.0,0.0,0.5,2.7,1.3,0.4,0.2,20.0,0.0,0.0,0.0,0.0,9.3,156.2
9,"Gronkowski, Rob",TBB,TE,93.1,15.7,53.7,603.0,6.7,3.7,2.1,0.0,0.8,0.0,0.0,2.4,1.2,0.4,0.2,0.0,0.0,0.0,0.0,0.5,12.6,152.9
10,"Henry, Hunter",LAC,TE,85.5,12.1,56.3,650.0,4.8,3.2,0.5,0.0,1.1,0.0,0.0,2.6,1.3,0.4,0.2,0.0,0.0,0.0,0.0,1.2,9.3,150.1
11,"Jarwin, Blake",DAL,TE,65.1,7.3,53.7,549.0,5.0,1.2,1.6,0.9,0.3,1.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,7.7,140.3
12,"Higbee, Tyler",LAR,TE,79.9,15.8,59.6,644.0,2.7,2.3,0.5,0.0,0.0,0.0,0.0,2.6,1.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,7.8,140.2
13,"Hurst, Hayden",ATL,TE,78.6,14.6,54.7,608.0,3.7,1.7,1.2,0.0,0.0,0.0,0.8,2.4,1.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,7.7,138.1
14,"Doyle, Jack",IND,TE,93.1,19.2,50.3,555.0,5.2,3.0,1.3,0.8,0.0,0.3,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,10.3,137.2
15,"Fant, Noah",DEN,TE,82.8,14.0,49.5,673.0,3.5,0.3,1.5,0.7,0.0,0.0,1.0,2.7,1.3,0.4,0.2,-11.3,0.0,0.0,0.0,0.9,14.2,135.1
