Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Kelce, Travis",KCC,@BAL,TE,8.6,1.3,6.1,70.0,0.6,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,16.6
2,"Andrews, Mark",BAL,KCC,TE,5.8,0.9,4.0,56.0,0.6,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,12.9
3,"Higbee, Tyler",LAR,@BUF,TE,6.0,1.2,4.8,52.0,0.4,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,12.4
4,"Ertz, Zach",PHI,CIN,TE,7.2,1.0,4.9,49.0,0.4,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,12.3
5,"Cook, Jared",NOS,GBP,TE,5.0,0.5,4.0,52.0,0.5,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,12.1
6,"Reed, Jordan",SFO,@NYG,TE,4.4,0.7,3.4,38.0,0.7,0.4,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,11.8
7,"Engram, Evan",NYG,SFO,TE,6.4,0.9,4.5,50.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,11.2
8,"Gesicki, Mike",MIA,@JAC,TE,5.6,0.6,4.4,49.0,0.3,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11.1
9,"Henry, Hunter",LAC,CAR,TE,4.1,0.4,4.3,56.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,10.9
10,"Hurst, Hayden",ATL,CHI,TE,5.0,0.6,4.0,47.0,0.3,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,10.5
