Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Hopkins, DeAndre",ARI,@DAL,WR,10.3,0.7,8.2,96.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,20.3
2,"Adams, Davante",GBP,@TBB,WR,9.4,1.1,7.5,85.0,0.5,0.2,0.1,0.1,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.7,18.7
3,"Ridley, Calvin",ATL,@MIN,WR,9.6,1.0,5.9,86.0,0.7,0.3,0.1,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,18.6
4,"Crowder, Jamison",NYJ,@MIA,WR,9.0,0.9,7.0,75.0,0.6,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.8,17.9
5,"Hill, Tyreek",KCC,@BUF,WR,7.7,0.6,4.7,74.0,0.6,0.2,0.0,0.1,0.0,0.1,0.1,7.0,0.1,0.0,1.0,0.0,0.8,17.2
6,"Thielen, Adam",MIN,ATL,WR,6.9,0.8,5.0,71.0,0.8,0.4,0.2,0.1,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.9,17.2
7,"Jones, Julio",ATL,@MIN,WR,8.2,0.8,6.4,87.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,16.6
8,"Cooper, Amari",DAL,ARI,WR,8.0,0.5,6.0,75.0,0.3,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.6,15.5
9,"Diggs, Stefon",BUF,KCC,WR,7.5,0.5,5.5,80.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,15.3
10,"Parker, DeVante",MIA,NYJ,WR,7.8,0.7,5.0,74.0,0.5,0.1,0.1,0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.6,15.3
11,"Robinson, Allen",CHI,@CAR,WR,9.2,0.9,5.8,71.0,0.4,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.1
12,"Kupp, Cooper",LAR,@SFO,WR,7.0,0.9,5.4,66.0,0.5,0.2,0.2,0.1,0.0,0.0,0.1,2.0,0.0,4.0,0.0,0.1,0.7,15.0
13,"Woods, Robert",LAR,@SFO,WR,7.6,0.5,5.2,65.0,0.3,0.1,0.0,0.1,0.0,0.0,0.1,9.0,0.1,0.0,0.0,0.0,0.6,15.0
14,"Smith-Schuster, JuJu",PIT,CLE,WR,6.1,0.5,5.7,65.0,0.4,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.6,14.9
15,"Boyd, Tyler",CIN,@IND,WR,8.8,0.5,5.9,72.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.1,0.5,14.8
16,"Lamb, CeeDee",DAL,ARI,WR,7.0,0.4,5.0,72.0,0.4,0.1,0.0,0.0,0.0,0.2,0.0,1.0,0.0,6.0,0.0,0.0,0.6,14.7
17,"Fuller, Will",HOU,@TEN,WR,7.5,0.7,5.6,72.0,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.8,14.7
18,"McLaurin, Terry",WAS,@NYG,WR,8.0,0.8,5.0,74.0,0.4,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.6,14.6
19,"Moore, D.J.",CAR,CHI,WR,6.5,0.4,5.4,76.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,2.0,0.1,0.4,14.5
20,"Golladay, Kenny",DET,@JAC,WR,7.6,1.2,4.3,66.0,0.6,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,14.5
21,"Chark, D.J.",JAC,DET,WR,7.0,0.8,5.2,62.0,0.5,0.2,0.1,0.1,0.1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7,14.3
22,"Anderson, Robby",CAR,CHI,WR,7.5,0.5,5.7,72.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,1.0,0.1,0.5,14.3
23,"Brown, Marquise",BAL,@PHI,WR,7.5,0.6,5.4,68.0,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,14.1
24,"Jeudy, Jerry",DEN,@NEP,WR,6.7,0.8,4.4,66.0,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.4
25,"Beckham, Odell",CLE,@PIT,WR,6.2,0.9,3.5,49.0,0.7,0.3,0.2,0.0,0.1,0.1,0.0,2.0,0.1,0.0,0.1,0.0,0.9,13.3
26,"Evans, Mike",TBB,GBP,WR,6.2,0.8,3.7,60.0,0.6,0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,13.3
27,"Jefferson, Justin",MIN,ATL,WR,6.0,0.3,5.0,68.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.4,13.1
28,"Godwin, Chris",TBB,GBP,WR,5.6,0.6,4.1,63.0,0.4,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.9
29,"Shenault, Laviska",JAC,DET,WR,6.8,0.5,5.5,62.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.4,12.8
30,"Hilton, T.Y.",IND,CIN,WR,7.7,0.9,4.7,65.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,12.7
31,"Edelman, Julian",NEP,DEN,WR,7.0,0.8,4.6,61.0,0.2,0.1,0.0,0.1,0.1,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.7,12.5
32,"Jones, Marvin",DET,@JAC,WR,5.8,0.5,4.5,57.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,12.3
33,"Slayton, Darius",NYG,WAS,WR,6.0,0.6,3.7,58.0,0.5,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,1.0,3.0,0.1,0.7,12.2
34,"Cooks, Brandin",HOU,@TEN,WR,6.6,0.4,4.2,60.0,0.3,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,12.0
35,"Kirk, Christian",ARI,@DAL,WR,7.0,1.1,4.4,49.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.8,11.6
