Player,Team,Bye,Rec,Yard,TD,FPts
Travis Kelce,KC,10,92,"1,155",7,157.5
George Kittle,SF,11,85,"1,120",6,148.0
Zach Ertz,PHI,9,81,855,7,127.5
Mark Andrews,BAL,7,60,787,7,120.7
Darren Waller,LV,6,75,879,5,117.9
Hayden Hurst,ATL,10,64,692,6,105.2
Chris Herndon,NYJ,10,55,649,5,94.9
Rob Gronkowski,TB,13,44,587,6,94.7
Evan Engram,NYG,11,57,641,5,94.1
Noah Fant,DEN,5,50,636,5,93.6
Tyler Higbee,LAR,9,60,635,5,93.5
Jared Cook,NO,6,50,628,5,92.8
Jonnu Smith,TEN,4,50,593,5,89.3
Mike Gesicki,MIA,7,62,649,4,88.9
Hunter Henry,LAC,6,53,616,4,85.6
T.J. Hockenson,DET,5,51,595,4,83.5
Austin Hooper,CLE,9,56,585,4,82.5
Blake Jarwin,DAL,10,44,502,5,80.2
Dallas Goedert,PHI,9,53,556,4,79.6
Jack Doyle,IND,7,60,554,4,79.4
Greg Olsen,SEA,6,47,525,4,76.5
Eric Ebron,PIT,4,45,522,4,76.2
Ian Thomas,CAR,13,47,486,4,72.6
Dawson Knox,BUF,11,36,459,4,69.9
Darren Fells,HOU,8,38,385,5,68.5
Kyle Rudolph,MIN,7,43,411,4,65.1
Tyler Eifert,JAC,8,43,455,3,63.5
Irv Smith,MIN,7,38,389,3,56.9
O.J. Howard,TB,13,35,388,3,56.8
Nick Boyle,BAL,7,30,355,3,53.5
Jimmy Graham,CHI,11,39,385,2,50.5
David Njoku,CLE,9,32,317,3,49.7
C.J. Uzomah,CIN,9,33,315,3,49.5
Jace Sternberger,GB,5,37,365,2,48.5
Jordan Reed,SF,11,28,295,3,47.5
Logan Thomas,WAS,8,29,349,2,46.9
Gerald Everett,LAR,9,31,345,2,46.5
Cole Kmet,CHI,11,24,289,2,40.9
Will Dissly,SEA,6,29,289,2,40.9
Devin Asiasi,NE,5,29,289,2,40.9
Vance McDonald,PIT,4,29,288,2,40.8
Robert Tonyan,GB,5,29,285,2,40.5
Jason Witten,LV,6,26,245,2,36.5
Jordan Akins,HOU,8,31,291,1,35.1
Jesse James,DET,5,22,231,2,35.1
Maxx Williams,ARI,8,23,241,1,30.1
Trey Burton,IND,7,25,237,1,29.7
Anthony Firkser,TEN,4,22,231,1,29.1
Foster Moreau,LV,6,16,165,2,28.5
Tyler Kroft,BUF,11,15,155,2,27.5
Ryan Griffin,NYJ,10,23,213,1,27.3
Josh Hill,NO,6,18,205,1,26.5
Nick Vannett,DEN,5,13,136,2,25.6
Cameron Brate,TB,13,19,187,1,24.7
Jeremy Sprinkle,WAS,8,19,185,1,24.5
Blake Bell,DAL,10,14,146,1,20.6
Ricky Seals-Jones,KC,10,13,145,1,20.5
Dan Arnold,ARI,8,14,145,1,20.5
Jacob Hollister,SEA,6,15,144,1,20.4
Durham Smythe,MIA,7,12,113,1,17.3
Deon Yelder,KC,10,8,88,1,14.8
Demetrius Harris,CHI,11,8,86,1,14.6
Jaeden Graham,ATL,10,13,145,0,14.5
Chris Manhertz,CAR,13,7,82,1,14.2
Albert Okwuegbunam,DEN,5,6,64,1,12.4
Kaden Smith,NYG,11,11,113,0,11.3
Mo Alie-Cox,IND,7,8,88,0,8.8
Virgil Green,LAC,6,9,88,0,8.8
Drew Sample,CIN,9,9,82,0,8.2
Levine Toilolo,NYG,11,8,82,0,8.2
Dalton Schultz,DAL,10,8,77,0,7.7
Marcedes Lewis,GB,5,7,66,0,6.6
