Wil Lutz,NO,30.5,34.0,48.0,139.5
,high,33.0,37.0,48.0,147.0
,low,28.0,31.0,48.0,132.0
Harrison Butker,KC,29.5,34.0,49.5,138.0
,high,31.0,36.0,51.0,141.0
,low,28.0,32.0,48.0,135.0
Justin Tucker,BAL,28.5,31.5,51.5,137.0
,high,31.0,34.0,54.0,142.0
,low,26.0,29.0,49.0,132.0
Greg Zuerlein,DAL,27.5,32.5,45.0,127.5
,high,29.0,35.0,46.0,133.0
,low,26.0,30.0,44.0,122.0
Robbie Gould,SF,27.0,31.0,43.0,124.0
,high,29.0,33.0,44.0,129.0
,low,25.0,29.0,42.0,119.0
Younghoe Koo,ATL,27.0,31.0,38.0,119.0
,high,29.0,33.0,39.0,124.0
,low,25.0,29.0,37.0,114.0
Zane Gonzalez,ARI,27.0,31.5,37.5,118.5
,high,28.0,33.0,38.0,122.0
,low,26.0,30.0,37.0,115.0
Matt Prater,DET,26.5,31.0,38.5,118.0
,high,27.0,32.0,40.0,121.0
,low,26.0,30.0,37.0,115.0
Dan Bailey,MIN,25.5,29.5,40.0,116.5
,high,26.0,30.0,43.0,118.0
,low,25.0,29.0,37.0,115.0
Ryan Succop,TB,25.5,31.0,39.5,116.0
,high,26.0,31.0,41.0,116.0
,low,25.0,31.0,38.0,116.0
Chris Boswell,PIT,26.0,31.0,37.0,115.0
,high,27.0,33.0,41.0,116.0
,low,25.0,29.0,33.0,114.0
Sam Sloman,TEN,25.5,30.5,36.5,113.0
,high,26.0,31.0,39.0,117.0
,low,25.0,30.0,34.0,109.0
Austin Seibert,CIN,26.5,30.5,33.5,113.0
,high,27.0,32.0,34.0,114.0
,low,26.0,29.0,33.0,112.0
Jason Myers,SEA,24.0,28.5,40.5,112.5
,high,24.0,29.0,44.0,116.0
,low,24.0,28.0,37.0,109.0
Brandon McManus,DEN,25.5,30.0,36.0,112.5
,high,26.0,31.0,37.0,113.0
,low,25.0,29.0,35.0,112.0
Justin Rohrwasser,NE,25.0,29.0,36.0,111.0
,high,25.0,29.0,36.0,111.0
,low,25.0,29.0,36.0,111.0
Ka'imi Fairbairn,HOU,24.0,28.5,39.0,111.0
,high,25.0,29.0,39.0,114.0
,low,23.0,28.0,39.0,108.0
Michael Badgley,LAC,24.5,27.5,36.0,109.5
,high,27.0,31.0,39.0,120.0
,low,22.0,24.0,33.0,99.0
Jake Elliott,PHI,23.5,28.0,39.0,109.5
,high,24.0,29.0,40.0,110.0
,low,23.0,27.0,38.0,109.0
Mason Crosby,GB,22.5,26.0,39.5,107.0
,high,23.0,26.0,41.0,110.0
,low,22.0,26.0,38.0,104.0
Josh Lambo,JAC,24.5,26.5,33.0,106.5
,high,26.0,28.0,38.0,107.0
,low,23.0,25.0,28.0,106.0
Randy Bullock,CIN,24.0,28.0,34.0,106.0
,high,24.0,28.0,34.0,106.0
,low,24.0,28.0,34.0,106.0
Rodrigo Blankenship,IND,23.0,28.0,36.5,105.5
,high,24.0,29.0,39.0,111.0
,low,22.0,27.0,34.0,100.0
Tyler Bass,BUF,23.5,29.0,35.0,105.5
,high,25.0,30.0,38.0,107.0
,low,22.0,28.0,32.0,104.0
Joey Slye,CAR,24.0,29.0,33.0,105.0
,high,24.0,29.0,35.0,107.0
,low,24.0,29.0,31.0,103.0
Jason Sanders,MIA,22.5,27.5,35.0,102.5
,high,23.0,28.0,35.0,104.0
,low,22.0,27.0,35.0,101.0
Stephen Gostkowski,TEN,21.5,25.5,37.5,102.0
,high,25.0,30.0,41.0,116.0
,low,18.0,21.0,34.0,88.0
Daniel Carlson,LV,21.5,27.0,34.5,99.0
,high,22.0,28.0,36.0,99.0
,low,21.0,26.0,33.0,99.0
Graham Gano,NYG,20.5,24.5,35.0,96.5
,high,21.0,26.0,40.0,103.0
,low,20.0,23.0,30.0,90.0
Dustin Hopkins,WAS,22.0,25.5,28.5,94.5
,high,23.0,27.0,30.0,99.0
,low,21.0,24.0,27.0,90.0
Sam Ficken,NYJ,21.0,27.5,29.5,92.5
,high,21.0,28.0,32.0,95.0
,low,21.0,27.0,27.0,90.0
Eddy Pineiro,CHI,21.0,25.0,29.5,92.5
,high,24.0,28.0,35.0,107.0
,low,18.0,22.0,24.0,78.0
Cairo Santos,CHI,5.0,6.0,7.0,22.0
,high,5.0,6.0,7.0,22.0
,low,5.0,6.0,7.0,22.0
