Harrison Butker,KC,25.6,31.2,46.1,122.9
,high,27.0,31.2,51.6,132.4
,low,24.2,31.2,40.6,113.3
Robbie Gould,SF,26.5,31.8,40.4,119.9
,high,26.7,31.8,41.8,121.8
,low,26.3,31.8,39.0,118.0
Wil Lutz,NO,24.9,31.0,44.1,118.8
,high,26.8,31.0,46.3,126.8
,low,22.9,31.0,42.0,110.8
Justin Tucker,BAL,25.7,30.3,41.4,118.5
,high,27.0,30.3,43.2,124.2
,low,24.4,30.3,39.5,112.8
Daniel Carlson,LV,25.2,31.3,38.0,113.5
,high,25.6,31.3,41.9,118.7
,low,24.7,31.3,34.1,108.2
Austin Seibert,CIN,25.5,30.8,36.9,113.4
,high,25.8,30.8,38.7,116.1
,low,25.2,30.8,35.1,110.7
Jake Elliott,PHI,26.4,30.6,34.1,113.3
,high,27.0,30.6,37.5,114.9
,low,25.8,30.6,30.7,111.7
Jason Myers,SEA,25.2,29.2,37.1,112.6
,high,26.3,29.2,41.4,113.4
,low,24.0,29.2,32.8,111.8
Younghoe Koo,ATL,25.4,32.3,36.4,112.4
,high,27.0,32.3,37.5,116.1
,low,23.8,32.3,35.2,108.7
Matt Prater,DET,25.5,32.3,35.5,111.9
,high,27.5,32.3,37.9,120.4
,low,23.4,32.3,33.0,103.3
Chris Boswell,PIT,25.6,31.0,34.4,111.3
,high,26.3,31.0,38.0,116.9
,low,25.0,31.0,30.9,105.8
Greg Zuerlein,DAL,24.0,31.9,39.2,111.0
,high,25.8,31.9,39.3,116.5
,low,22.1,31.9,39.0,105.5
Rodrigo Blankenship,IND,24.7,32.1,35.9,110.0
,high,26.5,32.1,37.8,117.3
,low,22.8,32.1,34.1,102.6
Randy Bullock,CIN,27.5,29.5,27.3,109.8
,high,29.9,29.5,29.7,114.7
,low,25.0,29.5,24.9,104.8
Mason Crosby,GB,23.3,28.4,39.6,109.7
,high,24.1,28.4,40.5,111.1
,low,22.6,28.4,38.8,108.2
Brandon McManus,DEN,25.0,31.0,34.3,109.3
,high,26.3,31.0,35.9,111.6
,low,23.7,31.0,32.7,107.0
Stephen Gostkowski,TEN,22.7,27.2,40.0,108.1
,high,23.0,27.2,41.2,110.1
,low,22.4,27.2,38.9,106.0
Ryan Succop,TB,24.4,31.2,34.0,107.1
,high,24.7,31.2,39.8,113.9
,low,24.0,31.2,28.2,100.2
Nick Folk,NE,24.3,29.8,34.0,106.9
,high,24.3,29.8,34.0,106.9
,low,24.3,29.8,34.0,106.9
Dan Bailey,MIN,24.0,29.8,34.8,106.8
,high,25.2,29.8,35.6,111.1
,low,22.8,29.8,34.1,102.5
Joey Slye,CAR,25.0,31.0,31.8,106.8
,high,26.0,31.0,32.8,108.9
,low,24.0,31.0,30.9,104.6
Jason Sanders,MIA,25.6,30.5,29.9,106.8
,high,26.5,30.5,30.3,109.7
,low,24.8,30.5,29.5,103.8
Zane Gonzalez,ARI,23.7,30.8,35.2,106.3
,high,25.1,30.8,38.3,113.7
,low,22.3,30.8,32.0,98.9
Graham Gano,NYG,23.3,30.0,36.0,105.9
,high,25.1,30.0,36.2,110.9
,low,21.6,30.0,35.7,100.9
Michael Badgley,LAC,25.2,30.9,30.0,105.7
,high,25.6,30.9,31.4,108.1
,low,24.9,30.9,28.6,103.2
Sam Sloman,TEN,24.6,32.5,31.2,104.9
,high,26.9,32.5,34.6,115.1
,low,22.3,32.5,27.8,94.6
Ka'imi Fairbairn,HOU,23.3,29.8,34.1,104.0
,high,24.6,29.8,38.9,112.6
,low,22.1,29.8,29.3,95.5
Tyler Bass,BUF,24.3,32.3,30.8,103.5
,high,26.7,32.3,32.3,112.3
,low,21.9,32.3,29.2,94.8
Josh Lambo,JAC,24.6,29.8,29.8,103.5
,high,26.6,29.8,33.8,105.6
,low,22.5,29.8,25.9,101.3
Sam Ficken,NYJ,24.0,30.7,30.5,102.7
,high,24.2,30.7,33.7,105.4
,low,23.9,30.7,27.4,100.0
Dustin Hopkins,WAS,22.8,27.8,26.5,94.9
,high,23.3,27.8,27.8,97.8
,low,22.3,27.8,25.1,91.9
Cairo Santos,CHI,21.8,27.9,26.9,92.3
,high,21.8,27.9,26.9,92.3
,low,21.8,27.9,26.9,92.3
Kai Forbath,LAR,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Eddy Pineiro,CHI,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Mike Nugent,ARI,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Matt Gay,LAR,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Cody Parkey,CLE,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Greg Joseph,TB,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Matt McCrane,CLE,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Giorgio Tavecchio,TEN,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Aldrick Rosas,JAC,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Chase McLaughlin,JAC,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Justin Rohrwasser,NE,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
Brett Maher,HOU,0.0,0.0,0.0,0.0
,high,0.0,0.0,0.0,0.0
,low,0.0,0.0,0.0,0.0
