Player,Team,FG,FGA,XPT,FPoints
Dustin Hopkins,WAS,23.0,27.0,30.0,99.0
Jason Sanders,MIA,22.0,27.0,35.0,101.0
Josh Lambo,JAC,23.0,25.0,38.0,107.0
Zane Gonzalez,ARI,28.0,33.0,38.0,122.0
Robbie Gould,SF,25.0,29.0,44.0,119.0
Randy Bullock,CIN,24.0,28.0,34.0,106.0
Ka'imi Fairbairn,HOU,23.0,28.0,39.0,108.0
Justin Rohrwasser,NE,25.0,29.0,36.0,111.0
Austin Seibert,CIN,26.0,29.0,34.0,112.0
Matt Prater,DET,27.0,32.0,40.0,121.0
Michael Badgley,LAC,22.0,24.0,33.0,99.0
Wil Lutz,NO,28.0,31.0,48.0,132.0
Younghoe Koo,ATL,25.0,29.0,39.0,114.0
Jake Elliott,PHI,23.0,27.0,40.0,109.0
Sam Sloman,TEN,26.0,31.0,39.0,117.0
Justin Tucker,BAL,26.0,29.0,54.0,132.0
Greg Zuerlein,DAL,26.0,30.0,44.0,122.0
Dan Bailey,MIN,25.0,29.0,43.0,118.0
Eddy Pineiro,CHI,24.0,28.0,35.0,107.0
Jason Myers,SEA,24.0,29.0,44.0,116.0
Sam Ficken,NYJ,21.0,27.0,32.0,95.0
Mason Crosby,GB,23.0,26.0,41.0,110.0
Stephen Gostkowski,TEN,25.0,30.0,41.0,116.0
Brandon McManus,DEN,25.0,29.0,37.0,112.0
Harrison Butker,KC,28.0,32.0,51.0,135.0
Rodrigo Blankenship,IND,24.0,29.0,39.0,111.0
Joey Slye,CAR,24.0,29.0,35.0,107.0
Daniel Carlson,LV,21.0,26.0,36.0,99.0
Chris Boswell,PIT,25.0,29.0,41.0,116.0
Tyler Bass,BUF,22.0,28.0,38.0,104.0
Ryan Succop,TB,26.0,31.0,38.0,116.0
Graham Gano,NYG,21.0,26.0,40.0,103.0
