Harrison Butker,KC,26.1,32.0,45.8,124.2
,high,28.0,32.0,51.0,135.0
,low,24.2,32.0,40.6,113.3
Justin Tucker,BAL,25.2,29.0,46.8,122.4
,high,26.0,29.0,54.0,132.0
,low,24.4,29.0,39.5,112.8
Wil Lutz,NO,25.5,31.0,45.0,121.4
,high,28.0,31.0,48.0,132.0
,low,22.9,31.0,42.0,110.8
Robbie Gould,SF,25.8,29.0,42.9,120.4
,high,26.7,29.0,44.0,121.8
,low,25.0,29.0,41.8,119.0
Jason Myers,SEA,25.2,29.0,38.4,113.9
,high,26.3,29.0,44.0,116.0
,low,24.0,29.0,32.8,111.8
Greg Zuerlein,DAL,24.0,30.0,41.6,113.8
,high,26.0,30.0,44.0,122.0
,low,22.1,30.0,39.3,105.5
Stephen Gostkowski,TEN,24.0,30.0,41.1,113.1
,high,25.0,30.0,41.2,116.0
,low,23.0,30.0,41.0,110.1
Matt Prater,DET,25.2,32.0,36.5,112.1
,high,27.0,32.0,40.0,121.0
,low,23.4,32.0,33.0,103.3
Younghoe Koo,ATL,24.4,29.0,38.2,111.4
,high,25.0,29.0,39.0,114.0
,low,23.8,29.0,37.5,108.7
Austin Seibert,CIN,25.6,29.0,34.5,111.3
,high,26.0,29.0,35.1,112.0
,low,25.2,29.0,34.0,110.7
Justin Rohrwasser,NE,25.0,29.0,36.0,111.0
,high,25.0,29.0,36.0,111.0
,low,25.0,29.0,36.0,111.0
Chris Boswell,PIT,25.0,29.0,36.0,110.9
,high,25.0,29.0,41.0,116.0
,low,25.0,29.0,30.9,105.8
Zane Gonzalez,ARI,25.1,33.0,35.0,110.4
,high,28.0,33.0,38.0,122.0
,low,22.3,33.0,32.0,98.9
Randy Bullock,CIN,27.0,28.0,29.5,110.4
,high,29.9,28.0,34.0,114.7
,low,24.0,28.0,24.9,106.0
Jake Elliott,PHI,25.0,27.0,35.4,110.3
,high,27.0,27.0,40.0,111.7
,low,23.0,27.0,30.7,109.0
Dan Bailey,MIN,23.9,29.0,38.5,110.3
,high,25.0,29.0,43.0,118.0
,low,22.8,29.0,34.1,102.5
Brandon McManus,DEN,24.3,29.0,36.4,109.5
,high,25.0,29.0,37.0,112.0
,low,23.7,29.0,35.9,107.0
Mason Crosby,GB,22.8,26.0,40.8,109.1
,high,23.0,26.0,41.0,110.0
,low,22.6,26.0,40.5,108.2
Daniel Carlson,LV,23.3,26.0,38.9,108.8
,high,25.6,26.0,41.9,118.7
,low,21.0,26.0,36.0,99.0
Ryan Succop,TB,25.0,31.0,33.1,108.1
,high,26.0,31.0,38.0,116.0
,low,24.0,31.0,28.2,100.2
Eddy Pineiro,CHI,24.0,28.0,35.0,107.0
,high,24.0,28.0,35.0,107.0
,low,24.0,28.0,35.0,107.0
Rodrigo Blankenship,IND,23.4,29.0,36.5,106.8
,high,24.0,29.0,39.0,111.0
,low,22.8,29.0,34.1,102.6
Sam Sloman,TEN,24.1,31.0,33.4,105.8
,high,26.0,31.0,39.0,117.0
,low,22.3,31.0,27.8,94.6
Joey Slye,CAR,24.0,29.0,33.9,105.8
,high,24.0,29.0,35.0,107.0
,low,24.0,29.0,32.8,104.6
Jason Sanders,MIA,24.2,27.0,32.7,105.4
,high,26.5,27.0,35.0,109.7
,low,22.0,27.0,30.3,101.0
Josh Lambo,JAC,22.8,25.0,35.9,104.2
,high,23.0,25.0,38.0,107.0
,low,22.5,25.0,33.8,101.3
Graham Gano,NYG,21.3,26.0,38.1,102.0
,high,21.6,26.0,40.0,103.0
,low,21.0,26.0,36.2,100.9
Ka'imi Fairbairn,HOU,22.5,28.0,34.1,101.7
,high,23.0,28.0,39.0,108.0
,low,22.1,28.0,29.3,95.5
Michael Badgley,LAC,23.4,24.0,30.8,101.1
,high,24.9,24.0,33.0,103.2
,low,22.0,24.0,28.6,99.0
Sam Ficken,NYJ,22.5,27.0,32.8,100.2
,high,23.9,27.0,33.7,105.4
,low,21.0,27.0,32.0,95.0
Tyler Bass,BUF,21.9,28.0,33.6,99.4
,high,22.0,28.0,38.0,104.0
,low,21.9,28.0,29.2,94.8
Dustin Hopkins,WAS,22.6,27.0,27.6,95.5
,high,23.0,27.0,30.0,99.0
,low,22.3,27.0,25.1,91.9
