Harrison Butker,KC,28.6,32.4,48.8,134.5
,high,29.1,32.8,51.0,147.9
,low,28.0,32.0,46.7,135.0
Wil Lutz,NO,27.6,30.9,47.4,130.1
,high,28.0,31.0,48.0,143.6
,low,27.2,30.7,46.7,132.0
Justin Tucker,BAL,25.2,28.6,51.0,126.5
,high,26.0,29.0,54.0,134.5
,low,24.4,28.2,48.0,132.0
Greg Zuerlein,DAL,26.2,30.6,44.8,123.3
,high,26.4,31.2,45.6,134.7
,low,26.0,30.0,44.0,122.0
Dan Bailey,MIN,26.1,30.1,40.1,118.4
,high,27.2,31.1,43.0,130.5
,low,25.0,29.0,37.2,118.0
Robbie Gould,SF,25.7,30.4,41.1,118.2
,high,26.4,31.9,44.0,126.8
,low,25.0,29.0,38.3,119.0
Jason Myers,SEA,25.5,30.8,41.7,118.1
,high,27.0,32.6,44.0,132.7
,low,24.0,29.0,39.4,116.0
Stephen Gostkowski,TEN,25.8,30.9,39.1,116.6
,high,26.7,31.8,41.0,127.2
,low,25.0,30.0,37.2,116.0
Matt Prater,DET,26.4,31.4,37.1,116.2
,high,27.0,32.0,40.0,121.8
,low,25.7,30.8,34.2,121.0
Zane Gonzalez,ARI,26.5,32.2,35.8,115.4
,high,28.0,33.0,38.0,122.0
,low,25.1,31.5,33.6,120.3
Sam Sloman,TEN,25.6,30.9,37.9,114.7
,high,26.0,31.0,39.0,122.1
,low,25.2,30.9,36.9,117.0
Ka'imi Fairbairn,HOU,25.7,30.5,37.0,114.2
,high,28.4,33.0,39.0,134.9
,low,23.0,28.0,35.0,108.0
Mason Crosby,GB,24.4,27.9,40.9,114.0
,high,25.8,29.9,41.0,131.2
,low,23.0,26.0,40.8,110.0
Chris Boswell,PIT,25.1,29.5,36.6,112.0
,high,25.3,30.0,41.0,118.7
,low,25.0,29.0,32.2,116.0
Jake Elliott,PHI,24.8,29.7,37.2,111.5
,high,26.6,32.4,40.0,125.4
,low,23.0,27.0,34.4,109.0
Austin Seibert,CIN,26.3,30.2,32.8,111.5
,high,26.5,31.5,34.0,124.9
,low,26.0,29.0,31.6,112.0
Justin Rohrwasser,NE,25.0,29.0,36.0,111.0
,high,25.0,29.0,36.0,111.0
,low,25.0,29.0,36.0,111.0
Nick Folk,NE,24.0,29.2,38.8,110.7
,high,24.0,29.2,38.8,120.6
,low,24.0,29.2,38.8,120.6
Rodrigo Blankenship,IND,24.8,30.0,35.5,109.9
,high,25.6,31.1,39.0,119.4
,low,24.0,29.0,32.1,111.0
Brandon McManus,DEN,25.8,30.7,32.3,109.5
,high,26.5,32.4,37.0,118.3
,low,25.0,29.0,27.5,112.0
Ryan Succop,TB,24.7,31.6,35.3,109.3
,high,26.0,32.2,38.0,116.0
,low,23.3,31.0,32.7,112.4
Josh Lambo,JAC,25.1,27.6,33.7,109.0
,high,27.2,30.2,38.0,125.4
,low,23.0,25.0,29.3,107.0
Younghoe Koo,ATL,23.9,28.0,36.4,108.1
,high,25.0,29.0,39.0,114.0
,low,22.8,26.9,33.8,112.4
Tyler Bass,BUF,24.2,29.9,33.9,106.6
,high,26.5,31.8,38.0,120.6
,low,22.0,28.0,29.9,104.0
Jason Sanders,MIA,23.9,28.8,34.7,106.3
,high,25.8,30.7,35.0,123.6
,low,22.0,27.0,34.4,101.0
Michael Badgley,LAC,22.8,26.0,36.9,105.4
,high,23.7,28.1,40.8,120.0
,low,22.0,24.0,33.0,99.0
Joey Slye,CAR,24.6,29.3,30.3,104.0
,high,25.1,29.6,35.0,117.2
,low,24.0,29.0,25.6,107.0
Dustin Hopkins,WAS,24.5,29.1,30.4,103.8
,high,26.0,31.2,30.8,122.8
,low,23.0,27.0,30.0,99.0
Randy Bullock,CIN,23.7,28.2,32.2,103.3
,high,24.0,28.4,34.0,109.5
,low,23.3,28.0,30.5,106.0
Graham Gano,NYG,22.3,27.2,33.2,100.3
,high,23.7,28.5,40.0,105.9
,low,21.0,26.0,26.5,103.0
Daniel Carlson,LV,21.5,28.0,33.6,98.1
,high,22.0,30.1,36.0,104.8
,low,21.0,26.0,31.2,99.0
Eddy Pineiro,CHI,22.3,26.3,30.2,97.1
,high,24.0,28.0,35.0,107.0
,low,20.6,24.6,25.4,95.1
Sam Ficken,NYJ,22.1,29.0,28.3,94.7
,high,23.3,30.9,32.0,103.7
,low,21.0,27.0,24.6,95.0
Cairo Santos,CHI,4.0,5.7,7.5,19.4
,high,4.0,5.7,7.5,20.6
,low,4.0,5.7,7.5,20.6
