Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass TDs,Ints Thrown,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Russell Wilson,SEA,468.7,297.7,"3,687.8",29.4,8.6,73.5,397.8,2.0,3.8,292.1
Baker Mayfield,CLE,469.3,293.5,"3,444.1",24.2,14.4,30.7,122.4,1.6,3.2,221.1
James Morgan,NYJ,5.4,3.2,34.6,0.2,0.2,0.2,0.9,0.0,0.0,1.9
Danny Etling,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Finley,CIN,26.5,16.1,185.2,1.0,0.6,1.2,5.6,0.0,0.3,10.3
Jeff Driskel,DEN,24.1,14.7,166.9,1.0,0.6,2.1,12.3,0.1,0.2,10.8
Cam Newton,NE,509.5,315.6,"3,570.2",20.5,12.1,86.7,438.1,3.5,4.2,257.0
Tua Tagovailoa,MIA,427.1,262.0,"3,011.6",16.5,10.7,32.3,129.5,1.1,3.1,178.3
Devlin Hodges,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,TB,575.7,362.4,"4,413.0",30.8,9.4,24.5,27.6,1.6,3.1,287.0
Dak Prescott,DAL,549.5,354.5,"4,329.3",26.7,10.9,49.3,247.2,3.8,3.7,298.0
Sean Mannion,MIN,24.4,14.1,154.3,0.9,0.8,0.8,1.8,0.0,0.3,7.9
Clayton Thorson,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Flacco,NYJ,20.9,13.6,144.4,1.0,0.4,0.4,0.8,0.0,0.2,8.6
Cooper Rush,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,468.6,315.7,"3,697.8",24.7,12.8,44.8,74.2,1.7,4.0,230.3
Brett Rypien,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Bortles,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Glennon,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,438.2,290.2,"3,425.1",23.8,10.9,58.3,206.8,2.3,4.0,237.1
David Blough,DET,,,,,,,,0.0,0.0,0.0
Josh Allen,BUF,480.0,289.3,"3,413.7",19.5,10.9,97.3,552.2,5.6,5.4,270.3
Justin Herbert,LAC,355.5,224.2,"2,616.4",14.1,9.6,33.7,135.7,1.2,2.6,157.5
Jake Luton,JAC,62.7,38.3,423.9,2.0,1.7,3.1,12.5,0.1,0.4,22.3
Jameis Winston,NO,40.1,25.0,316.0,2.1,1.6,2.2,10.6,0.1,0.3,18.5
Daniel Jones,NYG,537.6,340.1,"3,726.0",23.9,13.1,51.8,266.7,2.2,6.0,246.2
Matt Moore,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyler Murray,ARI,544.1,349.3,"3,831.2",26.3,12.2,87.0,471.2,3.7,3.4,296.5
Brett Hundley,ARI,26.4,16.4,177.1,1.3,0.8,1.8,10.6,0.1,0.2,11.8
Jared Goff,LAR,580.9,371.6,"4,311.6",21.7,13.2,30.8,63.9,1.8,4.6,240.7
Ben DiNucci,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,LV,,,,,,,,0.0,0.0,0.0
DeShone Kizer,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Stafford,DET,537.8,343.0,"4,209.6",27.3,10.6,33.6,123.5,0.6,3.8,264.9
Logan Woodside,TEN,22.4,12.9,144.2,1.1,0.7,1.0,4.1,0.0,0.2,9.0
Will Grier,CAR,,,,,,,,0.0,0.0,0.0
Alex McGough,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Smith,WAS,49.8,32.2,366.1,1.6,0.9,5.1,25.8,0.1,0.3,21.8
Matt Barkley,BUF,43.7,27.1,339.3,1.8,1.6,3.1,13.1,0.1,0.5,18.5
John Wolford,LAR,27.5,16.3,179.2,1.0,0.8,1.2,5.0,0.1,0.2,9.9
Nate Stanley,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt McCoy,NYG,26.9,17.2,196.2,1.2,0.7,1.0,4.9,0.0,0.3,11.5
Chad Kelly,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,DEN,513.0,326.8,"3,677.0",21.6,11.7,51.2,220.7,1.1,4.4,229.9
Chase Daniel,DET,26.3,17.1,188.0,1.4,0.7,0.9,2.9,0.0,0.2,11.6
Kyle Sloter,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carson Wentz,PHI,528.7,339.8,"3,805.3",26.7,9.1,54.3,213.1,1.7,5.3,261.8
Matt Schaub,ATL,30.1,19.3,223.2,1.4,0.7,0.8,3.2,0.0,0.2,13.2
Philip Rivers,IND,504.5,327.5,"3,770.2",25.5,14.4,15.4,29.7,0.2,3.3,221.9
Joe Burrow,CIN,532.0,331.2,"3,729.9",19.8,13.5,53.6,257.8,1.8,3.9,230.1
Josh Rosen,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman,LV,25.1,15.3,163.8,1.0,0.9,0.8,3.7,0.0,0.2,9.1
Tim Boyle,GB,12.8,7.4,83.4,0.5,0.5,0.4,1.7,0.0,0.1,4.6
Garrett Gilbert,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Haskins,WAS,517.2,321.8,"3,722.0",17.0,13.9,42.5,190.0,1.3,5.5,204.7
Andy Dalton,DAL,27.1,16.4,187.4,1.2,0.7,0.6,2.0,0.0,0.2,11.0
Case Keenum,CLE,56.1,36.4,387.6,2.6,1.2,2.0,6.8,0.1,0.5,23.9
Blaine Gabbert,TB,44.4,26.7,322.3,2.3,1.5,2.2,8.3,0.1,0.3,19.6
Teddy Bridgewater,CAR,503.2,323.5,"3,611.1",17.5,9.7,44.2,75.3,1.2,3.1,203.8
Nick Foles,CHI,266.7,173.0,"1,897.2",9.2,5.7,11.7,13.7,0.4,2.2,100.8
Deshaun Watson,HOU,515.7,336.7,"4,017.9",27.7,11.6,87.7,519.2,4.1,4.4,316.4
Joshua Dobbs,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ McCarron,HOU,27.2,15.6,176.1,1.3,0.8,1.3,5.2,0.0,0.2,10.8
Lamar Jackson,BAL,466.8,297.2,"3,438.7",25.5,9.9,156.5,905.1,6.1,5.3,336.1
Nate Sudfeld,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,496.3,335.4,"3,743.5",21.2,9.4,33.1,92.2,1.8,4.3,227.0
Chad Henne,KC,27.3,15.9,176.2,1.5,0.9,0.9,3.8,0.1,0.2,11.4
Davis Webb,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Fromm,BUF,,,,0.0,0.0,0.0,,0.0,0.0,0.0
Robert Griffin III,BAL,24.0,15.2,166.3,1.3,0.6,5.5,22.3,0.2,0.2,13.7
Brandon Allen,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillip Walker,CAR,95.7,56.7,648.8,3.2,2.8,6.9,28.2,0.3,0.7,36.1
Nick Mullens,SF,23.7,15.4,176.9,1.2,0.7,0.2,0.4,0.0,0.1,10.3
Matt Ryan,ATL,599.1,389.4,"4,515.1",28.2,12.4,32.1,124.8,1.0,4.3,278.6
Derek Carr,LV,517.7,344.6,"3,808.2",23.7,9.6,28.0,80.5,1.2,3.8,235.6
David Fales,NYJ,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Mahomes II,KC,553.4,361.2,"4,453.0",34.1,9.5,62.0,283.0,3.8,3.9,338.9
Drew Brees,NO,520.0,364.5,"4,021.2",29.9,9.0,19.9,11.2,1.3,2.6,265.8
Kyle Lauletta,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Johnson,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Rudolph,PIT,61.1,38.6,408.7,2.9,1.7,6.1,22.8,0.2,0.5,26.8
Trevor Siemian,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,JAC,520.6,326.5,"3,710.4",17.9,9.5,55.9,289.4,0.9,5.4,224.8
Jalen Hurts,PHI,41.6,24.8,288.4,1.9,1.4,12.2,66.9,0.6,0.4,26.0
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh McCown,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geno Smith,SEA,24.6,15.3,175.9,1.5,0.7,0.8,2.7,0.0,0.3,11.6
Mitchell Trubisky,CHI,326.7,207.2,"2,259.1",11.4,7.1,29.3,157.6,1.0,2.3,139.0
Jarrett Stidham,NE,42.7,27.8,292.5,1.8,1.0,1.9,8.0,0.1,0.3,17.5
Brian Hoyer,NE,,,,,0.0,,,0.0,0.0,0.0
Ryan Griffin,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Allen,WAS,11.2,7.1,80.6,0.4,0.3,1.7,8.1,0.1,0.1,5.3
Aaron Rodgers,GB,534.6,336.7,"3,888.0",25.4,8.6,42.7,205.8,1.2,3.4,261.3
Sam Darnold,NYJ,534.8,329.1,"3,752.7",22.0,14.8,41.7,105.8,1.8,4.8,220.5
Trace McSorley,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Love,GB,13.5,7.9,91.1,0.6,0.5,0.6,2.4,0.0,0.1,5.4
Jacob Eason,IND,,,,0.0,0.0,,,0.0,0.0,0.0
Jacoby Brissett,IND,39.5,24.1,255.1,1.8,0.5,2.8,11.6,0.2,0.3,18.0
Ryan Fitzpatrick,MIA,161.5,99.1,"1,169.7",6.2,4.4,16.3,78.5,0.7,1.2,72.1
Tyrod Taylor,LAC,173.3,110.0,"1,262.9",7.1,3.4,25.4,130.3,1.0,1.2,88.7
Ben Roethlisberger,PIT,529.6,339.2,"3,879.1",25.3,12.3,27.1,73.2,1.0,3.5,238.1
