Lamar Jackson,BAL,483.9,311.5,"3,500.1",27.1,10.2,163.3,881.4,6.7,5.3,346.0
,high,501.1,325.9,"3,561.5",28.7,9.9,170.2,905.1,7.4,5.3,359.2
,low,466.8,297.2,"3,438.7",25.5,10.5,156.5,857.7,6.1,5.3,336.1
Patrick Mahomes II,KC,573.5,374.1,"4,573.7",36.1,10.6,54.4,240.1,2.9,3.9,339.8
,high,593.6,387.0,"4,694.4",38.0,9.5,62.0,283.0,3.8,3.9,344.9
,low,553.4,361.2,"4,453.0",34.1,11.7,46.9,197.2,2.1,3.9,338.9
Deshaun Watson,HOU,532.8,349.0,"4,066.6",28.0,12.2,91.7,474.9,4.2,4.4,314.2
,high,549.9,361.3,"4,115.3",28.2,11.6,95.8,519.2,4.3,4.4,316.4
,low,515.7,336.7,"4,017.9",27.7,12.8,87.7,430.7,4.1,4.4,315.3
Dak Prescott,DAL,559.9,362.0,"4,414.9",28.4,10.6,53.2,250.8,3.7,3.7,308.8
,high,570.3,369.5,"4,500.6",30.1,10.4,57.2,254.4,3.8,3.7,322.7
,low,549.5,354.5,"4,329.3",26.7,10.9,49.3,247.2,3.7,3.7,298.0
Russell Wilson,SEA,497.5,321.0,"3,852.1",30.3,8.7,71.9,384.0,2.0,3.8,300.9
,high,526.3,344.3,"4,016.3",31.3,8.6,73.5,397.8,2.0,3.8,313.8
,low,468.7,297.7,"3,687.8",29.4,8.7,70.4,370.3,2.0,3.8,292.1
Kyler Murray,ARI,548.2,354.2,"4,008.0",25.5,11.6,83.7,430.6,3.4,3.4,295.4
,high,552.4,359.2,"4,184.8",26.3,11.1,87.0,471.2,3.7,3.4,298.5
,low,544.1,349.3,"3,831.2",24.6,12.2,80.4,390.1,3.1,3.4,296.5
Tom Brady,TB,590.0,370.8,"4,358.1",30.4,8.9,24.7,44.9,1.4,3.1,284.9
,high,604.3,379.2,"4,413.0",30.8,8.4,24.9,62.3,1.6,3.1,287.0
,low,575.7,362.4,"4,303.2",30.1,9.4,24.5,27.6,1.2,3.1,286.0
Josh Allen,BUF,499.2,300.3,"3,445.2",20.3,11.6,116.3,581.5,6.5,5.4,282.1
,high,518.5,311.3,"3,476.8",21.1,10.9,135.3,610.8,7.5,5.4,293.3
,low,480.0,289.3,"3,413.7",19.5,12.3,97.3,552.2,5.6,5.4,270.3
Matt Ryan,ATL,607.0,396.6,"4,615.0",27.7,11.8,33.2,126.0,1.0,4.3,281.5
,high,614.8,403.8,"4,714.9",28.2,11.2,34.4,127.2,1.0,4.3,287.6
,low,599.1,389.4,"4,515.1",27.2,12.4,32.1,124.8,0.9,4.3,278.6
Drew Brees,NO,550.9,387.3,"4,196.4",30.6,10.1,20.5,34.7,0.9,2.6,273.6
,high,581.9,410.0,"4,371.6",31.3,9.0,21.2,58.3,1.3,2.6,285.4
,low,520.0,364.5,"4,021.2",29.9,11.3,19.9,11.2,0.6,2.6,265.8
Carson Wentz,PHI,550.9,353.4,"3,871.1",28.1,9.7,52.4,210.6,1.8,5.3,269.3
,high,573.0,367.0,"3,937.0",29.5,9.1,54.3,213.1,1.9,5.3,278.8
,low,528.7,339.8,"3,805.3",26.7,10.3,50.5,208.0,1.7,5.3,261.8
Cam Newton,NE,526.5,326.3,"3,652.2",23.1,13.4,83.9,404.3,4.1,4.2,268.7
,high,543.5,336.9,"3,734.2",25.8,12.1,86.7,438.1,4.7,4.2,281.0
,low,509.5,315.6,"3,570.2",20.5,14.6,81.1,370.6,3.5,4.2,257.0
