Christian McCaffrey,CAR,243.5,"1,148.0",9.5,110.5,927.5,4.5,4.0,283.6
,high,245.0,"1,161.0",10.0,114.0,971.0,5.0,4.0,294.6
,low,242.0,"1,135.0",9.0,107.0,884.0,4.0,4.0,288.5
Saquon Barkley,NYG,269.0,"1,248.0",10.0,71.5,573.0,2.5,3.0,251.1
,high,270.0,"1,260.0",10.0,79.0,629.0,3.0,3.0,264.5
,low,268.0,"1,236.0",10.0,64.0,517.0,2.0,3.0,249.7
Ezekiel Elliott,DAL,289.0,"1,307.5",9.5,65.5,515.0,2.5,4.0,246.3
,high,292.0,"1,316.0",10.0,72.0,584.0,3.0,4.0,260.3
,low,286.0,"1,299.0",9.0,59.0,446.0,2.0,4.0,248.2
Derrick Henry,TEN,294.5,"1,513.0",12.0,20.5,177.0,1.0,3.0,241.0
,high,301.0,"1,586.0",13.0,23.0,195.0,1.0,3.0,247.5
,low,288.0,"1,440.0",11.0,18.0,159.0,1.0,3.0,246.5
Dalvin Cook,MIN,260.0,"1,195.5",11.0,58.0,515.5,1.5,3.0,240.1
,high,274.0,"1,211.0",11.0,63.0,551.0,2.0,3.0,251.1
,low,246.0,"1,180.0",11.0,53.0,480.0,1.0,3.0,241.1
Alvin Kamara,NO,193.0,914.5,8.0,89.0,670.0,2.5,3.0,215.5
,high,208.0,973.0,8.0,96.0,711.0,3.0,3.0,228.4
,low,178.0,856.0,8.0,82.0,629.0,2.0,3.0,214.5
Clyde Edwards-Helaire,KC,197.0,882.5,9.0,53.0,523.5,3.5,3.0,209.6
,high,212.0,955.0,10.0,57.0,572.0,4.0,3.0,222.2
,low,182.0,810.0,8.0,49.0,475.0,3.0,3.0,209.0
Josh Jacobs,LV,266.5,"1,253.5",9.0,32.0,258.0,0.5,3.0,202.2
,high,276.0,"1,299.0",10.0,37.0,315.0,1.0,3.0,221.4
,low,257.0,"1,208.0",8.0,27.0,201.0,0.0,3.0,194.9
Joe Mixon,CIN,269.0,"1,141.0",7.5,44.5,336.5,2.0,3.0,198.8
,high,271.0,"1,176.0",8.0,45.0,338.0,2.0,3.0,205.1
,low,267.0,"1,106.0",7.0,44.0,335.0,2.0,3.0,204.4
Nick Chubb,CLE,279.0,"1,262.5",8.5,22.5,172.0,1.0,3.0,194.5
,high,297.0,"1,336.0",9.0,29.0,211.0,1.0,3.0,206.9
,low,261.0,"1,189.0",8.0,16.0,133.0,1.0,3.0,194.0
Aaron Jones,GB,200.5,897.0,10.0,44.5,358.0,2.0,2.0,193.5
,high,208.0,979.0,11.0,51.0,385.0,2.0,2.0,202.4
,low,193.0,815.0,9.0,38.0,331.0,2.0,2.0,192.6
Miles Sanders,PHI,222.0,"1,001.5",4.5,57.0,533.5,2.5,3.0,189.5
,high,237.0,"1,067.0",5.0,58.0,593.0,3.0,3.0,196.1
,low,207.0,936.0,4.0,56.0,474.0,2.0,3.0,194.9
Kenyan Drake,ARI,191.0,863.5,7.5,57.5,435.5,2.5,2.0,185.9
