Christian McCaffrey,CAR,258.9,"1,186.0",8.3,105.7,872.0,4.6,4.0,275.2
,high,272.9,"1,237.0",9.0,114.0,971.0,5.0,4.0,294.6
,low,245.0,"1,135.0",7.6,97.5,773.1,4.2,4.0,271.3
Saquon Barkley,NYG,273.1,"1,250.3",9.4,77.9,618.8,3.3,3.0,257.1
,high,276.3,"1,264.6",10.0,79.0,629.0,3.7,3.0,264.5
,low,270.0,"1,236.0",8.8,76.8,608.5,3.0,3.0,260.8
Ezekiel Elliott,DAL,286.1,"1,292.6",9.7,65.4,522.6,3.1,4.0,250.4
,high,286.2,"1,299.0",10.5,72.0,584.0,3.2,4.0,260.3
,low,286.0,"1,286.1",9.0,58.8,461.1,3.0,4.0,253.7
Derrick Henry,TEN,300.1,"1,496.6",12.0,22.2,193.2,1.1,3.0,241.8
,high,301.0,"1,586.0",13.1,26.5,227.3,1.2,3.0,246.5
,low,299.2,"1,407.1",11.0,18.0,159.0,1.0,3.0,244.1
Dalvin Cook,MIN,271.2,"1,204.7",10.1,56.6,509.0,1.9,3.0,237.3
,high,274.0,"1,211.0",11.0,60.3,537.9,2.9,3.0,241.1
,low,268.4,"1,198.3",9.1,53.0,480.0,1.0,3.0,241.0
Alvin Kamara,NO,212.9,993.1,8.8,86.9,623.2,3.1,3.0,227.4
,high,217.9,"1,013.3",9.7,96.0,711.0,4.3,3.0,233.5
,low,208.0,973.0,8.0,77.8,535.3,2.0,3.0,228.4
Clyde Edwards-Helaire,KC,209.5,920.3,9.2,53.9,511.1,4.0,3.0,215.8
,high,237.0,"1,030.6",10.0,58.7,572.0,4.0,3.0,222.2
,low,182.0,810.0,8.3,49.0,450.2,3.9,3.0,218.6
Josh Jacobs,LV,279.3,"1,276.8",10.3,32.8,264.9,0.6,3.0,213.5
,high,282.7,"1,299.0",10.5,37.0,315.0,1.3,3.0,221.4
,low,276.0,"1,254.7",10.0,28.6,214.9,0.0,3.0,216.7
Nick Chubb,CLE,265.6,"1,312.8",9.7,21.7,171.1,1.2,3.0,207.6
,high,270.2,"1,336.0",10.4,27.3,209.2,1.4,3.0,217.6
,low,261.0,"1,289.6",9.0,16.0,133.0,1.0,3.0,206.9
Joe Mixon,CIN,278.2,"1,172.9",7.9,43.4,326.8,1.8,3.0,202.3
,high,285.3,"1,239.8",8.0,44.0,338.0,2.0,3.0,212.4
,low,271.0,"1,106.0",7.8,42.8,315.5,1.6,3.0,204.4
