Christian McCaffrey,CAR,257.4,"1,199.0",8.8,102.2,828.5,4.1,0.0,280.2
,high,272.9,"1,237.0",10.0,107.0,884.0,4.2,0.0,288.5
,low,242.0,"1,161.0",7.6,97.5,773.1,4.0,0.0,271.3
Saquon Barkley,NYG,272.1,"1,262.3",9.4,70.4,562.8,2.8,0.0,255.7
,high,276.3,"1,264.6",10.0,76.8,608.5,3.7,0.0,260.8
,low,268.0,"1,260.0",8.8,64.0,517.0,2.0,0.0,249.7
Ezekiel Elliott,DAL,289.1,"1,301.1",10.2,58.9,453.6,2.6,0.0,252.4
,high,292.0,"1,316.0",10.5,59.0,461.1,3.2,0.0,253.7
,low,286.2,"1,286.1",10.0,58.8,446.0,2.0,0.0,248.2
Derrick Henry,TEN,293.6,"1,423.6",13.0,24.7,211.2,1.1,0.0,248.3
,high,299.2,"1,440.0",13.1,26.5,227.3,1.2,0.0,247.5
,low,288.0,"1,407.1",13.0,23.0,195.0,1.0,0.0,244.1
Dalvin Cook,MIN,257.2,"1,189.2",10.1,61.6,544.5,2.4,0.0,248.3
,high,268.4,"1,198.3",11.0,63.0,551.0,2.9,0.0,251.1
,low,246.0,"1,180.0",9.1,60.3,537.9,2.0,0.0,241.0
Alvin Kamara,NO,197.9,934.6,8.8,79.9,582.2,3.6,0.0,226.4
,high,217.9,"1,013.3",9.7,82.0,629.0,4.3,0.0,233.5
,low,178.0,856.0,8.0,77.8,535.3,3.0,0.0,214.5
Clyde Edwards-Helaire,KC,224.5,992.8,8.2,57.9,462.6,3.5,0.0,215.2
,high,237.0,"1,030.6",8.3,58.7,475.0,3.9,0.0,218.6
,low,212.0,955.0,8.0,57.0,450.2,3.0,0.0,209.0
Joe Mixon,CIN,276.2,"1,207.9",7.4,43.9,325.3,1.8,0.0,208.7
,high,285.3,"1,239.8",7.8,45.0,335.0,2.0,0.0,212.4
,low,267.0,"1,176.0",7.0,42.8,315.5,1.6,0.0,205.1
Nick Chubb,CLE,283.6,"1,239.3",9.2,28.2,210.1,1.2,0.0,207.2
,high,297.0,"1,289.6",10.4,29.0,211.0,1.4,0.0,217.6
,low,270.2,"1,189.0",8.0,27.3,209.2,1.0,0.0,194.0
Aaron Jones,GB,221.7,"1,027.7",9.2,46.9,365.3,2.1,0.0,207.0
,high,235.4,"1,076.5",9.3,51.0,385.0,2.2,0.0,209.7
,low,208.0,979.0,9.0,42.8,345.7,2.0,0.0,202.4
Miles Sanders,PHI,248.0,"1,108.8",6.7,50.3,422.0,2.2,0.0,206.6
,high,259.1,"1,150.5",8.5,56.0,474.0,2.3,0.0,214.8
,low,237.0,"1,067.0",5.0,44.6,370.1,2.0,0.0,196.1
Josh Jacobs,LV,269.8,"1,231.3",9.3,27.8,207.9,1.1,0.0,206.3
,high,282.7,"1,254.7",10.5,28.6,214.9,1.3,0.0,216.7
,low,257.0,"1,208.0",8.0,27.0,201.0,1.0,0.0,194.9
Kenyan Drake,ARI,230.8,"1,063.5",7.1,53.1,422.1,2.2,0.0,204.7
,high,245.7,"1,113.9",7.3,55.0,428.1,2.4,0.0,209.9
,low,216.0,"1,013.0",7.0,51.2,416.0,2.0,0.0,196.9
Chris Carson,SEA,249.6,"1,113.1",7.6,30.6,239.8,1.4,0.0,188.9
,high,252.1,"1,115.2",8.0,32.0,241.0,1.7,0.0,189.2
,low,247.0,"1,111.0",7.2,29.2,238.7,1.0,0.0,181.9
Todd Gurley II,ATL,210.9,932.5,8.5,42.2,327.2,1.9,0.0,188.3
,high,217.0,953.0,9.0,49.0,356.0,2.0,0.0,190.9
,low,204.9,912.1,8.0,35.4,298.5,1.8,0.0,182.6
Austin Ekeler,LAC,166.4,733.3,5.1,69.2,624.6,3.4,0.0,186.6
,high,182.7,821.6,7.2,71.0,675.0,4.0,0.0,196.5
,low,150.0,645.0,3.0,67.4,574.2,2.8,0.0,174.0
James Conner,PIT,231.7,"1,003.6",6.6,42.4,333.7,2.0,0.0,185.3
,high,243.4,"1,062.2",7.1,46.0,346.0,2.1,0.0,190.5
,low,220.0,945.0,6.0,38.8,321.3,2.0,0.0,177.1
David Johnson,HOU,224.6,905.4,6.0,39.2,329.1,2.4,0.0,174.0
,high,235.3,956.7,7.1,47.0,399.0,3.0,0.0,173.3
,low,214.0,854.0,5.0,31.4,259.3,1.8,0.0,172.3
Melvin Gordon III,DEN,222.3,912.0,6.7,35.5,268.3,1.2,0.0,165.1
,high,232.5,977.9,7.3,39.0,288.0,1.4,0.0,169.5
,low,212.0,846.0,6.0,31.9,248.7,1.0,0.0,155.4
Jonathan Taylor,IND,211.5,922.1,7.9,23.1,175.8,1.2,0.0,164.6
,high,236.9,"1,007.2",8.9,26.2,216.6,1.4,0.0,181.6
,low,186.0,837.0,7.0,20.0,135.0,1.0,0.0,145.2
Le'Veon Bell,KC,204.2,807.9,5.0,47.4,348.2,1.8,0.0,156.3
,high,209.0,815.0,5.0,56.0,406.0,2.0,0.0,164.1
,low,199.3,800.9,4.9,38.8,290.5,1.6,0.0,148.0
Mark Ingram II,BAL,170.0,806.1,6.5,24.7,191.5,1.6,0.0,148.4
,high,182.0,855.0,7.0,27.0,217.0,2.0,0.0,155.2
,low,158.1,757.2,6.0,22.3,166.0,1.3,0.0,140.2
Raheem Mostert,SF,171.1,804.7,6.7,22.4,179.7,1.1,0.0,145.2
,high,183.1,813.4,7.3,24.7,194.4,1.3,0.0,146.6
,low,159.0,796.0,6.0,20.0,165.0,1.0,0.0,138.1
Cam Akers,LAR,186.7,747.3,5.9,34.5,247.3,1.3,0.0,142.8
,high,189.4,759.6,6.8,35.0,259.7,1.6,0.0,149.0
,low,184.0,735.0,5.0,33.9,235.0,1.0,0.0,133.0
Antonio Gibson,WAS,151.3,631.0,4.0,51.9,372.8,2.0,0.0,136.3
,high,152.7,645.0,4.0,54.0,386.7,2.0,0.0,136.4
,low,150.0,616.9,4.0,49.9,359.0,2.0,0.0,132.9
Leonard Fournette,TB,184.3,759.7,5.6,33.9,230.8,0.6,0.0,136.3
