Christian McCaffrey,CAR,272.9,"1,124.0",7.6,95.2,785.7,5.0,0.5,265.6
,high,272.9,"1,237.0",7.6,97.5,798.3,5.9,0.5,271.3
,low,272.9,"1,010.9",7.5,92.8,773.1,4.2,0.5,261.2
Derrick Henry,TEN,299.2,"1,465.4",12.2,22.7,193.4,1.1,1.7,242.7
,high,299.2,"1,523.7",13.1,26.5,227.3,1.2,1.7,244.1
,low,299.2,"1,407.1",11.4,18.9,159.5,1.1,1.7,239.6
Ezekiel Elliott,DAL,286.2,"1,253.0",9.7,54.3,431.4,2.7,1.3,240.2
,high,286.2,"1,286.1",10.5,58.8,461.1,3.2,1.3,253.7
,low,286.2,"1,220.0",9.0,49.7,401.7,2.2,1.3,226.4
Saquon Barkley,NYG,276.3,"1,207.7",7.8,61.9,506.4,2.8,0.0,235.2
,high,276.3,"1,264.6",8.8,76.8,608.5,3.7,0.0,260.8
,low,276.3,"1,150.7",6.8,47.1,404.4,2.0,0.0,209.7
Dalvin Cook,MIN,268.4,"1,118.4",8.6,59.1,530.6,2.3,2.5,225.4
,high,268.4,"1,198.3",9.1,60.3,537.9,2.9,2.5,241.0
,low,268.4,"1,038.6",8.0,57.9,523.3,1.8,2.5,210.3
Alvin Kamara,NO,217.9,933.8,7.8,78.4,545.1,3.2,0.5,213.5
,high,217.9,"1,013.3",9.7,79.1,554.9,4.3,0.5,233.5
,low,217.9,854.4,6.0,77.8,535.3,2.2,0.5,192.7
Joe Mixon,CIN,285.3,"1,246.8",7.9,35.3,279.5,1.4,0.6,207.6
,high,285.3,"1,253.7",8.0,42.8,315.5,1.6,0.6,212.4
,low,285.3,"1,239.8",7.8,27.8,243.5,1.3,0.6,204.0
Nick Chubb,CLE,270.2,"1,246.8",9.3,27.2,211.5,1.2,1.2,206.2
,high,270.2,"1,289.6",10.4,27.3,213.8,1.4,1.2,217.6
,low,270.2,"1,204.0",8.2,27.1,209.2,1.0,1.2,194.6
Miles Sanders,PHI,259.1,"1,097.7",7.5,46.2,392.6,2.2,1.2,204.7
,high,259.1,"1,150.5",8.5,47.8,415.1,2.3,1.2,214.8
,low,259.1,"1,045.0",6.5,44.6,370.1,2.1,1.2,196.0
Josh Jacobs,LV,282.7,"1,211.5",9.5,26.7,197.5,1.0,1.2,201.9
,high,282.7,"1,254.7",10.5,28.6,214.9,1.3,1.2,216.7
,low,282.7,"1,168.4",8.5,24.8,180.1,0.8,1.2,188.5
Aaron Jones,GB,235.4,"1,033.3",8.6,42.1,349.1,2.1,1.1,200.4
,high,235.4,"1,076.5",9.3,42.8,352.5,2.2,1.1,209.7
,low,235.4,990.1,8.0,41.4,345.7,2.0,1.1,191.5
Clyde Edwards-Helaire,KC,237.0,"1,012.6",7.5,50.4,395.7,2.7,1.5,198.9
,high,237.0,"1,030.6",8.3,58.7,450.2,3.9,1.5,218.6
,low,237.0,994.7,6.6,42.2,341.1,1.5,1.5,179.7
Kenyan Drake,ARI,245.7,"1,062.7",7.3,51.9,397.1,1.9,1.4,198.3
,high,245.7,"1,113.9",7.3,52.7,428.1,2.4,1.4,209.9
,low,245.7,"1,011.5",7.3,51.2,366.1,1.4,1.4,187.3
Chris Carson,SEA,252.1,"1,172.0",7.8,31.9,259.7,1.5,2.0,195.4
,high,252.1,"1,228.7",8.5,34.6,280.8,1.7,2.0,207.1
,low,252.1,"1,115.2",7.2,29.2,238.7,1.4,2.0,181.9
Austin Ekeler,LAC,182.7,734.4,5.5,65.9,658.3,3.7,0.6,193.4
,high,182.7,821.6,7.2,67.4,742.4,4.6,0.6,196.5
,low,182.7,647.1,3.9,64.4,574.2,2.8,0.6,189.0
James Conner,PIT,243.4,968.6,6.6,42.5,354.3,2.1,1.7,180.8
,high,243.4,"1,062.2",7.1,46.3,387.4,2.1,1.7,190.5
,low,243.4,875.0,6.0,38.8,321.3,2.1,1.7,171.6
Todd Gurley II,ATL,204.9,900.6,8.2,35.2,290.4,1.7,0.8,176.5
,high,204.9,912.1,9.0,35.4,298.5,1.8,0.8,182.6
,low,204.9,889.0,7.3,35.1,282.4,1.6,0.8,171.8
David Johnson,HOU,235.3,855.1,6.0,40.7,396.1,2.5,1.8,172.2
,high,235.3,956.7,7.1,50.0,532.9,3.1,1.8,174.3
,low,235.3,753.5,4.9,31.4,259.3,1.8,1.8,172.3
Melvin Gordon III,DEN,232.5,878.5,6.8,41.1,340.2,1.7,0.8,171.6
,high,232.5,977.9,7.3,50.2,431.7,2.1,0.8,170.8
,low,232.5,779.1,6.3,31.9,248.7,1.4,0.8,169.5
Le'Veon Bell,KC,199.3,854.3,4.8,47.6,388.4,1.7,0.8,161.6
,high,199.3,907.8,4.9,56.5,486.4,1.8,0.8,176.2
,low,199.3,800.9,4.6,38.8,290.5,1.6,0.8,148.0
Jonathan Taylor,IND,236.9,860.2,6.8,27.4,229.9,1.3,1.0,155.5
,high,236.9,"1,007.2",8.9,28.6,243.2,1.4,1.0,181.6
,low,236.9,713.3,4.8,26.2,216.6,1.1,1.0,129.4
Mark Ingram II,BAL,158.1,768.8,6.4,25.6,224.7,1.6,1.4,144.5
,high,158.1,780.4,7.0,29.0,283.4,2.0,1.4,151.9
,low,158.1,757.2,5.8,22.3,166.0,1.3,1.4,140.2
Raheem Mostert,SF,183.1,814.5,7.4,20.1,155.3,0.9,2.5,142.0
,high,183.1,815.5,7.5,24.7,194.4,1.3,2.5,146.6
,low,183.1,813.4,7.3,15.5,116.2,0.6,2.5,136.8
Devin Singletary,BUF,158.2,786.3,4.8,32.7,281.3,1.4,1.2,141.7
,high,158.2,871.0,5.1,36.0,346.9,1.5,1.2,159.5
,low,158.2,701.5,4.5,29.4,215.7,1.3,1.2,124.4
Antonio Gibson,WAS,152.7,647.7,4.1,47.3,392.7,2.0,0.6,139.6
,high,152.7,678.5,4.3,49.9,398.8,2.0,0.6,144.5
,low,152.7,616.9,4.0,44.7,386.7,2.0,0.6,132.9
Ronald Jones II,TB,135.4,707.8,5.2,30.7,247.8,1.2,1.0,131.4
,high,135.4,840.1,5.6,39.2,345.4,1.4,1.0,158.5
,low,135.4,575.6,4.7,22.2,150.2,0.9,1.0,104.2
Cam Akers,LAR,189.4,677.4,5.4,28.2,216.1,1.2,0.9,127.3
,high,189.4,759.6,6.8,33.9,259.7,1.6,0.9,149.0
,low,189.4,595.3,4.0,22.4,172.4,0.8,0.9,104.1
Kareem Hunt,CLE,113.2,447.7,3.4,52.6,451.7,2.7,0.0,126.1
,high,113.2,509.5,4.2,53.7,456.0,2.8,0.0,136.9
,low,113.2,385.9,2.6,51.6,447.4,2.5,0.0,115.0
David Montgomery,CHI,182.5,802.5,4.9,16.2,117.1,0.7,1.7,121.7
,high,182.5,878.9,5.3,16.9,117.9,0.7,1.7,132.2
,low,182.5,726.1,4.5,15.5,116.3,0.6,1.7,113.6
Marlon Mack,IND,150.4,722.6,5.9,12.9,99.0,0.6,0.4,120.2
,high,150.4,789.8,6.0,13.6,112.8,0.8,0.4,126.8
,low,150.4,655.5,5.8,12.1,85.1,0.4,0.4,116.2
Sony Michel,NE,168.4,765.5,5.2,14.5,103.9,0.5,0.8,119.7
,high,168.4,856.5,5.6,16.6,116.4,0.5,0.8,132.1
,low,168.4,674.4,4.8,12.5,91.5,0.5,0.8,106.8
Kerryon Johnson,DET,135.5,647.8,4.6,23.0,192.7,1.0,1.5,114.6
,high,135.5,700.6,5.4,24.3,201.2,1.0,1.5,125.6
,low,135.5,595.0,3.8,21.7,184.2,1.0,1.5,105.0
Leonard Fournette,TB,174.5,576.6,4.5,26.7,190.0,1.0,0.0,109.4
,high,174.5,704.5,6.2,28.9,203.5,1.2,0.0,132.0
,low,174.5,448.7,2.8,24.5,176.6,0.7,0.0,86.4
Chris Thompson,JAC,49.5,394.7,2.1,52.8,446.5,2.0,0.0,108.9
,high,49.5,577.9,3.0,56.6,519.8,2.1,0.0,140.9
,low,49.5,211.5,1.2,49.0,373.1,1.9,0.0,75.8
Jordan Howard,PHI,169.2,635.8,4.9,14.5,100.2,0.5,0.3,105.7
,high,169.2,707.4,5.5,15.9,117.6,0.7,0.3,119.8
,low,169.2,564.3,4.3,13.0,82.8,0.4,0.3,92.5
Phillip Lindsay,DEN,137.7,622.5,4.0,21.8,153.8,0.6,0.0,105.2
,high,137.7,630.3,4.1,22.3,163.8,0.9,0.0,107.5
,low,137.7,614.8,3.9,21.3,143.7,0.3,0.0,103.3
James White,NE,36.8,165.4,1.2,64.7,564.6,3.5,0.0,101.3
,high,36.8,176.8,1.3,67.9,590.5,3.9,0.0,102.9
,low,36.8,153.9,1.1,61.5,538.7,3.1,0.0,100.7
Tarik Cohen,CHI,92.9,326.0,2.0,58.9,409.5,2.3,0.7,97.7
,high,92.9,392.4,2.7,58.9,475.3,2.8,0.7,101.7
,low,92.9,259.6,1.2,58.9,343.8,1.8,0.7,90.4
Zack Moss,BUF,151.8,541.7,3.7,20.7,157.6,0.9,0.7,95.8
,high,151.8,637.9,4.4,27.4,201.7,1.2,0.7,115.9
,low,151.8,445.5,3.0,14.0,113.5,0.5,0.7,75.7
D'Andre Swift,DET,133.2,483.6,2.9,29.5,227.8,1.2,0.4,94.8
,high,133.2,566.5,3.1,31.9,238.3,1.3,0.4,105.5
,low,133.2,400.7,2.7,27.2,217.2,1.1,0.4,83.7
Matt Breida,MIA,131.8,501.2,2.8,27.1,203.2,1.1,0.9,92.2
,high,131.8,595.9,3.2,34.2,263.6,1.5,0.9,112.4
,low,131.8,406.6,2.5,20.0,142.9,0.7,0.9,72.3
Tevin Coleman,SF,120.5,498.3,4.3,14.0,108.8,0.7,0.0,90.6
,high,120.5,518.2,5.3,16.8,143.1,1.0,0.0,103.0
,low,120.5,478.3,3.4,11.1,74.5,0.3,0.0,77.5
J.K. Dobbins,BAL,150.0,514.4,3.7,16.6,121.4,0.9,0.6,89.9
,high,150.0,638.6,4.7,19.8,146.9,1.2,0.6,112.6
,low,150.0,390.2,2.7,13.3,95.8,0.5,0.6,66.9
Latavius Murray,NO,134.4,490.7,4.1,16.4,118.8,0.6,0.0,89.3
,high,134.4,543.8,5.4,22.0,161.6,0.6,0.0,97.7
,low,134.4,437.5,2.9,10.8,76.0,0.6,0.0,81.0
Tony Pollard,DAL,95.2,428.8,3.1,24.9,197.7,1.2,0.9,86.8
,high,95.2,444.8,3.1,29.8,235.5,1.6,0.9,91.3
,low,95.2,412.8,3.1,20.0,160.0,0.8,0.9,83.3
Darrell Henderson,LAR,115.1,482.7,3.1,21.8,154.3,0.9,0.6,86.5
,high,115.1,483.8,3.5,26.6,174.9,0.9,0.6,87.1
,low,115.1,481.5,2.7,16.9,133.8,0.8,0.6,86.2
Alexander Mattison,MIN,113.1,487.4,3.4,17.0,137.9,0.8,1.0,85.7
,high,113.1,490.6,3.5,17.2,138.4,0.9,1.0,86.6
,low,113.1,484.1,3.4,16.8,137.5,0.7,1.0,85.6
Boston Scott,PHI,115.9,416.0,3.5,22.6,177.6,0.9,0.2,84.9
,high,115.9,489.9,3.9,29.7,240.1,1.0,0.2,85.1
,low,115.9,342.0,3.0,15.5,115.2,0.8,0.2,82.3
Duke Johnson Jr.,HOU,55.2,262.4,1.8,42.0,372.8,1.9,0.5,84.2
,high,55.2,284.6,2.2,44.8,416.5,2.0,0.5,94.7
,low,55.2,240.1,1.3,39.2,329.1,1.7,0.5,76.7
Jerick McKinnon,SF,107.2,365.0,2.9,24.4,190.0,0.8,0.4,76.8
,high,107.2,433.4,4.2,35.2,283.9,0.9,0.4,80.7
,low,107.2,296.5,1.6,13.5,96.1,0.7,0.4,73.6
