Travis Kelce,KC,96.0,"1,163.5",8.4,0.8,165.2
,high,101.0,"1,195.0",9.8,0.5,173.0
,low,91.0,"1,132.0",7.0,1.0,161.5
George Kittle,SF,84.2,"1,102.7",6.2,0.7,146.1
,high,88.0,"1,207.0",6.4,0.4,156.7
,low,80.3,998.4,6.0,1.0,142.3
Mark Andrews,BAL,60.0,836.3,8.4,0.8,132.2
,high,65.9,882.7,9.0,0.6,133.5
,low,54.0,790.0,7.7,1.0,133.0
Zach Ertz,PHI,88.3,902.2,6.7,0.7,129.0
,high,102.0,"1,016.0",7.0,0.4,143.6
,low,74.6,788.4,6.4,1.0,116.3
Darren Waller,LV,77.4,937.9,4.6,0.7,119.8
,high,82.0,"1,022.0",5.2,0.4,126.2
,low,72.7,853.8,4.0,1.0,115.5
Jared Cook,NO,47.1,667.7,6.7,0.2,106.6
,high,48.0,679.0,7.0,0.0,109.9
,low,46.2,656.5,6.4,0.3,103.3
Evan Engram,NYG,66.5,751.1,5.0,0.6,103.8
,high,69.0,810.0,5.0,0.3,111.0
,low,64.0,692.1,5.0,1.0,102.5
Hunter Henry,LAC,59.6,720.9,5.3,0.7,102.7
,high,65.0,785.0,6.0,0.4,114.5
,low,54.2,656.7,4.7,1.0,92.9
Tyler Higbee,LAR,65.7,751.0,4.3,0.6,99.8
,high,67.0,797.0,4.7,0.3,103.7
,low,64.4,704.9,4.0,1.0,97.9
Rob Gronkowski,TB,49.8,777.7,3.8,0.6,99.2
,high,52.0,906.0,4.6,0.3,108.6
,low,47.5,649.3,3.0,1.0,91.9
Noah Fant,DEN,54.6,714.2,4.6,0.7,97.6
,high,56.2,788.0,5.0,0.3,108.8
,low,53.0,640.4,4.2,1.0,90.2
Hayden Hurst,ATL,59.6,715.7,4.2,0.7,95.5
,high,65.0,812.0,4.4,0.3,105.2
,low,54.1,619.3,4.0,1.0,87.9
Austin Hooper,CLE,56.7,627.4,5.0,0.6,91.4
,high,65.0,739.0,5.0,0.1,103.9
,low,48.4,515.9,4.9,1.0,80.9
Chris Herndon IV,NYJ,46.5,580.8,4.9,0.1,87.2
,high,49.1,599.6,6.0,0.0,92.2
,low,44.0,562.0,3.8,0.3,82.3
Mike Gesicki,MIA,55.5,620.1,4.1,1.2,84.3
,high,57.0,638.0,4.3,0.4,87.8
,low,53.9,602.1,4.0,2.0,84.9
T.J. Hockenson,DET,54.4,631.9,3.7,0.7,84.1
,high,55.0,646.0,4.4,0.3,87.6
,low,53.9,617.9,3.0,1.0,82.6
Jack Doyle,IND,52.0,547.0,4.9,0.7,82.5
,high,54.0,569.0,5.0,0.4,86.9
,low,49.9,525.0,4.7,1.0,80.1
Jonnu Smith,TEN,45.8,526.5,5.0,0.6,81.2
,high,50.0,612.0,6.0,0.3,97.2
,low,41.6,441.1,3.9,1.0,71.6
Blake Jarwin,DAL,45.9,530.7,4.3,0.1,78.5
,high,48.0,568.0,5.0,0.0,86.8
,low,43.8,493.3,3.6,0.3,70.2
Dallas Goedert,PHI,51.9,521.1,4.6,0.7,78.1
,high,54.0,538.0,5.0,0.5,83.8
,low,49.9,504.2,4.2,1.0,74.5
Eric Ebron,PIT,44.7,512.5,4.5,0.1,77.8
,high,46.0,521.0,5.0,0.0,82.1
,low,43.4,504.0,3.9,0.2,73.5
Ian Thomas,CAR,52.2,499.9,3.2,0.6,68.0
,high,61.0,576.0,4.0,0.2,81.6
,low,43.3,423.9,2.4,1.0,56.4
Irv Smith Jr.,MIN,50.4,498.5,2.9,0.6,66.2
,high,55.0,514.0,3.0,0.3,69.4
,low,45.8,482.9,2.9,1.0,65.0
Dawson Knox,BUF,37.6,485.3,2.9,0.1,65.9
,high,38.0,528.0,3.0,0.0,70.8
