Player,Team,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Jack Doyle,IND,60.0,554.0,4.0,,79.4
Mike Gesicki,MIA,62.0,649.0,4.0,,88.9
Jeremy Sprinkle,WAS,19.0,185.0,1.0,,24.5
Ian Thomas,CAR,47.0,486.0,4.0,,72.6
Devin Asiasi,NE,29.0,289.0,2.0,,40.9
Dallas Goedert,PHI,53.0,556.0,4.0,,79.6
Rob Gronkowski,TB,44.0,587.0,6.0,,94.7
Maxx Williams,ARI,23.0,241.0,1.0,,30.1
Trey Burton,IND,25.0,237.0,1.0,,29.7
Deon Yelder,KC,8.0,88.0,1.0,0.0,14.8
Drew Sample,CIN,9.0,82.0,0.0,,8.2
Chris Herndon IV,NYJ,55.0,649.0,5.0,,94.9
Mo Alie-Cox,IND,8.0,88.0,0.0,,8.8
Jacob Hollister,SEA,15.0,144.0,1.0,0.0,20.4
Dalton Schultz,DAL,8.0,77.0,0.0,,7.7
Nick Boyle,BAL,30.0,355.0,3.0,,53.5
Will Dissly,SEA,29.0,289.0,2.0,,40.9
C.J. Uzomah,CIN,33.0,315.0,3.0,,49.5
Tyler Eifert,JAC,43.0,455.0,3.0,,63.5
Jaeden Graham,ATL,13.0,145.0,0.0,,14.5
Levine Toilolo,NYG,8.0,82.0,0.0,0.0,8.2
Darren Fells,HOU,38.0,385.0,5.0,,68.5
Gerald Everett,LAR,31.0,345.0,2.0,,46.5
Logan Thomas,WAS,29.0,349.0,2.0,,46.9
James O'Shaughnessy,JAC,,,,,
Josh Hill,NO,18.0,205.0,1.0,,26.5
Virgil Green,LAC,9.0,88.0,0.0,,8.8
Greg Olsen,SEA,47.0,525.0,4.0,,76.5
Ryan Griffin,NYJ,23.0,213.0,1.0,,27.3
Jordan Reed,SF,28.0,295.0,3.0,,47.5
Dan Arnold,ARI,14.0,145.0,1.0,,20.5
Zach Ertz,PHI,81.0,855.0,7.0,,127.5
Kaden Smith,NYG,11.0,113.0,0.0,,11.3
O.J. Howard,TB,35.0,388.0,3.0,,56.8
Travis Kelce,KC,92.0,"1,155.0",7.0,,157.5
Albert Okwuegbunam,DEN,6.0,64.0,1.0,0.0,12.4
Jimmy Graham,CHI,39.0,385.0,2.0,,50.5
Jared Cook,NO,50.0,628.0,5.0,,92.8
Hunter Henry,LAC,53.0,616.0,4.0,,85.6
Robert Tonyan,GB,29.0,285.0,2.0,,40.5
Durham Smythe,MIA,12.0,113.0,1.0,0.0,17.3
Jason Witten,LV,26.0,245.0,2.0,,36.5
Mark Andrews,BAL,60.0,787.0,7.0,,120.7
David Njoku,CLE,32.0,317.0,3.0,,49.7
Nick Vannett,DEN,13.0,136.0,2.0,0.0,25.6
Jonnu Smith,TEN,50.0,593.0,5.0,,89.3
Eric Ebron,PIT,45.0,522.0,4.0,,76.2
Tyler Higbee,LAR,60.0,635.0,5.0,,93.5
Kyle Rudolph,MIN,43.0,411.0,4.0,,65.1
Darren Waller,LV,75.0,879.0,5.0,,117.9
Dawson Knox,BUF,36.0,459.0,4.0,,69.9
Vance McDonald,PIT,29.0,288.0,2.0,,40.8
Anthony Firkser,TEN,22.0,231.0,1.0,,29.1
Jordan Akins,HOU,31.0,291.0,1.0,,35.1
Chris Manhertz,CAR,7.0,82.0,1.0,,14.2
Austin Hooper,CLE,56.0,585.0,4.0,,82.5
George Kittle,SF,85.0,"1,120.0",6.0,,148.0
Noah Fant,DEN,50.0,636.0,5.0,,93.6
Blake Bell,DAL,14.0,146.0,1.0,,20.6
T.J. Hockenson,DET,51.0,595.0,4.0,,83.5
Demetrius Harris,CHI,8.0,86.0,1.0,,14.6
Evan Engram,NYG,57.0,641.0,5.0,,94.1
Cameron Brate,TB,19.0,187.0,1.0,,24.7
Ricky Seals-Jones,KC,13.0,145.0,1.0,0.0,20.5
Irv Smith Jr.,MIN,38.0,389.0,3.0,,56.9
Blake Jarwin,DAL,44.0,502.0,5.0,,80.2
Hayden Hurst,ATL,64.0,692.0,6.0,,105.2
Jesse James,DET,22.0,231.0,2.0,,35.1
Jace Sternberger,GB,37.0,365.0,2.0,,48.5
Tyler Kroft,BUF,15.0,155.0,2.0,,27.5
Cole Kmet,CHI,24.0,289.0,2.0,,40.9
Foster Moreau,LV,16.0,165.0,2.0,,28.5
Marcedes Lewis,GB,7.0,66.0,0.0,,6.6
