Travis Kelce,KC,89.7,"1,125.4",7.4,0.0,156.9
,high,92.0,"1,155.0",7.8,0.0,159.2
,low,87.4,"1,095.8",7.0,0.0,157.5
George Kittle,SF,87.5,"1,029.9",5.9,0.0,138.1
,high,90.0,"1,120.0",6.0,0.0,148.0
,low,85.0,939.7,5.7,0.0,131.6
Zach Ertz,PHI,81.5,908.8,6.7,0.0,131.2
,high,81.9,962.5,7.0,0.0,135.0
,low,81.0,855.0,6.4,0.0,127.5
Mark Andrews,BAL,60.9,802.7,6.9,0.0,121.6
,high,61.9,818.3,7.0,0.0,122.7
,low,60.0,787.0,6.8,0.0,120.7
Darren Waller,LV,72.3,855.4,5.1,0.0,116.0
,high,75.0,879.0,5.2,0.0,117.9
,low,69.6,831.8,5.0,0.0,115.7
Jared Cook,NO,52.4,689.0,5.8,0.0,103.6
,high,54.7,750.0,6.6,0.0,114.6
,low,50.0,628.0,5.0,0.0,92.8
Tyler Higbee,LAR,64.9,728.2,4.7,0.0,101.1
,high,69.8,821.5,5.0,0.0,108.9
,low,60.0,635.0,4.4,0.0,93.5
Evan Engram,NYG,61.8,699.8,4.9,0.0,99.0
,high,66.7,758.6,5.0,0.0,108.6
,low,57.0,641.0,4.7,0.0,94.1
Hunter Henry,LAC,54.8,661.4,4.6,0.0,93.6
,high,56.6,706.9,5.1,0.0,101.6
,low,53.0,616.0,4.0,0.0,85.6
Hayden Hurst,ATL,55.7,607.4,4.9,0.0,90.0
,high,64.0,692.0,6.0,0.0,105.2
,low,47.3,522.8,3.8,0.0,75.0
Rob Gronkowski,TB,45.7,601.1,4.9,0.0,89.3
,high,47.3,615.1,6.0,0.0,94.7
,low,44.0,587.0,3.7,0.0,84.0
Noah Fant,DEN,47.9,598.9,4.5,0.0,87.0
,high,50.0,636.0,5.0,0.0,93.6
,low,45.7,561.9,4.1,0.0,83.3
Mike Gesicki,MIA,55.7,617.8,4.1,0.0,86.1
,high,62.0,649.0,4.1,0.0,88.9
,low,49.4,586.6,4.0,0.0,83.4
Chris Herndon IV,NYJ,49.3,603.4,4.2,0.0,85.6
,high,55.0,649.0,5.0,0.0,94.9
,low,43.6,557.9,3.4,0.0,76.5
Austin Hooper,CLE,53.7,609.7,4.1,0.0,85.3
,high,56.0,634.5,4.1,0.0,88.1
,low,51.4,585.0,4.0,0.0,82.5
Dallas Goedert,PHI,52.9,573.7,4.0,0.0,81.3
,high,53.0,591.3,4.0,0.0,83.0
,low,52.8,556.0,4.0,0.0,79.6
Jack Doyle,IND,58.7,561.9,3.9,0.0,79.3
,high,60.0,569.8,4.0,0.0,79.4
,low,57.3,554.0,3.7,0.0,79.3
Eric Ebron,PIT,48.6,544.6,3.8,0.0,77.5
,high,52.1,567.1,4.0,0.0,79.1
,low,45.0,522.0,3.7,0.0,76.2
Jonnu Smith,TEN,44.1,521.3,4.2,0.0,77.1
,high,50.0,593.0,5.0,0.0,89.3
,low,38.2,449.7,3.4,0.0,67.6
T.J. Hockenson,DET,49.2,559.4,3.5,0.0,76.7
,high,51.0,595.0,4.0,0.0,83.5
,low,47.5,523.8,2.9,0.0,70.0
Tyler Eifert,JAC,44.1,526.8,3.3,0.0,72.2
,high,45.1,598.5,3.5,0.0,81.0
,low,43.0,455.0,3.0,0.0,63.5
Blake Jarwin,DAL,43.4,488.9,3.8,0.0,71.6
,high,44.0,502.0,5.0,0.0,80.2
,low,42.7,475.8,2.6,0.0,63.1
