Michael Thomas,NO,127.5,"1,501.8",8.8,0.4,2.9,0.0,0.0,203.5
,high,130.0,"1,558.0",9.7,0.9,5.8,0.0,0.0,203.8
,low,125.0,"1,445.6",8.0,0.0,0.0,0.0,0.0,203.2
Davante Adams,GB,105.0,"1,302.5",10.5,0.0,0.0,0.0,0.0,193.4
,high,110.1,"1,323.0",11.0,0.0,0.0,0.0,0.0,194.2
,low,100.0,"1,282.0",10.1,0.0,0.0,0.0,0.0,191.9
Julio Jones,ATL,98.2,"1,394.5",6.6,0.2,1.2,0.0,0.0,179.2
,high,98.4,"1,421.0",7.0,0.3,2.3,0.0,0.0,184.1
,low,98.0,"1,368.0",6.2,0.0,0.0,0.0,0.0,173.2
Tyreek Hill,KC,79.9,"1,201.1",8.5,7.7,46.9,0.2,0.0,177.0
,high,83.9,"1,252.2",9.1,8.0,49.9,0.3,0.0,187.1
,low,76.0,"1,150.0",8.0,7.4,44.0,0.0,0.0,167.4
DeAndre Hopkins,ARI,97.7,"1,192.0",7.8,0.3,1.8,0.0,0.0,166.3
,high,100.5,"1,239.0",8.0,0.5,3.6,0.0,0.0,169.6
,low,95.0,"1,145.0",7.6,0.0,0.0,0.0,0.0,162.5
Kenny Golladay,DET,78.3,"1,189.4",7.5,0.0,0.0,0.0,0.0,163.7
,high,79.7,"1,244.8",8.0,0.0,0.0,0.0,0.0,165.3
,low,77.0,"1,134.0",6.9,0.0,0.0,0.0,0.0,161.4
Chris Godwin,TB,86.7,"1,184.2",7.3,1.1,7.4,0.1,0.0,163.7
,high,94.3,"1,264.4",7.7,2.2,14.9,0.2,0.0,172.9
,low,79.0,"1,104.0",7.0,0.0,0.0,0.0,0.0,152.4
Odell Beckham Jr.,CLE,79.7,"1,123.7",6.8,1.6,10.3,0.0,0.0,154.4
,high,80.0,"1,137.5",7.7,3.0,20.0,0.0,0.0,158.9
,low,79.4,"1,110.0",6.0,0.1,0.5,0.0,0.0,149.0
Adam Thielen,MIN,82.0,"1,109.7",6.9,2.3,15.2,0.1,0.0,154.2
,high,82.0,"1,128.0",7.0,4.6,30.3,0.2,0.0,154.8
,low,82.0,"1,091.4",6.7,0.0,0.0,0.0,0.0,153.8
JuJu Smith-Schuster,PIT,86.7,"1,132.0",6.8,0.0,0.0,0.0,0.0,154.1
,high,89.3,"1,163.0",7.0,0.0,0.0,0.0,0.0,155.3
,low,84.0,"1,101.0",6.6,0.0,0.0,0.0,0.0,152.1
Mike Evans,TB,74.7,"1,096.0",7.3,0.7,4.7,0.0,0.0,154.1
,high,84.4,"1,171.0",7.6,1.4,9.4,0.0,0.0,163.6
,low,65.0,"1,021.0",7.0,0.0,0.0,0.0,0.0,144.1
Amari Cooper,DAL,79.2,"1,090.5",7.2,0.0,0.0,0.0,0.0,152.5
