Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Tress Way,Wsh,P,,,,,,,,,,,,,,,,,,,84.0,46.3,0.0,31.0,5.0,,,,,,,,,,,,,2372
Logan Cooke,Jax,P,,,,,,,,,,,,,,,,,,,84.0,45.7,0.0,31.0,5.0,,,,,,,,,,,,,2373
Kevin Huber,Cin,P,,,,,,,,,,,,,,,,,,,80.0,45.6,0.0,29.0,5.0,,,,,,,,,,,,,2374
Pat O'Donnell,Chi,P,,,,,,,,,,,,,,,,,,,83.0,45.0,1.0,30.0,5.0,,,,,,,,,,,,,2375
Braden Mann,NYJ,P,,,,,,,,,,,,,,,,,,,80.0,45.4,0.0,30.0,5.0,,,,,,,,,,,,,2376
Ty Long,LAC,P,,,,,,,,,,,,,,,,,,,78.0,45.9,0.0,28.0,4.0,,,,,,,,,,,,,2377
Johnny Hekker,LAR,P,,,,,,,,,,,,,,,,,,,72.0,46.6,0.0,29.0,4.0,,,,,,,,,,,,,2378
Brett Kern,Ten,P,,,,,,,,,,,,,,,,,,,73.0,46.2,0.0,29.0,4.0,,,,,,,,,,,,,2379
Joseph Charlton,Car,P,,,,,,,,,,,,,,,,,,,78.0,45.4,0.0,29.0,5.0,,,,,,,,,,,,,2380
AJ Cole,LV,P,,,,,,,,,,,,,,,,,,,74.0,45.6,0.0,30.0,5.0,,,,,,,,,,,,,2381
Sam Martin,Den,P,,,,,,,,,,,,,,,,,,,76.0,45.8,0.0,28.0,6.0,,,,,,,,,,,,,2382
Jake Bailey,NE,P,,,,,,,,,,,,,,,,,,,75.0,45.3,0.0,30.0,5.0,,,,,,,,,,,,,2383
Matt Haack,Mia,P,,,,,,,,,,,,,,,,,,,79.0,44.9,0.0,29.0,4.0,,,,,,,,,,,,,2384
Corey Bojorquez,Buf,P,,,,,,,,,,,,,,,,,,,75.0,44.7,1.0,29.0,5.0,,,,,,,,,,,,,2385
