Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Justin Simmons,Den,S,,,,,,,,,,,89.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,2061
Marcus Williams,NO,S,,,,,,,,,,,65.0,0.0,1.0,1.0,3.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,2062
Tyrann Mathieu,KC,S,,,,,,,,,,,76.0,1.0,0.0,0.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2063
Anthony Harris,Min,S,,,,,,,,,,,68.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2064
Kareem Jackson,Den,S,,,,,,,,,,,82.0,0.0,1.0,1.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2065
Jalen Mills,Phi,S,,,,,,,,,,,70.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2066
Chuck Clark,Bal,S,,,,,,,,,,,85.0,3.0,2.0,1.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,2067
Tre Boston,Car,S,,,,,,,,,,,65.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,2068
Harrison Smith,Min,S,,,,,,,,,,,94.0,1.0,2.0,2.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,2069
Tracy Walker,Det,S,,,,,,,,,,,109.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,2070
Minkah Fitzpatrick,Pit,S,,,,,,,,,,,68.0,0.0,2.0,1.0,3.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,2071
Taylor Rapp,LAR,S,,,,,,,,,,,100.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,2072
Jessie Bates III,Cin,S,,,,,,,,,,,92.0,0.0,1.0,1.0,3.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2073
Jimmie Ward,SF,S,,,,,,,,,,,77.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2074
Adrian Amos,GB,S,,,,,,,,,,,81.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2075
Johnathan Abram,LV,S,,,,,,,,,,,76.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2076
John Johnson III,LAR,S,,,,,,,,,,,116.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2077
Tashaun Gipson Sr.,Chi,S,,,,,,,,,,,53.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2078
Kevin Byard,Ten,S,,,,,,,,,,,76.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2079
Ronnie Harrison,Cle,S,,,,,,,,,,,62.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2080
Jamal Adams,Sea,S,,,,,,,,,,,82.0,2.0,2.0,1.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2081
Malcolm Jenkins,NO,S,,,,,,,,,,,84.0,2.0,2.0,2.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2082
Duron Harmon,Det,S,,,,,,,,,,,45.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2083
Eric Rowe,Mia,S,,,,,,,,,,,74.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2084
Devin McCourty,NE,S,,,,,,,,,,,67.0,0.0,2.0,1.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2085
Jeff Heath,LV,S,,,,,,,,,,,61.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2086
Jabrill Peppers,NYG,S,,,,,,,,,,,100.0,1.0,2.0,2.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2087
Marcus Maye,NYJ,S,,,,,,,,,,,61.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2088
Troy Apke,Wsh,S,,,,,,,,,,,61.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2089
Bradley McDougald,NYJ,S,,,,,,,,,,,75.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2090
Darian Thompson,Dal,S,,,,,,,,,,,74.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2091
Jeremy Chinn,Car,S,,,,,,,,,,,79.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2092
Justin Reid,Hou,S,,,,,,,,,,,84.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2093
Adrian Phillips,NE,S,,,,,,,,,,,94.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2094
Rodney McLeod,Phi,S,,,,,,,,,,,73.0,1.0,2.0,1.0,2.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2095
Antoine Winfield Jr.,TB,S,,,,,,,,,,,56.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2096
Kenny Vaccaro,Ten,S,,,,,,,,,,,75.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2097
Budda Baker,Ari,S,,,,,,,,,,,121.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2098
Vonn Bell,Cin,S,,,,,,,,,,,100.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2099
Xavier Woods,Dal,S,,,,,,,,,,,79.0,0.0,2.0,1.0,2.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,2100
Karl Joseph,Cle,S,,,,,,,,,,,85.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,2101
Juan Thornhill,KC,S,,,,,,,,,,,62.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,2102
Darnell Savage,GB,S,,,,,,,,,,,73.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,2103
Julian Love,NYG,S,,,,,,,,,,,66.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,2104
