Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Travis Kelce,KC,TE,0.0,0.0,0.0,2.0,6.0,0.0,124.0,88.0,1096.0,9.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,760
George Kittle,SF,TE,0.0,0.0,0.0,5.0,17.0,1.0,112.0,80.0,998.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,761
Mark Andrews,Bal,TE,0.0,0.0,0.0,0.0,0.0,0.0,104.0,66.0,882.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,762
Zach Ertz,Phi,TE,0.0,0.0,0.0,0.0,0.0,0.0,112.0,75.0,788.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,763
Darren Waller,LV,TE,0.0,0.0,0.0,0.0,0.0,0.0,98.0,72.0,851.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,764
Evan Engram,NYG,TE,0.0,0.0,0.0,4.0,13.0,0.0,99.0,64.0,693.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,765
Tyler Higbee,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,94.0,64.0,705.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,766
Hunter Henry,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,82.0,54.0,656.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,767
Jared Cook,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,71.0,46.0,657.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,768
Rob Gronkowski,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,72.0,48.0,650.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,769
Noah Fant,Den,TE,0.0,0.0,0.0,2.0,7.0,0.0,82.0,56.0,632.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,770
Hayden Hurst,Atl,TE,0.0,0.0,0.0,0.0,0.0,0.0,78.0,54.0,620.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,771
T.J. Hockenson,Det,TE,0.0,0.0,0.0,0.0,0.0,0.0,83.0,54.0,618.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,772
Mike Gesicki,Mia,TE,0.0,0.0,0.0,0.0,0.0,0.0,86.0,54.0,602.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,773
Chris Herndon,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,75.0,49.0,601.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,774
Austin Hooper,Cle,TE,0.0,0.0,0.0,0.0,0.0,0.0,66.0,48.0,516.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,775
Jack Doyle,Ind,TE,0.0,0.0,0.0,0.0,0.0,0.0,73.0,50.0,522.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,776
Eric Ebron,Pit,TE,0.0,0.0,0.0,0.0,0.0,0.0,69.0,43.0,505.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,777
Jonnu Smith,Ten,TE,0.0,0.0,0.0,4.0,16.0,0.0,58.0,42.0,442.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,778
Irv Smith Jr.,Min,TE,0.0,0.0,0.0,0.0,0.0,0.0,65.0,46.0,483.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,779
Dallas Goedert,Phi,TE,0.0,0.0,0.0,0.0,0.0,0.0,73.0,50.0,509.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,780
Blake Jarwin,Dal,TE,0.0,0.0,0.0,0.0,0.0,0.0,62.0,44.0,493.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,781
Tyler Eifert,Jax,TE,0.0,0.0,0.0,0.0,0.0,0.0,62.0,42.0,471.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,782
Jimmy Graham,Chi,TE,0.0,0.0,0.0,0.0,0.0,0.0,64.0,42.0,497.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,783
Ian Thomas,Car,TE,0.0,0.0,0.0,0.0,0.0,0.0,63.0,43.0,424.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,784
Dawson Knox,Buf,TE,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,443.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,785
Will Dissly,Sea,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,33.0,389.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,786
Kyle Rudolph,Min,TE,0.0,0.0,0.0,0.0,0.0,0.0,45.0,32.0,323.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,787
Greg Olsen,Sea,TE,0.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,325.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,788
Taysom Hill,NO,TE,0.0,0.0,0.0,37.0,215.0,2.0,22.0,15.0,165.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,789
Dan Arnold,Ari,TE,0.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,349.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,790
Jordan Akins,Hou,TE,0.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,272.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,791
Gerald Everett,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,29.0,337.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,792
O.J. Howard,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,306.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,793
C.J. Uzomah,Cin,TE,0.0,0.0,0.0,0.0,0.0,0.0,54.0,37.0,342.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,794
Darren Fells,Hou,TE,0.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,294.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,795
Logan Thomas,Wsh,TE,0.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,311.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,796
Jace Sternberger,GB,TE,0.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,339.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,797
David Njoku,Cle,TE,0.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,215.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,798
Devin Asiasi,NE,TE,0.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,288.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,799
Jordan Reed,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,216.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,800
Nick Boyle,Bal,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,33.0,306.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,801
Vance McDonald,Pit,TE,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,239.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,802
Cameron Brate,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,137.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,803
Trey Burton,Ind,TE,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,190.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,804
Anthony Firkser,Ten,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,256.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,805
Cole Kmet,Chi,TE,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,219.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,806
Robert Tonyan,GB,TE,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,176.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,807
James O'Shaughnessy,Jax,TE,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,225.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,808
Jeremy Sprinkle,Wsh,TE,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,230.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,809
Jesse James,Det,TE,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,191.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,810
Drew Sample,Cin,TE,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,198.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,811
Ryan Griffin,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,136.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,812
